"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"31","DPi","Felipe Nasr","1","1:59.463","1:59.463","Green","Track","867.894","17.029","10.991","20.896","7.039","5.745","5.539","9.031","6.211","5.590","4.773","0.432","2.765","189.394"
"5","DPi","Joao Barbosa","1","2:03.761","2:03.761","Green","Track","862.266","17.895","10.047","20.219","7.019","5.779","5.427","9.408","6.337","5.670","4.820","0.435","2.778","188.088"
"6","DPi","Dane Cameron","1","2:13.577","2:13.577","Green","Pit","866.325","17.917","9.946","20.280","6.966","5.730","5.346","9.371","6.261","5.542","7.556","0.000","0.000","0.000"
"84","DPi","Simon Trummer","1","2:13.757","2:13.757","Green","Track","851.966","19.760","11.218","23.256","7.420","6.059","5.547","10.121","6.659","5.806","4.877","0.440","2.819","185.950"
"77","DPi","Timo Bernhard","1","2:19.031","2:19.031","Green","Track","754.505","19.254","10.873","21.544","6.994","5.722","6.327","10.657","6.445","5.689","4.922","0.442","3.100","185.109"
"10","DPi","Fernando Alonso","1","2:22.814","2:22.814","Green","Track","686.113","19.940","9.359","19.638","7.042","5.787","7.567","10.438","6.351","5.655","4.809","0.435","2.778","188.088"
"81","LMP2","James Allen","1","2:27.341","2:27.341","Green","Track","708.249","22.127","11.151","21.242","7.520","6.032","5.682","10.286","6.732","5.936","5.042","0.458","2.924","178.642"
"52","LMP2","Enzo Guibbert","1","2:30.209","2:30.209","Green","Track","746.522","22.421","11.835","22.597","7.581","6.382","6.126","10.699","6.686","5.919","5.086","0.467","2.973","175.200"
"18","LMP2","Roberto Gonzalez","1","2:31.066","2:31.066","Green","Track","623.170","19.886","11.227","22.327","7.428","5.990","5.856","10.541","6.863","5.907","5.008","0.455","2.909","179.820"
"13","GTD","Andrea Bertolini","1","2:34.876","2:34.876","Green","Track","548.873","19.490","11.411","22.802","7.998","6.486","6.072","10.811","7.123","6.349","5.380","0.486","3.112","168.350"
"44","GTD","John Potter","1","2:35.865","2:35.865","Green","Track","469.242","19.384","11.150","22.084","8.114","6.563","6.015","10.972","7.213","6.420","5.381","0.485","3.093","168.697"
"63","GTD","Cooper MacNeil","1","2:37.256","2:37.256","Green","Track","441.541","19.265","11.302","21.796","7.959","6.444","6.111","10.842","7.169","6.348","5.363","0.484","3.099","169.046"
"911","GTLM","Nick Tandy","1","2:37.573","2:37.573","Green","Track","406.587","19.560","11.432","21.928","7.806","6.360","6.054","10.360","6.970","6.213","5.211","0.469","3.000","174.452"
"48","GTD","Andrea Caldarelli","1","2:39.164","2:39.164","Green","Track","507.892","17.502","11.065","21.566","7.936","6.445","6.019","10.709","7.221","6.409","5.392","0.484","3.095","169.046"
"96","GTD","Robby Foley","1","2:40.547","2:40.547","Green","Track","271.795","19.452","12.027","21.999","7.964","6.485","5.987","10.782","7.223","6.365","5.388","0.490","3.137","166.976"
"71","GTD","Fabian Schiller","1","2:43.365","2:43.365","Green","Track","432.100","17.162","10.835","21.316","7.989","6.560","7.529","11.117","7.174","6.436","5.428","0.488","3.113","167.660"
"85","DPi","Rubens Barrichello","1","2:45.731","2:45.731","Green","Track","849.816","19.305","10.183","20.509","7.187","5.863","5.419","9.489","6.421","5.723","4.823","0.435","2.783","188.088"
"51","GTD","Daniel Serra","1","2:46.919","2:46.919","Green","Track","514.204","18.638","11.673","21.839","7.958","6.443","6.945","10.707","7.124","6.321","5.548","0.614","3.693","133.254"
"88","GTD","Ian James","1","2:51.280","2:51.280","Green","Track","427.640","19.692","12.169","21.764","8.132","6.621","6.219","11.368","7.339","6.567","5.473","0.494","3.143","165.624"
"46","GTD","Giacomo Alto̬","1","2:51.601","2:51.601","Green","Track","614.457","18.895","12.052","22.000","8.046","6.529","6.467","11.300","7.241","6.434","5.440","0.492","3.200","166.297"
"8","GTD","Ryan Dalziel","1","2:53.433","2:53.433","Green","Track","341.317","20.343","11.331","21.471","8.066","6.566","6.107","10.710","7.213","6.470","5.416","0.490","3.103","166.976"
"540","GTD","Matteo Cairoli","1","2:53.667","2:53.667","Green","Track","339.430","20.218","11.358","21.072","7.952","6.551","6.195","10.711","7.139","6.411","5.406","0.489","3.114","167.317"
"912","GTLM","Earl Bamber","1","2:55.109","2:55.109","Green","Track","665.119","19.071","11.647","21.856","7.795","6.335","6.040","10.443","6.978","6.233","5.184","0.467","2.978","175.200"
"50","DPi","Kyle Kaiser","1","2:55.411","2:55.411","Green","Track","838.733","18.495","11.663","23.486","7.653","5.867","5.810","10.196","6.389","6.234","5.201","0.457","2.897","179.033"
"29","GTD","Daniel Morad","1","2:55.516","2:55.516","Green","Track","562.350","19.695","11.782","21.505","8.056","6.580","5.996","10.828","7.218","6.434","5.424","0.487","3.099","168.004"
"9","GTD","Dennis Olsen","1","2:55.699","2:55.699","Green","Track","456.239","18.980","11.980","21.400","7.964","6.550","6.003","10.724","7.158","6.422","5.436","0.492","3.138","166.297"
"25","GTLM","Connor De Phillippi","1","2:58.345","2:58.345","Green","Track","774.438","19.444","11.702","22.144","7.804","6.361","6.210","10.615","7.015","6.284","5.288","0.479","3.063","170.810"
"38","LMP2","Kyle Masson","1","3:00.117","3:00.117","Green","Track","32.400","18.732","10.787","22.074","7.479","6.012","5.763","10.171","6.554","5.948","5.031","0.457","2.919","179.033"
"99","GTD","Juergen Haering","1","3:01.121","3:01.121","Green","Track","402.391","21.719","13.351","24.279","9.233","6.765","6.321","11.362","7.395","6.469","5.447","0.492","3.133","166.297"
"55","DPi","Harry Tincknell","1","3:01.866","3:01.866","Green","Track","35.444","19.049","9.971","20.450","7.082","5.755","5.525","10.059","6.335","5.708","4.815","0.436","2.794","187.656"
"3","GTLM","Jan Magnussen","1","3:02.761","3:02.761","Green","Track","31.939","18.769","11.288","21.899","7.932","6.460","6.017","10.875","7.137","6.349","5.347","0.483","3.086","169.396"
"67","GTLM","Richard Westbrook","1","3:03.896","3:03.896","Green","Track","32.520","19.759","11.419","22.476","7.894","6.322","6.484","11.513","7.171","6.315","5.265","0.477","3.053","171.527"
"33","GTD","Ben Keating","1","3:06.210","3:06.210","Green","Track","33.022","19.483","11.834","22.483","7.946","6.466","6.081","15.164","7.492","6.453","5.376","0.487","3.104","168.004"
"86","GTD","Mario Farnbacher","1","3:07.751","3:07.751","Green","Track","33.986","19.492","11.410","22.544","8.023","6.434","6.135","11.037","7.137","6.374","5.394","0.490","3.106","166.976"
"4","GTLM","Oliver Gavin","1","3:07.855","3:07.855","Green","Track","33.989","19.184","11.095","22.668","7.918","6.377","6.173","11.078","7.101","6.269","5.265","0.477","3.045","171.527"
"54","DPi","Colin Braun","1","3:09.496","3:09.496","Green","Track","868.803","19.902","11.340","22.490","8.129","6.790","6.880","11.754","7.130","6.451","5.437","0.531","3.419","154.083"
"7","DPi","Ricky Taylor","1","3:12.977","3:12.977","Green","Pit","446.569","19.284","10.490","22.132","7.119","5.758","5.524","9.908","6.385","5.725","8.032","0.000","0.000","0.000"
