"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"18","GT3G","Richard Edge","21","1:56.387","43:49.467","Green","Track","3.500","9.746","13.229","4.134","0.532","15.908","24.079","15.569","19.546","6.484","3.660","154.434"
"52","GT3G","Kurt Fazekas","21","1:53.163","43:58.798","Green","Track","3.413","9.447","13.113","4.054","0.519","15.313","23.405","15.195","18.958","6.198","3.548","158.303"
"79","GT3P","Roman DeAngelis","22","1:51.186","44:15.379","Green","Track","3.345","9.281","12.719","3.949","0.506","14.903","23.141","14.981","18.782","6.114","3.465","162.370"
"7","GT3P","Maxwell Root","22","1:51.292","44:20.796","Green","Track","3.386","9.546","12.782","3.946","0.505","14.712","23.117","14.996","18.668","6.176","3.458","162.691"
"61","GT3P","Scott Welham","21","1:56.751","44:26.097","Green","Track","3.411","10.074","13.686","4.059","0.516","16.037","24.027","15.302","19.625","6.486","3.528","159.223"
"25","GT3P","Victor Gomez IV","22","1:51.450","44:28.208","Green","Track","3.356","9.336","12.810","3.944","0.505","15.045","23.050","14.994","18.729","6.203","3.478","162.691"
"3","GT3P","Jeff Kingsley","22","1:51.702","44:30.488","Green","Track","3.423","9.344","12.931","3.954","0.505","14.822","23.130","14.957","18.856","6.290","3.490","162.691"
"53","GT3P","Riley Dickinson","22","1:50.830","44:32.850","Green","Track","3.331","9.293","12.649","3.900","0.499","14.814","23.042","14.871","18.702","6.251","3.478","164.647"
"68","GT3P","Jeff Mosing","22","1:53.724","44:45.627","Green","Track","3.373","9.389","13.045","3.975","0.512","15.481","23.279","15.272","19.587","6.313","3.498","160.467"
"69","GT3P","Dan Hardee","21","1:59.625","44:46.987","Green","Track","3.429","10.047","13.634","4.096","0.521","16.307","24.930","15.649","20.748","6.687","3.577","157.695"
"20","GT3P","Fred Poordad","22","1:53.164","44:50.733","Green","Track","3.345","9.393","13.079","3.982","0.509","15.364","23.485","15.166","19.032","6.292","3.517","161.413"
"99","GT3P","Alan Metni","22","1:52.747","44:58.629","Green","Track","3.373","9.326","13.151","3.988","0.509","15.162","23.520","15.026","18.812","6.353","3.527","161.413"
"27","GT3G","Sebastian Carazo","22","1:53.135","45:01.025","Green","Track","3.420","9.404","13.143","4.050","0.517","15.190","23.328","15.253","18.999","6.283","3.548","158.915"
"45","GT3P","Charlie Luck","22","1:53.570","45:09.227","Green","Track","3.370","9.465","12.917","4.001","0.511","15.547","23.734","15.074","19.032","6.385","3.534","160.781"
"56","GT3P","David Baker","22","1:53.363","45:09.724","Green","Track","3.349","9.560","12.961","3.966","0.506","15.394","23.652","15.131","18.989","6.355","3.500","162.370"
"9","GT3P","Mark Kvamme","22","1:54.905","45:25.220","Green","Track","3.377","9.574","13.066","3.995","0.509","16.244","23.712","15.157","19.348","6.382","3.541","161.413"
"36","GT3P","Vernon McClure","22","1:54.898","45:25.504","Green","Track","3.382","9.536","13.130","3.959","0.509","16.172","23.811","15.103","19.428","6.342","3.526","161.413"
"22","GT3G","Bart Collins","21","2:04.752","45:27.230","Green","Track","3.479","9.772","13.662","4.174","0.628","18.518","24.829","15.811","23.551","6.666","3.662","130.827"
"92","GT3P","Joseph Lombardo","22","1:56.649","45:32.870","Green","Track","3.412","9.885","13.354","3.995","0.527","16.203","24.041","15.393","19.759","6.562","3.518","155.900"
"65","GT3G","Efrin Castro","22","1:56.652","45:33.331","Green","Track","3.489","9.653","13.239","4.039","0.571","16.213","24.116","15.692","19.474","6.584","3.582","143.886"
"5","GT3G","Rob Ferriol","22","1:56.591","45:33.904","Green","Track","3.488","9.570","13.062","4.002","0.534","16.247","24.498","15.755","19.333","6.506","3.596","153.856"
"11","GT3P","Sean McAlister","22","1:55.531","45:33.995","Green","Track","3.364","9.440","13.346","3.972","0.518","15.760","24.168","15.667","19.362","6.448","3.486","158.608"
"17","GT3G","Curt Swearingin","22","1:56.914","45:34.679","Green","Track","3.474","9.561","13.193","4.060","0.539","15.889","24.133","16.395","19.538","6.525","3.607","152.429"
"4","GT3P","Michael Mennella","20","2:45.183","45:45.953","Green","Track","15.533","13.563","18.421","4.775","0.668","19.497","30.747","25.975","23.503","8.214","4.287","122.993"
"18","GT3G","Richard Edge","22","1:56.895","45:46.362","Green","Track","3.525","9.782","13.329","4.143","0.532","16.004","24.231","15.676","19.530","6.487","3.656","154.434"
"52","GT3G","Kurt Fazekas","22","1:54.551","45:53.349","Green","Track","3.395","9.462","13.097","4.047","0.518","15.864","23.597","15.269","19.291","6.414","3.597","158.608"
"79","GT3P","Roman DeAngelis","23","1:51.060","46:06.439","Green","Track","3.336","9.324","12.745","3.956","0.506","14.741","23.119","14.965","18.731","6.143","3.494","162.370"
"7","GT3P","Maxwell Root","23","1:50.976","46:11.772","Green","Track","3.342","9.272","12.746","3.942","0.505","14.722","23.045","14.971","18.795","6.169","3.467","162.691"
"61","GT3P","Scott Welham","22","1:55.640","46:21.737","Finish","Track","3.386","9.555","13.403","4.035","0.514","15.881","23.836","15.643","19.462","6.399","3.526","159.843"
"25","GT3P","Victor Gomez IV","23","1:53.828","46:22.036","Finish","Track","3.392","9.399","12.949","3.956","0.513","15.280","23.355","15.543","19.564","6.367","3.510","160.154"
"3","GT3P","Jeff Kingsley","23","1:51.801","46:22.289","Finish","Track","3.367","9.333","12.899","3.953","0.504","14.864","23.222","15.055","18.875","6.265","3.464","163.014"
"53","GT3P","Riley Dickinson","23","1:50.783","46:23.633","Finish","Track","3.336","9.226","12.695","3.898","0.498","14.792","23.020","14.905","18.689","6.248","3.476","164.978"
"68","GT3P","Jeff Mosing","23","1:54.224","46:39.851","Finish","Track","3.387","9.409","13.302","4.028","0.519","15.374","23.434","15.169","19.098","6.618","3.886","158.303"
"20","GT3P","Fred Poordad","23","1:53.797","46:44.530","Finish","Track","3.340","9.417","13.099","3.983","0.508","15.624","23.846","15.064","19.030","6.348","3.538","161.730"
"99","GT3P","Alan Metni","23","1:53.713","46:52.342","Finish","Track","3.376","9.447","13.167","4.001","0.511","15.483","23.249","15.170","19.410","6.379","3.520","160.781"
