"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"912","GTLM","Laurens Vanthoor","13","1:17.552","22:07.929","Green","Track","0.631","7.010","2.926","4.097","10.692","7.717","5.635","4.221","11.635","15.928","1.678","5.382","130.745"
"4","GTLM","Oliver Gavin","13","1:17.409","22:09.856","Green","Track","0.625","6.964","2.888","4.098","10.906","7.753","5.652","4.266","11.552","15.685","1.674","5.346","132.000"
"55","DPi","Jonathan Bomarito","13","1:29.172","22:13.298","Green","Pit","0.588","6.656","3.076","4.249","11.076","7.797","5.848","4.096","11.406","15.919","3.449","15.012","140.306"
"66","GTLM","Sebastien Bourdais","13","1:18.040","22:15.474","Green","Track","0.636","7.085","2.998","4.142","10.801","7.826","5.575","4.304","11.703","15.797","1.715","5.458","129.717"
"3","GTLM","Antonio Garcia","13","1:17.841","22:16.066","Green","Track","0.625","6.958","2.991","4.172","10.864","7.763","5.669","4.298","11.617","15.852","1.681","5.351","132.000"
"25","GTLM","Tom Blomqvist","13","1:18.003","22:17.101","Green","Track","0.630","6.978","2.993","4.150","10.957","7.745","5.615","4.313","11.681","15.828","1.695","5.418","130.952"
"24","GTLM","John Edwards","13","1:18.092","22:17.600","Green","Track","0.629","6.969","2.977","4.085","10.990","7.718","5.688","4.298","11.765","15.840","1.715","5.418","131.161"
"10","DPi","Jordan Taylor","13","1:40.091","22:19.083","Green","Track","0.000","0.000","0.000","0.000","10.962","7.413","5.607","4.028","11.178","15.784","1.603","4.946","0.000"
"67","GTLM","Ryan Briscoe","13","1:18.648","22:20.192","Green","Track","0.634","7.034","3.091","4.256","10.955","7.768","5.648","4.340","11.757","16.041","1.695","5.429","130.126"
"31","DPi","Felipe Nasr","14","1:12.803","22:45.617","Green","Track","0.580","6.470","2.752","3.857","10.330","7.254","5.361","3.982","10.798","14.926","1.569","4.924","142.241"
"77","DPi","Tristan Nunez","14","1:13.305","22:49.482","Green","Track","0.567","6.383","2.689","3.939","10.573","7.283","5.537","3.961","10.863","15.046","1.600","4.864","145.503"
"7","DPi","Helio Castroneves","14","1:13.215","22:53.083","Green","Track","0.567","6.383","2.831","3.892","10.569","7.338","5.365","3.910","10.746","15.198","1.554","4.862","145.503"
"6","DPi","Juan Pablo Montoya","14","1:13.488","22:56.589","Green","Track","0.572","6.421","2.754","3.913","10.606","7.433","5.384","4.011","10.898","14.991","1.590","4.915","144.231"
"84","DPi","Simon Trummer","14","1:13.929","22:57.566","Green","Track","0.576","6.467","2.802","3.975","10.613","7.395","5.464","3.967","10.939","15.199","1.586","4.946","143.229"
"85","DPi","Misha Goikhberg","14","1:13.777","22:58.143","Green","Track","0.579","6.481","2.743","3.943","10.667","7.361","5.411","3.979","10.847","15.221","1.596","4.949","142.487"
"5","DPi","Joao Barbosa","14","1:13.643","22:58.677","Green","Track","0.579","6.461","2.839","3.927","10.447","7.328","5.567","3.915","10.863","15.199","1.574","4.944","142.487"
"50","DPi","Kyle Kaiser","14","1:13.961","22:59.632","Green","Track","0.580","6.463","2.857","3.903","10.487","7.403","5.510","4.007","10.853","15.335","1.604","4.959","142.241"
"911","GTLM","Nick Tandy","14","1:17.647","23:24.784","Green","Track","0.632","7.022","2.976","4.051","10.729","7.744","5.614","4.237","11.687","15.805","1.730","5.420","130.538"
"912","GTLM","Laurens Vanthoor","14","1:17.698","23:25.627","Green","Track","0.632","7.026","2.915","4.111","10.727","7.729","5.593","4.347","11.741","15.851","1.663","5.363","130.538"
"4","GTLM","Oliver Gavin","14","1:17.494","23:27.350","Green","Track","0.626","6.962","2.915","4.097","10.860","7.657","5.624","4.306","11.640","15.809","1.660","5.338","131.789"
"66","GTLM","Sebastien Bourdais","14","1:17.909","23:33.383","Green","Track","0.637","7.096","2.920","4.163","10.779","7.827","5.583","4.284","11.721","15.731","1.715","5.453","129.513"
"3","GTLM","Antonio Garcia","14","1:18.096","23:34.162","Green","Track","0.624","6.958","3.024","4.191","10.932","7.779","5.704","4.264","11.711","15.875","1.681","5.353","132.212"
"10","DPi","Jordan Taylor","14","1:15.196","23:34.279","Green","Track","0.578","6.421","2.886","4.062","10.584","7.382","5.913","3.979","11.162","15.759","1.565","4.905","142.734"
