"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"912","GTLM","Laurens Vanthoor","3","9:21.108","17:02.116","Green","Track","370.697","14.800","36.711","22.416","40.768","16.098","29.946","1.009","20.660","2.808","5.195","84.017","61.513"
"38","LMP2","Cameron Cassels","3","10:56.186","17:29.651","Green","Track","441.456","17.901","42.592","27.598","47.472","17.481","31.651","1.103","21.519","2.743","4.670","76.857","62.970"
"6","DPi","Dane Cameron","4","7:46.866","17:31.374","Green","Track","281.139","13.286","35.492","21.262","39.176","15.478","31.486","1.169","20.070","2.971","5.337","72.517","58.138"
"52","LMP2","Anders Fjorback","2","11:00.440","17:41.455","Green","Pit","438.315","18.707","39.713","25.849","47.408","17.704","35.391","1.151","21.418","4.462","10.322","73.651","38.711"
"47","GTD","Lawson Aschenbach","1","18:31.168","18:31.168","Green","Pit","243.514","15.666","38.986","22.930","42.448","16.612","33.036","1.239","21.223","4.624","890.596","68.420","37.355"
"19","GTD","Andrew Davis","3","5:20.999","18:43.317","Green","Pit","26.383","15.663","40.696","24.955","44.154","16.461","31.140","1.120","21.419","4.971","94.037","75.690","34.747"
"33","GTD","Felipe Fraga","3","2:48.190","18:53.895","Green","Track","9.590","9.974","30.447","19.798","34.820","13.041","25.876","0.929","17.835","2.155","3.725","91.252","80.152"
"50","DPi","Will Owen","2","3:34.454","18:55.121","Green","Track","23.474","15.680","36.929","22.936","41.631","16.596","29.989","0.959","19.384","2.548","4.328","88.397","67.789"
"11","GTD","Mirko Bortolotti","4","3:00.217","19:23.521","Green","Pit","9.260","10.024","31.962","20.825","36.162","14.059","25.558","0.911","17.719","3.692","10.045","93.055","46.784"
"86","GTD","Justin Marks","4","3:11.102","19:31.219","Green","Pit","9.510","10.770","35.440","21.256","36.872","14.699","28.648","0.945","18.852","3.759","10.351","89.707","45.950"
"912","GTLM","Laurens Vanthoor","4","3:03.258","20:05.374","Finish","Track","11.340","11.113","33.225","20.994","37.768","14.332","28.406","1.116","18.675","2.274","4.015","75.961","75.957"
"14","GTD","Richard Heistand","4","3:19.907","20:14.047","Finish","Track","9.283","10.049","31.170","22.335","62.834","14.066","25.367","0.797","17.787","2.219","4.000","106.365","77.840"
