"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"10","DPi","Jordan Taylor","1","2:16.174","2:16.174","Green","Track","377.854","21.454","13.744","22.581","7.601","6.321","6.402","11.287","7.236","6.413","5.343","0.478","3.017","171.168"
"11","GTD","Christian Engelhart","1","2:25.109","2:25.109","Green","Track","413.988","19.172","11.396","21.684","8.212","6.683","6.140","10.603","7.289","6.436","5.423","0.492","3.157","166.297"
"96","GTD","Bill Auberlen","1","2:29.864","2:29.864","Green","Pit","327.307","18.718","11.158","21.508","8.094","6.620","6.218","10.480","7.420","6.557","11.376","0.000","0.000","0.000"
"44","GTD","John Potter","1","2:32.334","2:32.334","Green","Pit","346.612","20.006","12.043","22.174","8.352","6.767","6.386","11.557","7.459","6.598","11.101","0.000","0.000","0.000"
"55","DPi","Jonathan Bomarito","1","2:38.693","2:38.693","Green","Track","0.000","20.075","10.701","21.007","7.168","5.837","5.964","10.676","6.493","5.787","4.876","0.445","2.860","183.861"
"63","GTD","Toni Vilander","1","2:38.891","2:38.891","Green","Pit","102.459","21.228","12.481","23.525","8.385","6.745","6.580","11.828","7.492","6.490","10.561","0.000","0.000","0.000"
"84","DPi","Stephen Simpson","1","2:44.133","2:44.133","Green","Track","0.000","18.841","11.424","21.757","7.386","6.097","6.052","11.085","6.714","5.781","4.929","0.436","2.869","187.656"
"5","DPi","Filipe Albuquerque","1","2:45.469","2:45.469","Green","Track","33.607","19.784","11.047","22.361","7.290","5.868","6.521","10.518","6.455","5.745","4.867","0.454","2.820","180.216"
"24","GTLM","John Edwards","1","2:50.050","2:50.050","Green","Pit","0.000","19.306","10.522","21.267","8.526","7.990","8.957","11.629","7.277","6.455","8.778","0.000","0.000","0.000"
"73","GTD","Matt Campbell","1","3:03.552","3:03.552","Green","Pit","414.809","22.486","13.220","26.606","8.817","7.480","7.678","12.813","7.862","7.623","11.163","0.000","0.000","0.000"
"77","DPi","Oliver Jarvis","1","3:06.221","3:06.221","Green","Track","0.000","19.107","10.711","21.479","7.383","5.899","5.950","10.361","6.293","5.663","4.820","0.441","2.818","185.529"
"25","GTLM","Tom Blomqvist","1","3:11.265","3:11.265","Green","Pit","427.083","19.443","11.815","23.116","8.626","10.593","13.946","13.451","7.324","6.421","9.622","0.000","0.000","0.000"
"8","GTD","Parker Chase","1","3:11.325","3:11.325","Green","Track","0.000","0.000","0.000","0.000","0.000","6.736","6.642","11.563","7.473","6.568","5.533","0.501","3.210","163.310"
"12","GTD","Townsend Bell","1","3:15.437","3:15.437","Green","Pit","424.124","21.393","13.491","23.925","8.668","7.036","6.345","11.126","7.456","6.615","10.349","0.000","0.000","0.000"
"14","GTD","Jack Hawksworth","1","3:16.002","3:16.002","Green","Track","435.110","20.841","12.673","23.423","8.462","6.707","6.866","17.711","7.858","6.654","5.562","0.503","3.219","162.660"
"57","GTD","Katherine Legge","1","3:20.683","3:20.683","Green","Track","34.261","22.369","14.678","26.446","9.665","7.538","8.158","14.015","8.130","7.030","5.795","0.516","3.268","158.562"
"50","DPi","Will Owen","1","3:21.759","3:21.759","Green","Track","413.079","19.763","11.603","22.631","7.564","6.435","5.989","10.062","6.545","5.786","4.934","0.447","2.872","183.038"
"31","DPi","Felipe Nasr","1","3:29.180","3:29.180","Green","Track","32.425","20.320","11.706","22.227","7.413","6.010","6.173","11.029","6.552","5.750","4.881","0.456","2.837","179.426"
"62","GTLM","Davide Rigon","1","3:31.804","3:31.804","Green","Pit","467.508","20.152","11.937","22.576","8.058","6.513","6.663","12.163","7.345","6.352","10.433","0.000","0.000","0.000"
"9","GTD","Scott Hargrove","1","3:36.903","3:36.903","Green","Track","187.839","22.029","13.606","24.353","10.665","8.967","8.877","13.043","8.306","8.903","6.721","0.586","3.763","139.621"
"71","GTD","Maximilian Buhk","1","3:40.968","3:40.968","Green","Track","470.010","20.359","12.103","23.338","8.477","6.709","6.296","11.613","7.406","6.480","5.484","0.498","3.188","164.294"
"11","GTD","Christian Engelhart","2","1:50.491","4:15.600","Green","Track","11.503","14.612","10.262","20.590","8.055","6.580","6.034","10.205","7.250","6.385","5.392","0.489","3.134","167.317"
"55","DPi","Jonathan Bomarito","2","1:41.519","4:20.212","Green","Track","11.755","13.627","9.019","19.384","7.044","5.799","5.458","9.288","6.302","5.682","4.868","0.444","2.848","184.275"
"5","DPi","Filipe Albuquerque","2","1:42.078","4:27.536","Green","Track","11.776","13.527","9.605","19.731","7.069","5.797","5.477","9.143","6.260","5.647","4.814","0.449","2.796","182.223"
"84","DPi","Stephen Simpson","2","1:45.614","4:29.737","Green","Track","11.811","14.180","10.345","20.915","7.142","5.818","5.521","9.632","6.455","5.691","4.853","0.440","2.817","185.950"
"48","GTD","Bryan Sellers","1","4:41.895","4:41.895","Green","Pit","33.017","19.290","11.661","23.163","8.335","7.196","6.821","11.920","7.444","7.001","12.175","0.000","0.000","0.000"
"77","DPi","Oliver Jarvis","2","1:37.704","4:43.925","Green","Track","10.406","13.001","8.737","19.075","7.002","5.722","5.278","8.725","6.186","5.580","4.772","0.435","2.786","188.088"
"29","GTD","Daniel Morad","1","4:57.477","4:57.477","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","7.456","6.547","5.482","0.494","3.164","165.624"
"46","GTD","Emanuele Busnelli","1","5:03.072","5:03.072","Green","Track","550.764","20.258","12.874","24.751","9.724","7.679","7.609","11.922","8.133","7.224","6.134","0.555","3.547","147.420"
"8","GTD","Parker Chase","2","1:52.697","5:04.022","Green","Track","12.062","14.895","10.443","21.241","8.197","6.637","6.032","10.262","7.369","6.484","5.448","0.490","3.137","166.976"
"50","DPi","Will Owen","2","1:43.152","5:04.911","Green","Track","13.237","14.084","9.205","19.303","7.037","5.821","5.363","8.942","6.347","5.695","4.856","0.440","2.825","185.950"
"14","GTD","Jack Hawksworth","2","1:51.006","5:07.008","Green","Track","12.029","14.613","10.140","20.755","8.059","6.575","6.000","10.134","7.204","6.425","5.427","0.492","3.153","166.297"
"31","DPi","Felipe Nasr","2","1:41.435","5:10.615","Green","Track","11.590","13.517","9.291","19.452","7.072","5.790","5.464","9.248","6.265","5.664","4.824","0.438","2.801","186.800"
"912","GTLM","Mathieu Jaminet","1","5:12.607","5:12.607","Green","Pit","31.888","19.261","11.830","22.775","7.940","6.508","7.638","12.085","7.159","6.287","9.701","0.000","0.000","0.000"
"911","GTLM","Patrick Pilet","1","5:15.128","5:15.128","Green","Pit","32.159","18.809","11.942","22.705","7.992","6.467","7.095","12.066","7.247","6.463","12.053","0.000","0.000","0.000"
"71","GTD","Maximilian Buhk","2","1:52.417","5:33.385","Green","Track","12.524","14.612","10.469","20.998","7.954","6.525","6.107","10.598","7.134","6.398","5.435","0.494","3.169","165.624"
"9","GTD","Scott Hargrove","2","2:10.838","5:47.741","Green","Track","14.686","15.955","13.978","22.949","8.767","7.262","7.913","12.124","7.736","8.267","6.832","0.592","3.777","138.206"
"5","DPi","Filipe Albuquerque","3","1:38.256","6:05.792","Green","Track","10.833","13.081","8.871","18.633","7.011","5.758","5.328","8.705","6.289","5.706","4.804","0.437","2.796","187.227"
"11","GTD","Christian Engelhart","3","1:52.150","6:07.750","Green","Track","12.490","14.543","10.229","20.866","8.063","6.549","5.988","10.225","7.180","6.756","5.571","0.500","3.190","163.636"
"19","GTD","Andrew Davis","1","6:08.287","6:08.287","Green","Track","549.732","20.717","11.695","23.215","8.386","6.924","6.931","11.960","7.554","6.960","5.920","0.546","3.467","149.850"
"84","DPi","Stephen Simpson","3","1:40.493","6:10.230","Green","Track","10.945","13.546","9.294","19.090","7.084","5.824","5.371","9.152","6.403","5.699","4.839","0.439","2.811","186.374"
"55","DPi","Jonathan Bomarito","3","1:55.585","6:15.797","Green","Pit","10.561","13.144","9.329","19.453","6.995","5.800","6.025","9.911","6.355","5.706","8.844","0.000","0.000","0.000"
"77","DPi","Oliver Jarvis","3","1:35.989","6:19.914","Green","Track","10.079","12.991","8.635","18.222","6.892","5.686","5.259","8.476","6.161","5.577","4.779","0.436","2.796","187.656"
"33","GTD","Jeroen Bleekemolen","1","6:26.032","6:26.032","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"50","DPi","Will Owen","3","1:41.716","6:46.627","Green","Track","11.854","14.478","8.991","18.769","7.047","5.861","5.633","8.908","6.306","5.676","4.882","0.445","2.867","183.861"
"31","DPi","Felipe Nasr","3","1:40.329","6:50.935","Green","Track","10.696","13.128","10.234","19.124","7.089","5.794","5.345","8.966","6.270","5.626","4.811","0.450","2.807","181.818"
"29","GTD","Daniel Morad","2","1:56.179","6:53.656","Green","Track","12.764","15.150","10.860","22.003","8.093","6.589","6.385","11.402","7.355","6.476","5.454","0.496","3.152","164.956"
"8","GTD","Parker Chase","3","1:52.265","6:56.287","Green","Track","12.398","15.140","10.408","20.741","8.090","6.596","6.000","10.273","7.201","6.399","5.402","0.488","3.129","167.660"
"14","GTD","Jack Hawksworth","3","1:49.453","6:56.461","Green","Track","11.452","14.367","9.996","20.267","8.004","6.591","6.042","10.097","7.170","6.408","5.412","0.492","3.155","166.297"
"46","GTD","Emanuele Busnelli","2","1:57.445","7:00.517","Green","Track","14.854","15.893","10.727","21.790","8.202","6.581","6.104","10.638","7.300","6.394","5.365","0.485","3.112","168.697"
"48","GTD","Bryan Sellers","2","2:24.527","7:06.422","Green","Track","32.614","17.533","15.005","24.391","8.170","6.711","6.179","10.786","7.330","6.503","5.549","0.505","3.251","162.016"
"12","GTD","Townsend Bell","2","4:00.700","7:16.137","Green","Track","137.118","17.609","10.512","21.258","8.142","6.647","6.036","10.556","7.279","6.434","5.450","0.495","3.164","165.289"
"71","GTD","Maximilian Buhk","3","1:49.184","7:22.569","Green","Track","11.503","14.297","10.007","20.347","7.949","6.510","5.986","10.077","7.114","6.357","5.405","0.490","3.142","166.976"
"52","LMP2","Matthew McMurry","1","7:26.583","7:26.583","Green","Pit","32.451","19.708","11.469","23.219","7.522","6.251","6.944","11.986","7.077","6.181","11.083","0.000","0.000","0.000"
"912","GTLM","Mathieu Jaminet","2","2:16.145","7:28.752","Green","Track","31.697","17.172","11.467","21.614","7.900","6.515","6.781","10.313","7.013","6.212","5.547","0.535","3.379","152.931"
"911","GTLM","Patrick Pilet","2","2:14.671","7:29.799","Green","Track","31.715","16.928","11.132","21.545","7.873","6.385","6.275","10.514","7.131","6.240","5.218","0.484","3.231","169.046"
"63","GTD","Toni Vilander","2","4:51.923","7:30.792","Green","Track","189.935","17.437","10.425","20.822","8.036","6.481","6.075","10.349","7.164","6.310","5.329","0.478","3.082","171.168"
"5","DPi","Filipe Albuquerque","4","1:38.840","7:44.632","Green","Track","10.635","12.915","8.867","18.580","7.072","5.775","5.345","9.594","6.352","5.668","4.803","0.447","2.778","183.038"
"9","GTD","Scott Hargrove","3","2:00.734","7:48.475","Green","Track","13.871","15.556","11.859","21.869","8.176","6.687","7.418","11.585","7.457","6.699","5.663","0.510","3.384","160.428"
"62","GTLM","Miguel Molina","2","4:17.182","7:48.957","Green","Track","155.536","17.386","10.679","20.765","7.879","6.464","5.960","10.369","7.034","6.244","5.294","0.479","3.069","170.810"
"3","GTLM","Jan Magnussen","1","7:50.492","7:50.492","Green","Pit","0.000","0.000","0.000","0.000","0.000","6.547","6.434","11.435","7.258","6.371","11.428","0.000","0.000","0.000"
"84","DPi","Stephen Simpson","4","1:42.068","7:52.298","Green","Track","11.752","13.983","9.268","19.151","7.118","5.821","5.415","9.363","6.440","5.663","4.847","0.438","2.807","186.800"
"77","DPi","Oliver Jarvis","4","1:36.169","7:56.083","Green","Track","10.077","12.998","8.647","18.374","6.901","5.684","5.265","8.509","6.170","5.555","4.760","0.435","2.790","188.088"
"11","GTD","Christian Engelhart","4","1:49.222","7:56.972","Green","Track","11.372","14.390","10.069","20.404","8.023","6.571","5.955","9.931","7.184","6.353","5.367","0.487","3.116","168.004"
"19","GTD","Andrew Davis","2","2:01.194","8:09.481","Green","Track","13.392","15.805","11.357","23.623","8.341","6.965","6.913","11.775","7.380","6.479","5.486","0.498","3.180","164.294"
"50","DPi","Will Owen","4","1:38.422","8:25.049","Green","Track","10.591","13.289","9.095","18.439","7.039","5.804","5.382","8.672","6.287","5.648","4.872","0.444","2.861","184.275"
"31","DPi","Felipe Nasr","4","1:38.181","8:29.116","Green","Track","10.594","13.040","8.862","19.169","7.073","5.788","5.345","8.440","6.204","5.615","4.798","0.438","2.815","186.800"
"29","GTD","Daniel Morad","3","1:51.270","8:44.926","Green","Track","12.020","14.402","10.181","20.709","8.034","6.575","6.032","10.612","7.232","6.409","5.422","0.495","3.147","165.289"
"14","GTD","Jack Hawksworth","4","1:50.109","8:46.570","Green","Track","11.502","14.720","9.989","20.127","8.090","6.551","5.968","10.374","7.292","6.417","5.428","0.494","3.157","165.624"
"8","GTD","Parker Chase","4","1:51.385","8:47.672","Green","Track","11.502","15.121","10.305","20.798","8.117","6.590","6.006","10.248","7.274","6.409","5.402","0.490","3.123","166.976"
"33","GTD","Jeroen Bleekemolen","2","2:24.117","8:50.149","Green","Track","31.848","19.969","11.707","22.765","8.923","7.228","6.769","11.134","7.650","6.734","5.621","0.509","3.260","160.743"
"46","GTD","Emanuele Busnelli","3","1:51.367","8:51.884","Green","Track","11.867","14.519","10.402","20.727","8.113","6.562","6.014","10.398","7.247","6.405","5.391","0.492","3.230","166.297"
"48","GTD","Bryan Sellers","3","1:50.593","8:57.015","Green","Track","11.894","14.266","10.164","20.258","8.100","6.663","6.112","10.202","7.227","6.454","5.513","0.503","3.237","162.660"
"73","GTD","Matt Campbell","2","5:54.999","8:58.551","Green","Track","218.243","19.995","17.003","25.668","8.676","7.492","10.763","12.643","10.119","10.092","9.139","0.726","4.440","112.697"
"12","GTD","Townsend Bell","3","1:50.090","9:06.227","Green","Track","11.972","14.414","10.178","20.526","8.027","6.580","5.995","9.802","7.139","6.368","5.424","0.495","3.170","165.289"
"66","GTLM","Dirk Mueller","1","9:09.488","9:09.488","Green","Track","32.586","21.298","11.639","22.843","8.083","6.533","6.162","10.626","7.210","6.325","5.334","0.484","3.085","169.046"
"71","GTD","Maximilian Buhk","4","1:48.694","9:11.263","Green","Track","11.474","14.232","9.924","20.250","7.919","6.509","5.957","10.000","7.087","6.330","5.383","0.490","3.139","166.976"
