"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"7","GS","Alan Brynjolfsson","4","2:14.920","9:30.322","Green","Track","6.351","6.322","27.665","16.896","29.913","10.173","20.514","0.587","11.744","1.667","3.088","144.417","103.616"
"61","TCR","Jon Morley","3","2:20.848","9:34.831","Green","Track","6.950","6.301","28.971","17.709","31.162","10.499","21.423","0.626","12.192","1.753","3.262","135.420","98.532"
"56","GS","Eric Foss","2","2:12.813","9:39.120","Green","Track","6.324","6.356","27.051","16.622","29.264","9.970","20.282","0.584","11.682","1.636","3.042","145.159","105.579"
"69","GS","Corey Fergus","2","2:14.622","9:40.414","Green","Track","6.284","6.821","28.011","16.675","29.553","10.074","20.118","0.568","11.891","1.627","3.000","149.248","106.163"
"59","GS","Rod Randall","4","2:14.985","9:42.454","Green","Track","6.387","6.640","27.435","16.707","29.976","10.015","20.507","0.586","12.030","1.644","3.058","144.663","105.065"
"40","GS","James Pesek","4","2:24.220","9:45.979","Green","Track","6.600","6.783","32.059","18.643","30.589","10.771","20.920","0.590","12.490","1.675","3.100","143.683","103.121"
"65","GS","Justin Piscitell","3","3:43.531","9:46.373","Green","Track","89.711","10.241","28.228","17.388","30.080","10.308","20.389","0.587","11.902","1.644","3.053","144.417","105.065"
"37","TCR","Shelby Blackstock","4","2:16.439","9:53.680","Green","Track","6.798","6.101","27.695","17.123","30.374","10.265","20.863","0.626","11.722","1.685","3.187","135.420","102.509"
"2","GS","Tyler Cooke","4","2:12.462","9:58.456","Green","Track","6.408","6.424","26.837","16.363","29.155","9.932","20.320","0.587","11.723","1.645","3.068","144.417","105.001"
"35","GS","James Cox","4","2:12.798","10:05.702","Green","Track","6.327","6.303","26.680","16.775","29.529","10.090","20.162","0.580","11.634","1.663","3.055","146.160","103.865"
"88","GS","Greg Liefooghe","3","2:11.449","10:08.083","Green","Track","6.239","6.264","26.720","16.315","29.021","9.914","20.091","0.580","11.697","1.607","3.001","146.160","107.484"
"17","TCR","Mikey Taylor","4","2:16.152","10:13.585","Green","Track","6.639","6.260","27.739","17.164","30.029","10.205","20.899","0.615","11.731","1.694","3.177","137.842","101.964"
"58","GS","Alec Udell","4","2:11.927","10:14.705","Green","Track","6.338","6.242","26.695","16.460","29.109","9.908","20.105","0.582","11.845","1.621","3.022","145.658","106.556"
"13","GS","Orey Fidani","4","2:15.755","10:36.530","Green","Track","6.557","6.917","27.628","16.835","30.142","10.165","20.281","0.583","11.938","1.647","3.062","145.408","104.874"
"21","TCR","Harry Gottsacker","4","2:19.818","10:40.191","Green","Track","6.780","7.502","28.415","17.176","30.305","10.440","21.167","0.624","12.412","1.746","3.251","135.854","98.927"
"75","GS","Kuno Wittmer","4","2:13.515","10:41.837","Green","Track","6.324","6.287","27.088","16.536","29.795","10.159","20.200","0.573","11.846","1.657","3.050","147.945","104.241"
"96","GS","Robby Foley","4","2:38.795","10:47.455","Green","Track","23.611","10.637","28.618","17.301","30.076","10.253","21.115","0.603","11.979","1.605","2.997","140.585","107.618"
"84","TCR","Todd Lamb","4","2:25.366","10:58.557","Green","Pit","6.673","6.060","27.468","17.222","29.933","10.136","20.718","0.622","12.180","2.948","11.406","136.291","58.591"
"39","GS","Tyler McQuarrie","4","2:12.093","10:59.624","Green","Track","6.257","6.196","26.414","16.406","29.573","10.234","20.085","0.583","11.678","1.625","3.042","145.408","106.294"
"5","TCR","Tim Lewis Jr","4","2:18.788","11:00.670","Green","Track","6.848","6.535","27.845","17.319","30.542","10.555","21.254","0.626","12.429","1.677","3.158","135.420","102.998"
"73","TCR","Mat Pombo","4","2:15.885","11:01.836","Green","Track","6.664","6.215","27.554","17.166","30.002","10.207","20.913","0.615","11.713","1.672","3.164","137.842","103.306"
"33","GS","Russell Ward","4","2:19.555","11:08.680","Green","Track","6.249","7.151","28.907","17.248","31.272","10.564","20.494","0.579","12.371","1.655","3.065","146.412","104.367"
"44","GS","Jason Hart","4","2:13.007","11:12.372","Green","Track","6.379","6.330","26.844","16.569","29.368","10.045","20.309","0.582","11.794","1.677","3.110","145.658","102.998"
"12","TCR","Russell McDonough","4","2:29.859","11:12.762","Green","Pit","6.751","6.418","28.097","17.452","30.626","11.041","21.257","0.658","13.581","3.639","10.339","128.834","47.466"
"97","GS","Rob Ecklin Jr.","3","2:32.832","11:16.667","Green","Pit","6.491","6.539","28.163","17.158","33.019","10.991","21.306","0.657","14.051","3.362","11.095","129.030","51.376"
