"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"31","DPi","Felipe Nasr","1","2:08.493","2:08.493","Green","Track","0.000","10.455","28.022","16.224","26.990","8.660","17.530","0.534","10.201","1.331","2.506","158.750","129.773"
"55","DPi","Harry Tincknell","1","2:11.894","2:11.894","Green","Track","0.000","9.949","26.347","15.074","26.236","8.534","17.344","0.588","11.972","1.316","2.468","144.171","131.252"
"84","DPi","Simon Trummer","1","2:22.935","2:22.935","Green","Pit","0.000","11.476","27.945","15.794","26.591","8.552","17.789","0.687","12.940","3.294","10.317","123.396","52.437"
"10","DPi","Renger Van Der Zande","1","2:29.594","2:29.594","Green","Pit","0.000","10.537","29.692","16.815","28.144","8.855","18.510","0.580","12.607","3.456","10.135","146.160","49.979"
"63","GTD","Toni Vilander","1","2:37.830","2:37.830","Green","Track","0.000","12.962","31.157","16.830","30.144","10.130","19.462","0.579","11.770","1.564","2.882","146.412","110.439"
"47","GTD","Brandon Gdovic","1","2:38.521","2:38.521","Green","Track","0.000","12.327","31.086","17.339","29.621","10.294","19.389","0.575","12.023","1.523","2.816","147.431","113.413"
"5","DPi","Filipe Albuquerque","1","2:38.635","2:38.635","Green","Track","0.000","9.785","27.178","15.788","27.293","8.503","17.021","0.497","10.688","1.323","2.493","170.569","130.557"
"52","LMP2","Gabriel Aubry","1","2:50.461","2:50.461","Green","Pit","277.386","12.029","29.328","17.047","29.036","10.217","19.232","0.600","13.734","3.722","10.220","141.288","46.407"
"12","GTD","Aaron Telitz","1","3:01.816","3:01.816","Green","Track","0.000","11.270","30.990","18.230","30.744","10.003","20.331","0.584","12.066","1.547","2.867","145.159","111.653"
"912","GTLM","Laurens Vanthoor","1","3:03.780","3:03.780","Green","Pit","0.000","10.336","29.203","17.145","30.254","10.309","19.179","0.638","13.328","3.507","10.184","132.873","49.252"
"7","DPi","Helio Castroneves","1","3:08.838","3:08.838","Green","Pit","0.000","9.991","28.084","15.390","28.586","9.536","18.581","0.514","11.257","3.352","10.181","164.927","51.530"
