"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"54","DPi","Colin Braun","11","1:22.871","20:24.247","Finish","Track","2.895","11.520","0.502","12.604","9.629","8.554","0.501","12.298","9.474","9.002","2.053","3.839","157.552","161.949"
"6","DPi","Dane Cameron","12","1:24.352","20:26.681","Finish","Track","3.240","11.175","0.510","13.369","9.697","8.693","0.551","12.498","9.524","9.076","2.091","3.928","155.080","147.253"
"14","GTD","Jack Hawksworth","11","1:32.064","20:32.536","Finish","Track","3.309","12.650","0.570","14.434","10.402","9.954","0.577","13.272","10.276","9.864","2.352","4.404","138.756","140.618"
"12","GTD","Townsend Bell","11","1:32.054","20:34.329","Finish","Track","3.590","12.790","0.575","13.748","10.392","9.801","0.577","13.300","10.246","10.164","2.412","4.459","137.549","140.618"
"86","GTD","Mario Farnbacher","11","1:30.375","20:36.556","Finish","Track","3.287","12.415","0.563","13.445","10.300","9.781","0.573","13.103","10.168","10.004","2.350","4.386","140.481","141.599"
"7","DPi","Helio Castroneves","11","1:21.590","20:38.204","Finish","Track","3.000","10.851","0.503","12.378","9.436","8.659","0.510","12.023","9.447","8.856","2.060","3.867","157.238","159.091"
"73","GTD","Zacharie Robichon","11","1:31.132","20:49.708","Finish","Track","3.327","12.695","0.575","13.666","10.331","9.810","0.580","13.148","10.173","9.981","2.377","4.469","137.549","139.890"
"44","GTD","Andy Lally","10","1:31.853","21:01.284","Finish","Track","3.415","12.686","0.576","13.908","10.357","9.864","0.580","13.108","10.124","10.374","2.400","4.461","137.311","139.890"
"76","GTD","Matt Plumb","10","1:31.484","21:06.011","Finish","Track","3.411","12.431","0.572","13.558","10.262","9.801","0.579","13.241","10.252","10.478","2.410","4.489","138.271","140.132"
"85","DPi","Misha Goikhberg","11","1:28.533","21:06.907","Finish","Track","3.416","11.833","0.520","13.692","9.873","8.758","0.518","13.230","10.261","10.105","2.169","4.158","152.098","156.634"
"63","GTD","Toni Vilander","12","1:30.937","21:10.743","Finish","Track","3.221","12.660","0.571","13.624","10.220","9.757","0.574","13.143","10.133","10.212","2.387","4.435","138.513","141.353"
"48","GTD","Bryan Sellers","11","1:30.531","21:12.179","Finish","Track","3.318","12.731","0.570","13.326","10.253","9.771","0.575","12.889","10.134","10.151","2.386","4.427","138.756","141.107"
"10","DPi","Jordan Taylor","12","1:23.926","21:16.101","Finish","Track","2.898","10.901","0.504","12.417","9.665","8.698","0.515","13.080","9.894","9.328","2.095","3.931","156.926","157.546"
"74","GTD","Lawson Aschenbach","11","1:31.370","21:17.836","Finish","Track","3.330","12.562","0.571","13.612","10.323","9.794","0.579","13.271","10.123","10.339","2.403","4.463","138.513","140.132"
"55","DPi","Harry Tincknell","12","1:20.957","21:18.754","Finish","Track","2.798","10.755","0.505","12.360","9.283","8.671","0.509","12.041","9.294","8.826","2.057","3.858","156.616","159.403"
