"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"88","GS","Henry Schmitt","1","2:13.878","2:13.878","Green","Track","0.000","13.814","8.558","12.841","10.419","3.165","0.955","13.052","23.180","22.559","8.121","6.684","85.673"
"2","GS","Kenton Koch","1","2:18.940","2:18.940","Green","Track","0.000","13.891","7.633","0.000","0.000","2.588","0.863","12.084","22.861","22.230","8.093","6.361","94.807"
"82","GS","Devin Jones","1","2:21.196","2:21.196","Green","Track","0.000","14.518","8.284","13.206","10.522","3.384","1.002","12.987","24.745","24.521","8.607","6.888","81.655"
"89","TCR","Ryan Eversley","1","2:25.223","2:25.223","Green","Track","0.000","15.459","8.902","12.603","11.541","3.317","0.923","12.389","23.644","22.708","8.256","6.841","88.644"
"75","GS","Kuno Wittmer","1","2:26.536","2:26.536","Green","Track","0.000","15.425","7.844","13.698","12.518","3.494","0.953","12.681","23.922","23.046","8.531","6.956","85.853"
"61","TCR","Jon Morley","1","2:32.661","2:32.661","Green","Track","0.000","15.298","8.589","13.871","12.466","3.501","0.976","12.410","26.747","26.395","8.679","7.656","83.830"
"81","TCR","Marco Cirone","1","2:36.346","2:36.346","Green","Track","261.059","14.483","7.886","13.894","11.020","3.280","0.899","13.327","25.253","24.543","8.768","7.706","91.010"
"13","GS","Orey Fidani","1","2:37.597","2:37.597","Green","Track","264.663","16.098","7.902","14.008","12.495","3.660","1.004","13.693","25.582","25.156","9.013","7.083","81.492"
"69","GS","Corey Fergus","1","2:40.080","2:40.080","Green","Track","244.896","15.182","7.648","13.812","11.280","3.148","0.916","12.571","23.952","24.156","8.392","6.895","89.321"
"59","GS","Rod Randall","1","2:47.095","2:47.095","Green","Track","254.377","14.445","8.849","14.127","12.017","3.113","0.961","12.879","24.623","28.793","10.039","8.599","85.139"
"8","GS","Gunnar Jeannette","1","2:52.416","2:52.416","Green","Track","201.207","14.847","8.574","15.385","11.522","3.038","0.889","12.708","24.516","24.547","8.625","7.252","92.034"
