"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"84","DPi","Simon Trummer","54","1:16.509","1:10:29.029","Green","Track","3.782","6.383","4.029","7.803","6.876","1.813","0.488","7.003","14.412","14.314","5.363","4.243","167.660"
"912","GTLM","Earl Bamber","51","1:20.642","1:10:30.027","Green","Track","4.179","7.096","4.312","8.247","7.493","1.962","0.529","6.861","14.567","15.335","5.573","4.488","154.666"
"10","DPi","Jordan Taylor","54","1:15.252","1:10:31.249","Green","Track","3.779","6.200","3.947","7.938","6.929","1.820","0.490","6.607","14.179","13.794","5.400","4.169","166.976"
"50","DPi","Will Owen","54","1:15.010","1:10:34.609","Green","Track","3.772","6.260","3.903","7.790","6.865","1.811","0.486","6.270","13.689","14.064","5.546","4.554","168.350"
"76","GTD","Paul Holton","49","1:24.147","1:10:34.656","Green","Track","4.432","7.458","4.508","8.970","7.850","2.047","0.550","7.169","15.231","15.486","5.712","4.734","148.760"
"25","GTLM","Tom Blomqvist","51","1:21.111","1:10:34.951","Green","Track","4.196","7.092","4.354","8.276","7.494","1.951","0.525","6.909","14.785","15.118","5.818","4.593","155.844"
"55","DPi","Ryan Hunter-Reay","55","1:13.470","1:10:39.280","Green","Track","3.773","6.381","3.948","7.907","6.740","1.771","0.477","6.310","13.546","13.189","5.309","4.119","171.527"
"911","GTLM","Nick Tandy","51","1:20.192","1:10:43.361","Green","Track","4.146","7.041","4.272","8.270","7.455","1.958","0.528","7.004","14.683","14.767","5.622","4.446","154.959"
"66","GTLM","Dirk Mueller","51","1:20.739","1:10:46.209","Green","Track","4.275","7.155","4.380","8.386","7.592","1.973","0.529","6.867","14.584","14.874","5.584","4.540","154.666"
"85","DPi","Misha Goikhberg","54","1:17.264","1:10:46.321","Green","Track","3.922","6.476","3.994","7.986","6.967","1.833","0.493","6.676","14.828","14.358","5.468","4.263","165.960"
"31","DPi","Pipo Derani","55","1:17.903","1:10:47.138","Green","Track","3.853","6.814","4.033","8.280","6.921","1.807","0.485","6.534","14.479","14.789","5.718","4.190","168.697"
"67","GTLM","Richard Westbrook","51","1:21.358","1:10:47.161","Green","Track","4.264","7.184","4.362","8.314","7.563","1.964","0.526","6.979","14.923","15.202","5.500","4.577","155.548"
