"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"56","GS","Jeff Mosing","7","2:09.336","14:51.838","Green","Pit","3.550","9.643","13.811","4.250","0.545","15.407","23.812","15.871","19.552","7.929","14.966","150.751"
"21","TCR","Harry Gottsacker","7","1:58.682","14:53.897","Green","Track","3.685","9.810","14.397","4.511","0.581","15.119","24.043","16.062","20.155","6.472","3.847","141.410"
"73","TCR","Mike LaMarra","6","3:09.704","14:59.743","Green","Pit","3.704","9.866","14.522","4.535","0.584","15.415","24.586","16.238","19.618","9.737","70.899","140.683"
"13","GS","Scott Hargrove","7","2:08.721","15:03.011","Finish","Track","14.676","9.882","14.115","4.244","0.541","15.534","24.019","15.957","19.568","6.422","3.763","151.865"
"61","TCR","Gavin Ernstone","6","2:01.142","15:04.272","Finish","Track","3.761","10.076","14.801","4.562","0.583","15.582","24.486","16.644","19.947","6.737","3.963","140.925"
"65","GS","Tim Probert","7","1:57.731","15:11.082","Finish","Track","3.611","9.625","13.959","4.316","0.553","15.813","24.301","15.676","19.653","6.454","3.770","148.570"
"4","GS","Ted Giovanis","7","2:01.689","15:20.284","Finish","Track","3.597","10.728","14.422","4.351","0.557","16.420","24.828","16.115","20.170","6.692","3.809","147.503"
"96","GS","Vin Barletta","7","1:59.943","15:20.621","Finish","Track","3.594","10.056","13.885","4.214","0.539","16.094","24.963","16.159","20.000","6.675","3.764","152.429"
"23","TCR","Jared Salinsky","7","1:59.461","15:21.545","Finish","Track","3.682","9.864","14.308","4.423","0.566","15.392","24.612","16.301","19.897","6.553","3.863","145.157"
"84","TCR","Brian Henderson","7","2:13.159","15:22.076","Finish","Pit","3.722","9.715","14.496","4.552","0.588","15.411","24.344","16.171","20.020","8.204","15.936","139.726"
"12","TCR","Ryan Nash","7","1:59.970","15:23.494","Finish","Track","3.698","9.827","14.204","4.383","0.559","15.756","24.494","16.233","20.355","6.624","3.837","146.975"
"35","GS","Dylan Murry","7","2:06.753","15:28.497","Finish","Track","14.264","9.728","13.925","4.262","0.545","15.269","23.601","15.938","19.265","0.000","0.000","150.751"
"98","TCR","Michael Lewis","5","1:58.420","15:39.217","Finish","Track","3.681","9.728","14.553","4.547","0.585","15.088","24.224","16.206","19.510","6.448","3.850","140.443"
"93","GS","Mark Siegel","7","2:00.391","15:45.152","Finish","Track","0.000","0.000","14.151","4.395","0.560","16.074","24.802","16.136","20.082","6.737","3.841","146.713"
"88","GS","Henry Schmitt","7","1:57.055","15:57.856","Finish","Track","3.547","9.943","13.809","4.202","0.538","15.486","23.938","15.776","19.713","6.419","3.684","152.712"
"57","GS","Christian Hohenadel","8","1:55.616","15:59.473","Finish","Track","3.578","9.640","13.790","4.256","0.546","15.009","23.568","15.794","19.252","6.445","3.738","150.475"
"89","TCR","Chad Gilsinger","6","1:59.370","16:15.523","Finish","Track","3.704","9.823","14.537","4.551","0.584","15.455","24.407","16.328","19.649","6.474","3.858","140.683"
"82","GS","James Clay","7","1:56.177","16:15.760","Finish","Track","3.536","9.679","13.690","4.203","0.539","15.094","23.788","15.725","19.718","6.494","3.711","152.429"
"8","GS","Rodrigo Sales","7","1:59.306","16:32.453","Finish","Track","3.598","9.826","14.085","4.346","0.556","16.129","24.150","15.980","20.169","6.654","3.813","147.768"
"59","GS","Rod Randall","6","2:19.680","16:37.299","Finish","Track","14.470","11.771","17.015","5.127","0.628","17.192","26.073","16.244","20.147","7.151","3.862","130.827"
"11","GS","John Tecce","7","1:59.705","16:40.999","Finish","Track","3.645","9.774","13.975","4.272","0.549","16.061","24.674","16.221","20.009","6.740","3.785","149.652"
"71","GS","Robin Liddell","7","1:56.177","16:43.336","Finish","Track","3.574","9.828","14.018","4.303","0.552","15.158","23.649","15.583","19.359","6.410","3.743","148.839"
"21","TCR","Harry Gottsacker","8","1:59.271","16:53.168","Finish","Track","3.696","9.776","14.454","4.519","0.583","15.281","24.056","16.000","19.518","6.479","4.909","140.925"
