"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"4","LMP3","Leo Lamelas","3","2:11.407","7:07.282","Red","Track","5.837","5.367","24.698","17.030","27.091","9.275","18.981","0.599","15.318","2.794","4.417","141.524","61.821"
"70","LMP3","Joel Janco","3","2:20.550","7:12.574","Red","Pit","6.013","5.830","26.400","17.358","27.579","9.257","19.017","0.622","14.396","3.634","10.444","136.291","47.531"
"51","LMP3","Rob Hodes","3","2:22.951","7:15.238","Red","Pit","6.029","6.128","26.547","17.496","27.143","9.232","19.077","0.644","14.731","4.175","11.749","131.635","41.372"
"75","LMP3","Cameron Cassels","3","2:22.191","7:20.530","Red","Pit","5.917","5.975","25.398","15.722","27.142","9.045","18.601","0.557","15.840","4.335","13.659","152.195","39.845"
"55","LMP3","Nikko Reger","3","2:27.621","7:21.791","Red","Pit","5.770","5.606","25.402","19.069","27.126","9.122","18.590","0.645","15.703","3.881","16.707","131.431","44.506"
"40","LMP3","David Grant","3","2:32.475","7:32.711","Red","Pit","5.899","5.635","24.868","15.856","26.905","11.482","23.764","1.015","22.522","4.156","10.373","83.520","41.561"
"11","LMP3","Maurice Smith","3","2:27.879","7:33.839","Red","Pit","6.070","6.105","25.400","17.000","27.388","9.311","20.591","0.800","20.791","4.007","10.416","105.966","43.106"
"12","LMP3","Kevin Woods","3","2:26.666","7:51.215","Red","Pit","5.849","6.315","25.648","15.986","27.385","10.621","20.680","0.793","18.838","4.275","10.276","106.901","40.404"
"10","LMP3","Joe Robillard","3","2:46.024","8:11.970","Red","Pit","6.010","6.038","25.435","16.126","27.167","12.494","36.846","0.859","14.990","4.638","15.421","98.688","37.242"
"19","LMP3","Bradley Baker","3","2:45.687","8:12.769","Red","Pit","5.992","5.932","26.278","16.569","27.567","11.117","37.807","1.029","16.168","4.018","13.210","82.384","42.988"
"64","LMP3","Naveen Rao","3","3:05.416","8:14.444","Red","Pit","5.912","5.482","24.940","17.381","50.893","10.797","34.504","1.063","17.002","4.565","12.877","79.749","37.837"
"86","LMP3","Paul LaHaye","3","2:50.984","8:20.453","Red","Pit","6.188","6.252","26.496","17.750","29.831","10.034","34.888","1.285","21.708","4.492","12.060","65.971","38.452"
"33","LMP3","Lance Willsey","3","2:49.114","8:22.205","Red","Pit","6.024","5.983","25.688","15.950","29.788","10.274","34.659","1.331","22.272","4.698","12.447","63.691","36.766"
"54","LMP3","David Murry","3","2:48.153","8:25.069","Red","Pit","5.913","5.853","25.242","15.575","28.977","10.543","34.116","1.282","22.247","5.304","13.101","66.125","32.565"
"7","LMP3","Blake Mount","3","2:47.932","8:27.570","Red","Pit","5.949","5.791","25.494","15.500","27.637","9.640","34.696","1.284","22.980","5.586","13.375","66.022","30.921"
"74","LMP3","Wyatt Schwab","3","2:31.730","8:29.548","Red","Pit","6.036","5.977","26.707","20.122","30.540","9.293","20.054","0.815","16.663","4.237","11.286","104.016","40.766"
"2","LMP3","Tim George","3","2:53.522","9:08.385","Red","Pit","6.163","6.442","31.979","20.641","36.834","11.746","23.052","0.772","15.919","3.920","16.054","109.809","44.063"
"9","LMP3","Gerry Kraut","3","2:58.217","9:13.502","Red","Pit","0.000","0.000","32.519","20.656","36.774","11.551","26.481","0.840","16.596","4.523","15.753","100.920","38.189"
"52","LMP3","Mike Guasch","3","3:02.388","9:18.408","Red","Pit","6.174","5.969","33.397","22.127","35.118","11.876","28.465","0.918","18.543","4.582","15.219","92.345","37.697"
"60","LMP3","Bruce Hamilton","3","2:59.656","9:20.492","Red","Pit","6.072","6.499","33.294","22.981","34.964","13.779","24.242","0.809","18.967","4.136","13.913","104.787","41.762"
"47","LMP3","Rodrigo Pflucker","4","2:57.791","9:24.067","Red","Pit","5.682","5.519","33.113","21.385","34.280","13.275","24.308","0.860","20.615","4.756","13.998","98.573","36.318"
"26","LMP3","James McGuire","4","2:58.073","9:26.534","Red","Pit","6.516","6.765","31.221","21.713","34.610","12.699","25.000","0.890","19.077","5.332","14.250","95.250","32.394"
"43","LMP3","Stevan McAleer","4","2:54.568","9:33.931","Red","Pit","7.056","8.084","37.541","23.302","31.723","10.011","21.074","0.836","17.845","4.307","12.789","101.403","40.104"
"4","LMP3","Leo Lamelas","4","3:04.658","10:11.940","Red","Pit","9.969","8.313","34.630","22.750","35.622","12.549","26.547","0.867","17.617","4.575","11.219","97.777","37.755"
