"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"88","GS","Greg Liefooghe","1","2:34.160","2:34.160","Green","Track","0.000","11.989","31.898","18.245","31.564","10.247","20.272","0.588","12.175","1.618","3.018","144.171","106.754"
"60","GS","Nate Stacy","1","2:34.628","2:34.628","Green","Track","0.000","11.790","31.238","18.308","30.950","10.482","20.279","0.586","12.178","1.621","3.032","144.663","106.556"
"46","GS","Owen Trinkler","1","2:36.936","2:36.936","Green","Track","0.000","10.641","29.464","17.510","30.159","10.145","21.769","0.795","12.185","1.600","2.985","106.632","107.955"
"13","GS","Scott Hargrove","1","2:46.599","2:46.599","Green","Track","0.000","11.846","31.096","18.025","30.364","10.188","20.764","0.600","12.255","1.633","3.034","141.288","105.773"
"4","GS","Guy Cosmo","1","2:48.154","2:48.154","Green","Track","0.000","13.427","31.384","18.393","31.145","10.309","20.638","0.587","11.815","1.603","2.991","144.417","107.753"
"96","GS","Bill Auberlen","1","2:48.396","2:48.396","Green","Track","0.000","11.241","28.714","17.364","30.720","9.956","19.971","0.569","11.662","1.580","2.941","148.985","109.321"
"15","GS","Ben Rhodes","1","2:50.080","2:50.080","Green","Track","0.000","13.270","30.114","18.671","31.928","10.030","20.465","0.583","12.053","1.625","3.029","145.408","106.294"
"7","GS","Trent Hindman","1","2:55.012","2:55.012","Green","Track","0.000","12.713","31.254","19.384","32.536","11.036","21.501","0.628","11.806","1.625","3.016","134.988","106.294"
"40","GS","Jade Buford","1","2:56.918","2:56.918","Green","Track","0.000","13.309","31.921","18.225","33.460","11.431","20.379","0.579","11.901","1.654","3.066","146.412","104.430"
"8","GS","Rodrigo Sales","1","2:57.008","2:57.008","Green","Track","0.000","14.476","33.685","18.661","34.465","12.442","21.724","0.695","12.842","1.683","3.099","121.975","102.631"
"65","GS","Justin Piscitell","1","2:58.119","2:58.119","Green","Track","0.000","10.538","30.514","18.487","32.508","11.581","20.658","0.581","12.200","1.631","3.026","145.908","105.903"
"58","GS","DJ Randall","1","3:02.038","3:02.038","Green","Track","0.000","12.597","29.794","19.520","30.841","11.610","21.346","0.599","12.214","1.631","3.048","141.524","105.903"
"59","GS","Rod Randall","1","3:04.682","3:04.682","Green","Track","0.000","12.571","30.165","18.150","31.746","10.997","22.172","0.596","12.894","1.645","3.046","142.236","105.001"
"33","GS","Russell Ward","1","3:05.354","3:05.354","Green","Track","0.000","11.972","30.387","17.779","31.507","10.519","21.533","0.589","12.959","1.655","3.055","143.927","104.367"
"3","TCR","Alex Popow","1","3:07.048","3:07.048","Green","Track","0.000","12.643","32.357","19.513","33.895","0.000","0.000","0.653","13.396","1.703","3.167","129.820","101.425"
"56","GS","Eric Foss","1","3:08.484","3:08.484","Green","Track","0.000","11.178","33.442","21.715","36.610","11.348","21.420","0.618","12.766","1.670","3.082","137.173","103.430"
"54","TCR","Stephen Simpson","1","3:13.046","3:13.046","Green","Track","0.000","12.576","33.614","19.401","33.018","11.276","22.782","0.673","12.752","1.712","3.200","125.962","100.892"
"57","GS","Bryce Ward","1","3:14.530","3:14.530","Green","Track","0.000","12.465","31.915","19.068","33.550","11.101","22.064","0.665","13.630","1.739","3.170","127.478","99.326"
"22","GS","Grant Enfinger","1","3:16.645","3:16.645","Green","Track","0.000","11.465","28.407","19.411","32.513","12.906","21.765","0.738","13.844","1.657","3.068","114.868","104.241"
