"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"29","GTD","Christopher Mies","16","2:16.803","39:23.822","Green","Track","14.510","10.545","15.655","4.259","0.537","17.256","25.736","16.058","21.137","7.383","3.727","152.996"
"14","GTD","Philipp Frommenwiler","16","2:02.199","39:28.741","Green","Track","3.487","10.246","13.468","4.087","0.525","16.616","25.321","16.990","20.814","7.004","3.641","156.494"
"84","DPi","Stephen Simpson","17","2:00.300","39:31.587","Green","Track","3.712","10.347","14.229","3.866","0.528","16.739","25.293","15.459","20.220","6.583","3.324","155.604"
"6","DPi","Dane Cameron","8","1:49.506","39:32.466","Green","Track","3.179","9.414","11.865","3.624","0.467","14.860","23.488","14.607","18.701","6.121","3.180","175.930"
"911","GTLM","Patrick Pilet","15","2:00.991","39:43.837","Green","Track","3.646","10.412","13.765","4.091","0.547","16.576","25.108","16.034","20.247","6.969","3.596","150.199"
"48","GTD","Ryan Hardwick","17","2:02.197","39:52.684","Green","Track","3.479","10.466","13.923","4.149","0.530","16.654","25.536","16.185","20.667","6.970","3.638","155.017"
"25","GTLM","Tom Blomqvist","12","1:58.136","40:02.295","Green","Track","3.462","10.024","13.252","4.024","0.519","16.073","24.470","15.816","20.062","6.900","3.534","158.303"
"10","DPi","Renger Van Der Zande","8","1:50.651","40:09.630","Green","Track","3.190","9.457","11.625","3.619","0.472","15.013","23.894","14.958","18.810","6.350","3.263","174.066"
"9","GTD","Zacharie Robichon","14","2:01.805","40:13.886","Green","Track","3.453","10.472","13.569","4.179","0.536","16.638","25.283","16.263","20.873","6.884","3.655","153.282"
"66","GTLM","Joey Hand","11","4:40.152","40:13.860","Green","Pit","3.495","10.227","14.069","4.165","0.536","16.742","25.433","15.979","20.778","11.308","157.420","153.282"
"77","DPi","Timo Bernhard","16","1:52.449","40:22.871","Green","Track","3.183","9.911","12.726","3.689","0.485","15.366","23.426","14.883","19.331","6.265","3.184","169.400"
"540","GTD","Marco Seefried","16","2:02.911","40:26.645","Green","Track","3.566","10.282","14.366","4.263","0.547","16.678","25.317","16.370","20.770","7.071","3.681","150.199"
"85","DPi","Misha Goikhberg","17","1:53.250","40:28.988","Green","Track","3.232","9.870","12.616","3.721","0.477","15.360","23.783","14.939","19.407","6.557","3.288","172.241"
"67","GTLM","Richard Westbrook","16","2:19.933","40:33.004","Green","Track","14.603","11.142","15.498","4.194","0.570","16.532","24.997","15.923","26.239","6.710","3.525","144.139"
"50","DPi","Rene Binder","12","1:54.559","40:35.911","Green","Track","3.241","9.447","12.780","3.724","0.504","16.963","24.143","14.770","19.069","6.636","3.282","163.014"
"73","GTD","Nicholas Boulle","8","2:05.586","40:41.833","Green","Track","3.622","10.639","14.679","4.243","0.541","17.888","26.202","16.133","20.964","7.012","3.663","151.865"
"55","DPi","Jonathan Bomarito","16","1:53.839","40:45.732","Green","Track","3.192","9.552","12.098","3.655","0.506","16.300","24.623","14.951","19.286","6.472","3.204","162.370"
"4","GTLM","Oliver Gavin","17","2:01.370","40:49.019","Green","Track","3.633","10.245","14.001","4.067","0.545","16.700","25.583","15.894","20.340","6.815","3.547","150.751"
"912","GTLM","Laurens Vanthoor","16","2:12.040","41:03.911","Green","Pit","3.528","10.317","13.457","4.024","0.517","15.987","24.785","15.785","20.199","11.217","12.224","158.915"
"8","GTD","Parker Chase","15","2:02.144","41:07.760","Green","Track","3.647","10.378","13.875","4.206","0.537","16.552","25.214","16.204","20.582","7.158","3.791","152.996"
"29","GTD","Christopher Mies","17","2:02.768","41:26.590","Green","Track","3.612","10.195","14.554","4.160","0.533","17.162","25.088","16.102","20.605","7.088","3.669","154.145"
"3","GTLM","Jan Magnussen","17","2:14.526","41:29.967","Green","Pit","3.464","10.105","14.596","4.116","0.523","16.093","25.051","16.118","21.144","11.224","12.092","157.092"
"84","DPi","Stephen Simpson","18","1:59.404","41:30.991","Green","Track","3.543","11.153","13.956","3.817","0.526","16.270","24.703","15.535","20.009","6.578","3.314","156.196"
"14","GTD","Philipp Frommenwiler","17","2:02.401","41:31.142","Green","Track","3.500","10.326","13.564","4.109","0.526","16.613","25.548","16.542","20.947","7.081","3.645","156.196"
"6","DPi","Dane Cameron","9","2:08.258","41:40.724","Green","Pit","3.396","9.803","13.271","3.826","0.544","16.375","24.016","14.770","19.172","10.874","12.211","151.028"
"911","GTLM","Patrick Pilet","16","1:59.417","41:43.254","Green","Track","3.508","10.070","13.581","4.061","0.523","16.462","24.830","15.739","20.233","6.834","3.576","157.092"
"24","GTLM","John Edwards","17","4:05.205","41:47.927","Green","Track","121.861","10.134","14.293","5.487","0.813","17.543","24.861","15.951","23.855","6.836","3.571","101.057"
"48","GTD","Ryan Hardwick","18","2:02.498","41:55.182","Green","Track","3.479","10.264","14.142","4.165","0.532","16.898","25.541","16.163","20.737","6.937","3.640","154.434"
"25","GTLM","Tom Blomqvist","13","1:58.019","42:00.314","Green","Track","3.434","10.016","13.181","4.018","0.515","16.040","24.582","15.741","20.003","6.947","3.542","159.532"
"10","DPi","Renger Van Der Zande","9","1:51.128","42:00.758","Green","Track","3.133","9.805","11.762","3.614","0.464","15.148","23.475","14.998","19.123","6.384","3.222","177.067"
"77","DPi","Timo Bernhard","17","1:50.218","42:13.089","Green","Track","3.151","9.423","12.576","3.691","0.474","14.586","22.911","15.257","18.818","6.131","3.200","173.331"
"540","GTD","Marco Seefried","17","2:02.187","42:28.832","Green","Track","3.534","10.233","13.775","4.191","0.539","16.505","25.699","16.263","20.722","7.058","3.668","152.429"
