"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"96","GS","Robby Foley","1","2:19.319","2:19.319","Green","Track","0.000","19.883","13.695","22.753","8.794","7.175","6.537","11.196","7.931","6.857","5.659","0.508","3.250","161.059"
"2","GS","Kenton Koch","1","2:20.687","2:20.687","Green","Track","0.000","18.566","12.669","22.912","8.568","7.026","6.718","11.130","7.829","6.867","5.623","0.502","3.186","162.984"
"22","GS","Billy Johnson","1","2:23.283","2:23.283","Green","Track","0.000","19.239","11.155","21.924","8.580","6.903","6.773","11.153","7.874","6.885","5.581","0.502","3.195","162.984"
"13","GS","Orey Fidani","1","2:23.589","2:23.589","Green","Track","0.000","18.952","12.967","24.409","8.648","6.937","6.768","12.446","8.031","6.778","5.595","0.499","3.199","163.964"
"71","GS","Robin Liddell","1","2:23.700","2:23.700","Green","Track","0.000","18.727","11.034","21.876","8.638","6.935","6.743","11.500","7.810","6.760","5.553","0.497","3.169","164.624"
"10","TCR","Kieron O'Rourke","1","2:26.729","2:26.729","Green","Track","0.000","19.887","13.166","24.772","9.248","7.437","7.513","12.577","8.326","7.262","5.936","0.534","3.421","153.218"
"60","GS","Nate Stacy","1","2:26.792","2:26.792","Green","Track","0.000","19.509","11.882","22.610","8.675","6.996","6.680","11.662","7.838","6.860","5.538","0.497","3.152","164.624"
"12","TCR","Ryan Nash","1","2:34.841","2:34.841","Green","Track","0.000","20.998","12.839","24.843","9.278","7.585","7.145","12.774","8.561","7.495","6.131","0.547","3.487","149.576"
"82","GS","Devin Jones","1","2:35.216","2:35.216","Green","Track","0.000","18.758","11.848","22.519","8.789","7.026","6.597","10.875","7.782","6.794","5.595","0.501","3.172","163.310"
"35","GS","Dylan Murry","1","2:38.247","2:38.247","Green","Track","0.000","20.242","12.663","24.530","9.962","8.131","7.517","11.670","8.674","7.637","6.394","0.584","3.722","140.100"
"5","TCR","Tim Lewis Jr","1","2:45.256","2:45.256","Green","Track","0.000","20.630","13.048","25.140","9.316","7.627","7.552","13.478","8.618","7.520","6.225","0.559","3.558","146.365"
"57","GS","Christian Hohenadel","1","2:50.707","2:50.707","Green","Track","0.000","21.670","13.552","24.391","8.677","6.988","6.474","12.444","8.020","6.877","5.605","0.501","3.180","163.310"
"44","GS","Mike Vess","1","2:52.408","2:52.408","Green","Track","0.000","22.295","13.111","24.336","8.731","6.953","6.405","11.610","7.935","6.871","5.825","0.517","3.296","158.256"
"26","GS","Kyle Reid","1","2:52.708","2:52.708","Green","Track","0.000","22.147","13.343","24.407","8.849","7.027","6.507","11.624","8.087","6.959","6.023","0.578","3.632","141.554"
"66","GS","Spencer Pumpelly","1","2:53.182","2:53.182","Green","Track","0.000","21.662","12.681","23.755","8.768","6.937","6.294","11.134","7.827","6.737","5.512","0.492","3.124","166.297"
"7","GS","Alan Brynjolfsson","1","2:53.876","2:53.876","Green","Track","0.000","19.979","12.545","23.748","8.591","6.950","6.297","11.457","7.806","6.759","5.561","0.496","3.138","164.956"
"84","TCR","Brian Henderson","1","2:57.807","2:57.807","Green","Track","0.000","21.484","13.230","24.646","9.280","7.601","6.968","12.091","8.367","7.372","6.050","0.544","3.463","150.401"
"56","GS","Jeff Mosing","1","2:57.885","2:57.885","Green","Track","0.000","18.723","12.745","24.134","8.719","6.992","6.345","10.986","7.781","6.780","5.549","0.495","3.188","165.289"
"67","GS","Chris Bellomo","1","3:03.310","3:03.310","Green","Track","0.000","19.350","12.038","24.114","8.757","6.937","6.871","12.486","7.858","6.817","5.572","0.498","3.173","164.294"
"61","TCR","Jon Morley","1","3:04.802","3:04.802","Green","Track","0.000","20.582","12.791","25.529","9.824","7.713","7.151","12.283","8.315","7.562","6.231","0.551","3.494","148.490"
"93","GS","Mark Siegel","1","3:08.701","3:08.701","Green","Track","0.000","21.124","13.313","25.694","9.053","7.167","6.573","13.169","8.150","6.996","5.686","0.508","3.207","161.059"
"33","GS","Russell Ward","1","3:11.501","3:11.501","Green","Track","0.000","20.851","14.202","23.763","9.278","8.331","8.225","12.323","7.902","6.816","5.567","0.497","3.169","164.624"
"28","GS","Fred Poordad","1","3:13.993","3:13.993","Green","Track","0.000","20.426","12.408","23.691","8.709","6.907","7.265","12.947","8.001","7.224","5.895","0.532","3.381","153.794"
"09","GS","Ramin Abdolvahabi","1","3:15.278","3:15.278","Green","Track","0.000","21.311","12.876","25.242","8.949","7.368","7.248","12.289","7.991","7.329","5.979","0.532","3.426","153.794"
"59","GS","Rod Randall","1","3:17.833","3:17.833","Green","Pit","0.000","20.688","13.085","25.153","9.552","7.759","7.451","12.505","8.600","8.002","9.863","0.000","0.000","0.000"
"47","GS","Matt Travis","1","3:27.387","3:27.387","Green","Track","0.000","19.909","13.077","26.446","10.523","8.053","7.160","12.926","12.281","8.454","6.359","0.590","3.663","138.675"
"99","GS","Gary Ferrera","1","3:34.271","3:34.271","Green","Track","0.000","21.290","13.051","24.435","9.086","7.074","6.506","12.970","7.945","6.810","5.566","0.503","3.210","162.660"
"11","GS","Stefan Rzadzinski","1","4:02.306","4:02.306","Green","Pit","0.000","21.783","12.848","24.152","8.727","6.986","6.629","12.349","8.166","7.206","11.831","0.000","0.000","0.000"
"96","GS","Robby Foley","2","1:56.224","4:15.543","Green","Track","12.103","15.276","10.616","21.738","8.554","6.937","6.378","10.721","7.763","6.795","5.628","0.506","3.209","161.696"
"2","GS","Kenton Koch","2","1:55.387","4:16.074","Green","Track","11.925","15.127","10.595","21.270","8.516","6.937","6.326","10.642","7.846","6.907","5.603","0.506","3.187","161.696"
"22","GS","Billy Johnson","2","1:55.082","4:18.365","Green","Track","11.763","15.131","10.529","21.386","8.574","7.035","6.323","10.529","7.751","6.820","5.551","0.500","3.190","163.636"
"71","GS","Robin Liddell","2","1:55.158","4:18.858","Green","Track","11.887","15.273","10.579","21.500","8.657","7.015","6.287","10.224","7.738","6.807","5.526","0.495","3.170","165.289"
"60","GS","Nate Stacy","2","1:55.118","4:21.910","Green","Track","12.059","15.201","10.510","21.398","8.488","6.905","6.303","10.523","7.745","6.809","5.519","0.495","3.163","165.289"
"13","GS","Orey Fidani","2","1:59.075","4:22.664","Green","Track","12.932","15.763","10.892","22.539","8.786","7.128","6.409","10.921","7.731","6.725","5.582","0.498","3.169","164.294"
"10","TCR","Kieron O'Rourke","2","2:03.396","4:30.125","Green","Track","13.066","16.042","11.232","22.818","9.110","7.406","6.769","11.687","8.143","7.223","5.933","0.535","3.432","152.931"
"82","GS","Devin Jones","2","1:56.038","4:31.254","Green","Track","12.237","15.459","10.536","21.527","8.508","6.885","6.342","10.899","7.681","6.729","5.561","0.498","3.176","164.294"
"12","TCR","Ryan Nash","2","2:06.905","4:41.746","Green","Track","13.802","16.658","11.472","23.602","9.231","7.541","6.919","11.982","8.279","7.347","6.044","0.543","3.485","150.678"
"57","GS","Christian Hohenadel","2","1:55.828","4:46.535","Green","Track","11.950","15.101","10.645","21.579","8.507","7.027","6.374","10.889","7.736","6.816","5.544","0.497","3.163","164.624"
"35","GS","Dylan Murry","2","2:10.770","4:49.017","Green","Track","13.535","17.347","12.345","23.321","9.702","7.942","7.267","11.980","8.763","7.733","6.528","0.588","3.719","139.147"
"44","GS","Mike Vess","2","1:58.434","4:50.842","Green","Track","12.765","15.758","11.134","22.164","8.548","6.882","6.362","11.265","7.706","6.712","5.504","0.492","3.142","166.297"
"66","GS","Spencer Pumpelly","2","1:57.772","4:50.954","Green","Track","12.543","15.464","11.069","22.231","8.554","6.836","6.324","11.217","7.698","6.702","5.511","0.492","3.131","166.297"
"7","GS","Alan Brynjolfsson","2","1:57.246","4:51.122","Green","Track","12.545","15.617","10.846","22.105","8.564","6.856","6.227","11.122","7.669","6.669","5.453","0.485","3.088","168.697"
"5","TCR","Tim Lewis Jr","2","2:06.582","4:51.838","Green","Track","13.976","16.467","11.740","23.134","8.968","7.432","7.017","12.033","8.242","7.388","6.138","0.550","3.497","148.760"
"56","GS","Jeff Mosing","2","1:54.939","4:52.824","Green","Track","12.022","15.268","10.644","21.469","8.550","6.894","6.260","10.532","7.565","6.677","5.455","0.488","3.115","167.660"
"26","GS","Kyle Reid","2","2:00.359","4:53.067","Green","Track","13.386","16.452","11.248","22.806","8.647","6.928","6.341","10.690","7.744","6.787","5.643","0.502","3.185","162.984"
"84","TCR","Brian Henderson","2","2:04.569","5:02.376","Green","Track","13.718","16.280","11.550","23.004","9.047","7.453","6.883","11.194","8.148","7.243","6.019","0.542","3.488","150.956"
"67","GS","Robert Orcutt","2","2:00.546","5:03.856","Green","Track","13.282","16.083","11.133","22.437","8.626","6.918","6.532","11.642","7.866","6.794","5.559","0.499","3.175","163.964"
