"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"46","GS","Owen Trinkler","1","2:11.326","2:11.326","Green","Track","0.000","18.308","11.261","0.000","0.000","6.889","6.258","10.812","7.644","6.741","5.586","0.501","3.184","163.310"
"35","GS","Dylan Murry","1","2:12.474","2:12.474","Green","Track","0.000","17.805","10.969","21.806","8.487","6.871","6.237","10.547","7.580","6.681","5.529","0.500","3.209","163.636"
"4","GS","Guy Cosmo","1","2:12.514","2:12.514","Green","Track","0.000","18.101","11.067","21.882","8.569","6.905","6.246","11.045","7.723","6.749","5.621","0.510","3.225","160.428"
"15","GS","Scott Maxwell","1","2:25.576","2:25.576","Green","Track","0.000","19.225","11.317","22.804","8.682","7.043","6.374","10.836","7.801","6.852","5.677","0.514","3.283","159.179"
"97","GS","Rob Ecklin Jr.","1","2:25.717","2:25.717","Green","Track","0.000","20.183","12.188","23.555","8.688","7.071","6.808","11.999","7.813","6.936","5.822","0.527","3.341","155.253"
"12","TCR","Russell McDonough","1","2:31.505","2:31.505","Green","Track","0.000","20.170","12.194","25.170","9.151","7.412","6.812","12.173","8.145","7.261","6.053","0.546","3.469","149.850"
"96","GS","Bruce McKee","1","2:34.596","2:34.596","Green","Track","0.000","19.671","12.086","23.629","8.760","6.971","6.405","11.544","7.824","6.859","5.727","0.514","3.290","159.179"
"22","GS","Billy Johnson","1","2:37.778","2:37.778","Green","Track","0.000","17.853","11.212","22.662","8.715","7.046","6.503","10.740","7.749","6.881","5.716","0.517","3.281","158.256"
"7","GS","Alan Brynjolfsson","1","2:38.704","2:38.704","Green","Track","0.000","18.461","11.835","23.573","8.724","6.948","6.788","11.352","7.768","6.788","5.638","0.506","3.205","161.696"
"11","GS","Stefan Rzadzinski","1","2:40.812","2:40.812","Green","Track","0.000","18.309","12.377","23.427","8.962","7.032","6.514","11.568","7.852","6.876","5.754","0.516","3.268","158.562"
"23","TCR","Nick Galante","1","2:42.735","2:42.735","Green","Track","0.000","20.733","13.791","25.633","9.288","7.519","6.955","18.044","9.011","7.612","6.120","0.549","3.487","149.031"
"37","TCR","Shelby Blackstock","1","2:44.492","2:44.492","Green","Track","0.000","20.039","12.722","25.298","9.500","7.589","7.095","11.699","8.339","7.515","6.279","0.566","3.606","144.555"
"88","GS","Henry Schmitt","1","2:44.628","2:44.628","Green","Track","0.000","18.107","12.107","22.500","8.724","7.044","6.461","10.967","7.723","6.855","5.689","0.510","3.248","160.428"
"24","GS","Frank Gannett II","1","2:47.460","2:47.460","Green","Track","0.000","19.722","12.988","24.258","8.828","7.097","6.642","12.053","8.008","6.976","5.755","0.517","3.311","158.256"
"39","GS","Tyler McQuarrie","1","2:48.624","2:48.624","Green","Track","0.000","18.991","11.877","23.053","8.680","6.988","6.354","11.227","7.845","6.794","5.547","0.495","3.146","165.289"
"56","GS","Eric Foss","1","2:48.743","2:48.743","Green","Track","0.000","18.190","11.265","22.541","8.705","6.975","6.267","11.185","7.748","6.778","5.524","0.493","3.144","165.960"
"71","GS","Andrew Davis","1","2:49.281","2:49.281","Green","Track","0.000","18.745","11.161","22.834","8.658","6.966","6.452","11.417","7.732","6.820","5.627","0.507","3.232","161.377"
"10","TCR","Lee Carpentier","1","2:49.767","2:49.767","Green","Track","0.000","19.402","13.033","23.664","9.050","7.308","6.705","12.078","8.344","7.269","5.932","0.530","3.376","154.374"
"2","GS","Tyler Cooke","1","2:49.960","2:49.960","Green","Track","0.000","19.237","12.192","23.493","8.859","7.156","6.591","11.666","7.788","6.871","5.593","0.501","3.181","163.310"
"89","TCR","Ryan Eversley","1","2:50.750","2:50.750","Green","Track","0.000","19.305","11.962","23.314","9.186","7.523","6.846","11.353","8.303","7.492","6.128","0.553","3.532","147.953"
"26","GS","Toby Grahovec","1","2:59.564","2:59.564","Green","Track","0.000","19.299","12.000","23.246","8.919","7.117","6.549","11.383","7.936","6.928","5.816","0.523","3.324","156.440"
"84","TCR","Todd Lamb","1","3:02.929","3:02.929","Green","Track","0.000","19.781","12.465","24.679","9.272","7.581","7.122","12.414","8.337","7.447","6.224","0.563","3.602","145.325"
"52","TCR","Colin Mullan","1","3:04.411","3:04.411","Green","Track","0.000","0.000","11.957","24.699","9.438","7.678","8.163","11.786","8.351","7.553","6.325","0.573","3.645","142.789"
"33","GS","Russell Ward","1","3:04.809","3:04.809","Green","Track","0.000","19.544","12.066","23.219","8.704","7.015","6.350","12.243","7.899","6.858","5.637","0.505","3.210","162.016"
"73","TCR","Mat Pombo","1","3:07.923","3:07.923","Green","Track","0.000","19.771","12.010","24.271","9.331","7.611","6.849","12.289","8.493","7.481","6.235","0.561","3.580","145.843"
"57","GS","Bryce Ward","1","3:09.560","3:09.560","Green","Track","0.000","19.605","12.188","24.007","8.770","6.955","6.412","12.470","7.881","6.839","5.666","0.508","3.228","161.059"
"60","GS","Nate Stacy","1","3:12.022","3:12.022","Green","Track","0.000","19.860","12.500","23.274","8.823","7.066","6.415","11.370","7.955","6.949","5.669","0.509","3.258","160.743"
"65","GS","Justin Piscitell","1","3:12.311","3:12.311","Green","Track","0.000","18.823","11.825","22.835","8.764","7.000","6.474","11.264","7.839","6.829","5.641","0.505","3.220","162.016"
"75","GS","Kuno Wittmer","1","3:22.829","3:22.829","Green","Track","0.000","18.942","11.438","23.450","8.222","6.596","6.168","11.263","7.362","6.496","5.465","0.490","3.123","166.976"
"44","GS","Mike Vess","1","3:26.498","3:26.498","Green","Track","0.000","20.847","12.459","25.244","8.783","6.989","6.414","11.402","7.827","6.856","5.722","0.514","3.282","159.179"
"13","GS","Scott Hargrove","1","3:30.245","3:30.245","Green","Track","0.000","23.348","20.162","26.095","8.874","7.058","6.481","11.845","8.373","8.052","7.160","0.655","4.177","124.913"
"61","TCR","Gavin Ernstone","1","3:32.436","3:32.436","Green","Track","0.000","22.476","17.115","27.665","9.301","7.408","6.933","12.514","8.321","7.295","6.101","0.550","3.537","148.760"
"3","TCR","Alex Popow Karaha","1","3:36.410","3:36.410","Green","Track","0.000","22.761","13.740","26.682","9.254","7.513","7.151","13.507","8.450","7.503","6.283","0.565","3.614","144.811"
"5","TCR","Tim Lewis Jr","1","3:37.160","3:37.160","Green","Track","0.000","21.011","14.168","25.396","9.162","7.465","7.563","13.320","8.325","7.433","6.242","0.564","3.591","145.068"
"99","GS","Gary Ferrera","1","3:37.528","3:37.528","Green","Track","0.000","21.053","13.126","25.285","8.942","6.944","7.059","13.444","7.875","7.113","5.980","0.559","3.708","146.365"
"69","GS","Corey Fergus","1","3:48.657","3:48.657","Green","Track","0.000","20.920","12.963","23.791","8.484","6.798","6.237","11.585","7.661","6.671","5.540","0.497","3.157","164.624"
"09","GS","Dale Katechis","1","3:51.107","3:51.107","Green","Track","0.000","20.623","13.182","24.105","8.871","7.020","6.643","12.050","8.044","7.041","5.892","0.533","3.459","153.505"
"54","TCR","Michael Johnson","1","3:52.715","3:52.715","Green","Pit","0.000","21.035","14.435","26.015","9.737","7.947","7.564","13.227","8.298","7.284","11.787","0.000","0.000","0.000"
"46","GS","Owen Trinkler","2","1:55.021","4:06.347","Green","Track","11.956","15.297","10.808","21.449","8.473","6.834","6.162","10.528","7.589","6.702","5.558","0.498","3.167","164.294"
"35","GS","Dylan Murry","2","1:55.338","4:07.812","Green","Track","11.877","15.116","11.428","21.606","8.463","6.832","6.186","10.289","7.531","6.715","5.593","0.503","3.199","162.660"
"4","GS","Guy Cosmo","2","1:56.348","4:08.862","Green","Track","12.229","15.202","11.280","21.831","8.522","6.844","6.189","10.628","7.636","6.736","5.572","0.500","3.179","163.636"
"66","GS","Spencer Pumpelly","1","4:13.430","4:13.430","Green","Track","0.000","17.866","11.235","22.037","8.741","7.040","6.261","10.856","7.772","6.811","5.670","0.509","3.229","160.743"
"67","GS","Chris Bellomo","1","4:16.189","4:16.189","Green","Track","0.000","20.962","12.731","24.758","9.339","7.453","6.716","12.486","7.998","6.842","5.649","0.507","3.232","161.377"
"15","GS","Scott Maxwell","2","1:55.083","4:20.659","Green","Track","11.993","15.087","10.699","21.141","8.545","6.930","6.290","10.460","7.686","6.815","5.675","0.512","3.250","159.801"
"97","GS","Rob Ecklin Jr.","2","2:00.362","4:26.079","Green","Track","12.920","15.877","11.255","22.228","8.567","7.015","6.538","11.681","7.727","6.912","5.793","0.521","3.328","157.041"
"96","GS","Bruce McKee","2","1:59.139","4:33.735","Green","Track","12.749","15.536","11.113","22.515","8.626","6.896","6.341","11.251","7.745","6.828","5.732","0.516","3.291","158.562"
"22","GS","Billy Johnson","2","1:56.611","4:34.389","Green","Track","12.094","15.183","10.710","21.505","8.567","6.923","6.403","11.257","7.723","6.818","5.663","0.509","3.256","160.743"
"12","TCR","Russell McDonough","2","2:04.027","4:35.532","Green","Track","13.486","16.202","11.340","23.043","8.949","7.279","6.956","11.651","8.136","7.141","5.912","0.531","3.401","154.083"
"7","GS","Alan Brynjolfsson","2","1:57.785","4:36.489","Green","Track","12.458","15.531","10.925","22.066","8.650","6.922","6.273","11.110","7.726","6.800","5.626","0.504","3.194","162.338"
"11","GS","Stefan Rzadzinski","2","1:58.822","4:39.634","Green","Track","12.502","15.668","10.816","22.391","8.640","6.958","6.401","11.238","7.844","6.856","5.738","0.514","3.256","159.179"
"88","GS","Henry Schmitt","2","1:56.430","4:41.058","Green","Track","12.172","15.628","10.948","21.486","8.588","6.925","6.342","10.578","7.598","6.781","5.658","0.507","3.219","161.377"
"39","GS","Tyler McQuarrie","2","1:55.713","4:44.337","Green","Track","11.959","15.105","10.723","21.667","8.605","7.000","6.276","10.571","7.660","6.802","5.648","0.503","3.194","162.660"
"56","GS","Eric Foss","2","1:55.678","4:44.421","Green","Track","12.115","15.201","10.742","21.679","8.720","6.924","6.269","10.544","7.636","6.683","5.517","0.494","3.154","165.624"
"71","GS","Andrew Davis","2","1:56.876","4:46.157","Green","Track","12.068","15.526","10.812","21.932","8.599","6.878","6.279","10.915","7.749","6.770","5.625","0.505","3.218","162.016"
"2","GS","Tyler Cooke","2","1:57.062","4:47.022","Green","Track","12.118","15.248","10.997","22.146","8.531","6.811","6.423","11.046","7.721","6.767","5.572","0.501","3.181","163.310"
"23","TCR","Nick Galante","2","2:04.884","4:47.619","Green","Track","13.167","16.773","11.865","22.906","9.034","7.331","6.753","11.684","8.128","7.239","6.021","0.541","3.442","151.235"
"24","GS","Frank Gannett II","2","2:01.096","4:48.556","Green","Track","12.917","16.137","10.993","22.521","8.707","6.935","6.775","11.949","7.881","6.864","5.672","0.509","3.236","160.743"
"37","TCR","Shelby Blackstock","2","2:04.264","4:48.756","Green","Track","13.049","16.285","11.661","22.831","9.264","7.435","6.851","11.152","8.155","7.336","6.142","0.555","3.548","147.420"
"10","TCR","Lee Carpentier","2","2:01.623","4:51.390","Green","Track","12.851","16.047","11.186","22.408","8.928","7.253","6.597","11.276","8.033","7.161","5.947","0.532","3.404","153.794"
"89","TCR","Ryan Eversley","2","2:01.128","4:51.878","Green","Track","12.519","15.712","11.251","22.268","8.995","7.361","6.679","10.902","8.189","7.248","6.002","0.540","3.462","151.515"
"26","GS","Toby Grahovec","2","1:58.014","4:57.578","Green","Track","12.225","15.694","10.912","22.142","8.653","6.917","6.346","10.914","7.836","6.858","5.738","0.514","3.265","159.179"
"82","GS","Devin Jones","1","5:01.278","5:01.278","Green","Track","0.000","20.050","11.460","22.215","8.600","6.903","6.490","10.985","7.629","6.752","5.642","0.506","3.225","161.696"
"33","GS","Russell Ward","2","1:57.276","5:02.085","Green","Track","12.441","15.497","11.401","21.618","8.513","6.870","6.203","11.093","7.656","6.744","5.568","0.498","3.174","164.294"
"84","TCR","Brian Henderson","2","2:03.862","5:06.791","Green","Track","13.183","16.225","12.193","22.590","8.999","7.408","6.807","10.875","8.046","7.298","6.139","0.554","3.545","147.686"
"57","GS","Bryce Ward","2","1:58.147","5:07.707","Green","Track","12.938","15.656","10.957","22.034","8.513","6.831","6.315","11.217","7.644","6.753","5.590","0.501","3.198","163.310"
"52","TCR","Colin Mullan","2","2:03.784","5:08.195","Green","Track","13.347","15.974","11.533","22.693","9.120","7.527","6.916","10.737","8.112","7.414","6.239","0.566","3.606","144.555"
"60","GS","Nate Stacy","2","1:56.489","5:08.511","Green","Track","12.259","15.135","10.706","21.306","8.483","6.820","6.272","11.617","7.726","6.856","5.605","0.502","3.202","162.984"
"65","GS","Justin Piscitell","2","1:56.400","5:08.711","Green","Track","12.451","15.311","10.844","21.620","8.552","6.888","6.273","10.861","7.651","6.785","5.520","0.493","3.151","165.960"
"73","TCR","Mat Pombo","2","2:01.835","5:09.758","Green","Track","12.560","15.828","11.407","21.864","9.093","7.476","6.832","11.312","8.087","7.296","6.061","0.542","3.477","150.956"
"75","GS","Kuno Wittmer","2","1:54.820","5:17.649","Green","Track","0.000","0.000","10.377","21.319","8.240","6.618","6.068","11.264","7.578","6.608","5.534","0.495","3.164","165.289"
"44","GS","Matt Travis","2","1:57.255","5:23.753","Green","Track","12.595","15.374","10.884","21.835","8.644","6.913","6.260","10.796","7.714","6.783","5.687","0.510","3.260","160.428"
"13","GS","Scott Hargrove","2","2:05.177","5:35.422","Green","Track","13.249","16.091","11.153","21.950","10.166","9.165","8.286","10.962","7.790","6.842","5.713","0.515","3.295","158.870"
"61","TCR","Gavin Ernstone","2","2:05.904","5:38.340","Green","Track","13.704","16.844","11.453","23.285","9.063","7.319","6.803","11.971","8.161","7.244","6.030","0.545","3.482","150.125"
"99","GS","Gary Ferrera","2","2:04.531","5:42.059","Green","Track","14.833","17.209","12.196","23.092","8.608","6.946","6.272","11.535","7.730","6.775","5.598","0.506","3.231","161.696"
"5","TCR","Tim Lewis Jr","2","2:08.705","5:45.865","Green","Track","14.776","16.772","12.243","23.421","8.988","7.418","7.003","12.141","8.168","7.389","6.224","0.563","3.599","145.325"
"69","GS","Corey Fergus","2","1:58.448","5:47.105","Green","Track","12.432","15.462","10.810","22.031","8.337","6.692","6.629","12.467","7.687","6.662","5.568","0.499","3.172","163.964"
"3","TCR","Alex Popow Karaha","2","2:13.134","5:49.544","Green","Track","15.293","17.797","13.364","24.407","9.068","7.430","7.077","12.672","8.278","7.412","6.205","0.558","3.573","146.628"
"46","GS","Owen Trinkler","3","1:54.728","6:01.075","Green","Track","11.819","15.203","10.685","21.420","8.489","6.852","6.187","10.516","7.613","6.714","5.559","0.499","3.172","163.964"
"35","GS","Dylan Murry","3","1:54.331","6:02.143","Green","Track","11.825","15.234","10.642","21.349","8.444","6.821","6.205","10.379","7.513","6.678","5.553","0.499","3.189","163.964"
"4","GS","Guy Cosmo","3","1:55.248","6:04.110","Green","Track","11.868","15.268","10.718","21.578","8.504","6.855","6.193","10.635","7.662","6.741","5.555","0.498","3.173","164.294"
"66","GS","Spencer Pumpelly","2","1:55.960","6:09.390","Green","Track","12.025","15.557","10.862","21.404","8.612","6.932","6.253","10.484","7.720","6.787","5.618","0.503","3.203","162.660"
"67","GS","Chris Bellomo","2","2:02.151","6:18.340","Green","Track","13.218","15.830","11.391","23.456","8.932","6.937","6.358","11.725","8.059","6.843","5.653","0.508","3.241","161.059"
"80","GS","Aurora Straus","1","6:23.379","6:23.379","Green","Track","0.000","19.980","12.289","22.936","8.599","6.924","6.440","11.039","7.730","6.802","5.671","0.509","3.242","160.743"
"97","GS","Rob Ecklin Jr.","3","2:00.349","6:26.428","Green","Track","12.957","15.898","11.255","22.501","8.585","6.990","6.421","11.522","7.755","6.912","5.736","0.517","3.300","158.256"
"22","GS","Billy Johnson","3","1:56.985","6:31.374","Green","Track","11.944","15.410","11.186","22.248","8.600","6.952","6.318","10.363","7.677","6.837","5.675","0.514","3.261","159.179"
"96","GS","Bruce McKee","3","1:58.818","6:32.553","Green","Track","12.371","15.447","11.221","23.265","8.649","6.868","6.287","10.773","7.705","6.796","5.659","0.511","3.266","160.114"
"7","GS","Alan Brynjolfsson","3","1:57.881","6:34.370","Green","Track","12.232","15.568","10.924","22.497","8.670","6.933","0.000","0.000","7.742","6.780","5.610","0.504","3.196","162.338"
"54","TCR","Michael Johnson","2","2:44.459","6:37.174","Green","Track","50.789","19.285","11.857","22.794","9.017","7.283","6.678","11.614","8.069","7.179","5.956","0.536","3.402","152.646"
"11","GS","Stefan Rzadzinski","3","1:57.688","6:37.322","Green","Track","12.485","15.588","10.764","22.061","8.595","6.884","6.393","11.069","7.715","6.782","5.638","0.505","3.209","162.016"
"12","TCR","Russell McDonough","3","2:02.233","6:37.765","Green","Track","12.895","16.288","11.361","22.730","8.867","7.208","6.530","11.334","7.995","7.114","5.948","0.541","3.422","151.235"
"39","GS","Tyler McQuarrie","3","1:55.291","6:39.628","Green","Track","11.882","14.950","10.689","21.571","8.730","7.008","6.234","10.448","7.665","6.815","5.616","0.501","3.182","163.310"
"56","GS","Eric Foss","3","1:55.290","6:39.711","Green","Track","12.062","15.277","10.754","21.493","8.536","6.864","6.220","10.598","7.639","6.712","5.499","0.493","3.143","165.960"
"71","GS","Andrew Davis","3","1:54.972","6:41.129","Green","Track","11.883","15.124","10.597","21.507","8.533","6.898","6.268","10.436","7.699","6.757","5.573","0.501","3.196","163.310"
"2","GS","Tyler Cooke","3","1:55.631","6:42.653","Green","Track","11.957","15.218","10.916","21.527","8.515","6.892","6.250","10.624","7.679","6.790","5.585","0.500","3.178","163.636"
"24","GS","Frank Gannett II","3","1:59.703","6:48.259","Green","Track","12.443","15.716","11.571","22.299","8.725","7.063","6.394","11.243","7.874","6.910","5.685","0.512","3.268","159.801"
"98","TCR","Michael Lewis","1","6:49.768","6:49.768","Green","Track","0.000","21.849","13.521","28.655","10.445","8.574","8.354","13.287","8.838","7.968","6.799","0.625","4.032","130.909"
"23","TCR","Nick Galante","3","2:02.406","6:50.025","Green","Track","12.662","16.057","11.507","22.480","9.001","7.403","6.695","11.364","8.112","7.207","5.952","0.536","3.430","152.646"
"88","GS","Greg Liefooghe","3","2:10.253","6:51.311","Green","Pit","12.137","15.315","10.785","21.639","8.468","6.790","6.359","11.233","7.668","6.783","9.359","0.000","0.000","0.000"
"37","TCR","Shelby Blackstock","3","2:03.061","6:51.817","Green","Track","12.994","16.097","11.534","22.310","9.144","7.506","6.854","10.863","8.164","7.379","6.134","0.553","3.529","147.953"
"89","TCR","Ryan Eversley","3","2:00.971","6:52.849","Green","Track","12.320","15.685","11.328","22.055","9.132","7.402","6.740","10.610","8.163","7.347","6.103","0.551","3.535","148.490"
"26","GS","Toby Grahovec","3","1:56.793","6:54.371","Green","Track","12.160","15.530","10.836","21.954","8.542","6.903","6.310","10.668","7.731","6.797","5.642","0.504","3.216","162.338"
"82","GS","Devin Jones","2","1:54.829","6:56.107","Green","Track","12.214","15.279","10.699","21.466","8.375","6.797","6.230","10.399","7.511","6.661","5.531","0.496","3.171","164.956"
"33","GS","Russell Ward","3","1:56.292","6:58.377","Green","Track","11.976","15.311","10.751","21.816","8.578","6.882","6.219","11.016","7.691","6.768","5.592","0.501","3.191","163.310"
"60","GS","Nate Stacy","3","1:56.254","7:04.765","Green","Track","12.049","15.329","10.850","21.581","8.468","6.857","6.296","10.864","7.704","6.819","5.664","0.510","3.263","160.428"
"65","GS","Justin Piscitell","3","1:56.939","7:05.650","Green","Track","12.251","15.550","11.187","21.752","8.576","6.901","6.303","10.888","7.635","6.681","5.527","0.500","3.188","163.636"
"57","GS","Bryce Ward","3","1:58.109","7:05.816","Green","Track","12.438","15.327","11.002","21.736","8.457","6.852","6.692","11.713","7.684","6.718","5.530","0.513","3.447","159.490"
"84","TCR","Brian Henderson","3","2:02.923","7:09.714","Green","Track","12.786","16.225","11.583","22.746","8.885","7.296","6.712","11.208","8.076","7.261","6.081","0.549","3.515","149.031"
"10","TCR","Lee Carpentier","3","2:20.712","7:12.102","Green","Pit","12.383","15.910","11.139","22.317","9.044","7.295","7.745","12.803","8.808","8.199","11.010","0.000","0.000","0.000"
"73","TCR","Mat Pombo","3","2:02.555","7:12.313","Green","Track","12.498","15.715","11.273","22.071","8.998","7.362","6.620","11.775","8.500","7.456","6.186","0.556","3.545","147.155"
"75","GS","Kuno Wittmer","3","1:54.636","7:12.285","Green","Track","0.000","0.000","10.585","21.520","8.307","6.673","6.151","10.700","7.609","6.607","5.525","0.493","3.149","165.960"
"52","TCR","Colin Mullan","3","2:04.821","7:13.016","Green","Track","13.244","15.811","11.311","22.385","9.052","7.464","6.796","12.413","8.480","7.476","6.226","0.566","3.597","144.555"
"44","GS","Matt Travis","3","1:56.550","7:20.303","Green","Track","11.943","15.248","10.838","21.756","8.624","6.926","6.263","10.907","7.771","6.807","5.699","0.510","3.258","160.428"
"13","GS","Scott Hargrove","3","1:55.787","7:31.209","Green","Track","11.972","15.252","10.774","21.313","8.606","6.918","6.257","10.699","7.772","6.778","5.672","0.511","3.263","160.114"
"99","GS","Gary Ferrera","3","1:58.932","7:40.991","Green","Track","12.794","15.613","10.939","22.062","8.510","6.835","6.319","11.929","7.795","6.820","5.579","0.506","3.231","161.696"
"61","TCR","Gavin Ernstone","3","2:03.685","7:42.025","Green","Track","12.927","16.001","11.378","22.828","9.066","7.333","6.700","11.927","8.211","7.254","6.048","0.542","3.470","150.956"
"69","GS","Corey Fergus","3","1:56.501","7:43.606","Green","Track","12.624","15.548","10.711","21.548","8.417","6.776","6.233","10.996","7.659","6.686","5.597","0.502","3.204","162.984"
"09","GS","Dale Katechis","2","3:57.615","7:48.722","Green","Pit","14.026","17.268","12.579","23.256","8.647","6.932","6.372","11.478","7.802","7.328","12.550","0.000","0.000","0.000"
"5","TCR","Tim Lewis Jr","3","2:04.978","7:50.843","Green","Track","13.187","16.631","11.524","22.734","8.921","7.397","6.905","11.656","8.155","7.414","6.258","0.565","3.631","144.811"
"35","GS","Dylan Murry","4","1:55.617","7:57.760","Green","Track","11.897","15.209","10.617","21.895","8.513","6.851","6.222","10.636","7.654","6.814","5.591","0.502","3.216","162.984"
"3","TCR","Alex Popow Karaha","3","2:09.286","7:58.830","Green","Track","14.335","16.486","11.930","23.884","8.999","7.422","7.090","12.955","8.392","7.417","6.234","0.561","3.581","145.843"
"31","GS","Pete McIntosh","1","8:04.583","8:04.583","Green","Track","0.000","20.133","12.555","23.225","8.758","6.949","6.361","11.368","7.859","6.860","5.664","0.510","3.266","160.428"
"66","GS","Spencer Pumpelly","3","1:55.600","8:04.990","Green","Track","11.749","15.264","10.756","21.872","8.627","6.871","6.206","10.444","7.777","6.786","5.563","0.498","3.187","164.294"
"67","GS","Chris Bellomo","3","1:59.431","8:17.771","Green","Track","12.324","15.438","11.194","22.486","8.786","6.980","6.381","11.803","7.905","6.793","5.610","0.505","3.226","162.016"
"15","GS","Scott Maxwell","3","3:57.568","8:18.227","Green","Pit","11.886","14.963","10.670","21.303","8.561","6.937","6.295","10.339","7.675","6.793","10.781","0.000","0.000","0.000"
"80","GS","Aurora Straus","2","1:56.655","8:20.034","Green","Track","12.668","15.472","10.632","21.808","8.507","6.867","6.305","10.676","7.617","6.740","5.635","0.506","3.222","161.696"
"22","GS","Billy Johnson","4","1:55.400","8:26.774","Green","Track","11.875","15.282","10.719","21.486","8.561","6.936","6.315","10.313","7.666","6.816","5.661","0.511","3.259","160.114"
"96","GS","Bruce McKee","4","1:57.391","8:29.944","Green","Track","12.302","15.455","10.975","21.953","8.631","6.860","6.305","10.880","7.742","6.816","5.689","0.512","3.271","159.801"
"7","GS","Alan Brynjolfsson","4","1:57.600","8:31.970","Green","Track","12.279","15.461","10.826","22.267","8.660","6.909","6.234","11.014","7.805","6.828","5.618","0.503","3.196","162.660"
"39","GS","Tyler McQuarrie","4","1:55.624","8:35.252","Green","Track","12.055","15.084","10.647","21.416","8.668","6.960","6.302","10.593","7.714","6.787","5.658","0.506","3.234","161.696"
"56","GS","Eric Foss","4","1:55.882","8:35.593","Green","Track","12.185","15.391","10.767","21.615","8.545","6.840","6.236","10.644","7.687","6.722","5.566","0.499","3.185","163.964"
"71","GS","Robin Liddell","4","1:56.097","8:37.226","Green","Track","11.859","15.274","11.080","21.967","8.659","6.931","6.235","10.436","7.637","6.704","5.585","0.505","3.225","162.016"
