"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"46","GS","Owen Trinkler","1","2:20.933","2:20.933","Green","Track","0.000","0.000","11.809","22.732","8.780","7.033","6.583","11.168","7.773","6.827","5.659","0.510","3.275","160.428"
"4","GS","Ted Giovanis","1","2:23.947","2:23.947","Green","Track","0.000","0.000","11.803","22.895","8.826","7.048","6.725","11.816","7.866","6.864","5.694","0.511","3.271","160.114"
"10","TCR","Lee Carpentier","1","2:34.022","2:34.022","Green","Track","0.000","20.946","13.096","24.411","9.332","7.563","6.878","11.883","8.394","7.420","6.167","0.556","3.556","147.155"
"31","GS","Pete McIntosh","1","2:42.080","2:42.080","Green","Track","0.000","0.000","0.000","0.000","8.900","7.086","6.605","11.479","7.994","6.901","5.766","0.522","3.327","156.740"
"33","GS","Russell Ward","1","2:46.282","2:46.282","Green","Track","0.000","0.000","0.000","0.000","9.100","7.291","6.716","12.256","8.009","6.868","5.673","0.509","3.246","160.743"
"7","GS","Alan Brynjolfsson","1","2:53.245","2:53.245","Green","Pit","0.000","0.000","12.581","24.015","8.845","6.972","6.547","12.347","7.991","6.871","10.101","0.000","0.000","0.000"
"71","GS","Andrew Davis","1","2:54.258","2:54.258","Green","Track","0.000","0.000","14.771","25.673","10.134","8.152","8.149","12.914","9.072","7.959","6.744","0.620","3.989","131.965"
"13","GS","Scott Hargrove","1","2:55.046","2:55.046","Green","Track","0.000","0.000","0.000","0.000","0.000","7.771","7.977","12.797","8.511","7.431","6.315","0.584","3.790","140.100"
"11","GS","John Tecce","1","2:58.302","2:58.302","Green","Track","0.000","0.000","0.000","0.000","0.000","7.563","7.496","12.892","8.138","7.138","6.291","0.619","4.028","132.178"
"82","GS","Devin Jones","1","3:00.966","3:00.966","Green","Pit","0.000","0.000","0.000","25.157","9.281","7.138","6.679","11.412","7.892","6.898","11.009","0.000","0.000","0.000"
"61","TCR","Gavin Ernstone","1","3:03.652","3:03.652","Green","Track","0.000","22.030","14.091","26.460","9.711","7.844","8.009","13.286","8.539","7.736","6.437","0.581","3.753","140.823"
"47","GS","Jason Hart","1","3:07.810","3:07.810","Green","Track","0.000","22.029","15.636","25.325","11.196","8.137","7.111","12.268","8.990","7.896","6.428","0.579","3.736","141.309"
"44","GS","Matt Travis","1","3:08.744","3:08.744","Green","Track","0.000","22.460","14.465","27.019","9.729","7.879","7.283","12.899","8.216","7.359","6.240","0.566","3.671","144.555"
"57","GS","Bryce Ward","1","3:09.152","3:09.152","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","8.084","7.642","6.195","0.544","3.718","150.401"
"12","TCR","Russell McDonough","1","3:09.365","3:09.365","Green","Pit","0.000","23.782","13.548","25.991","10.362","7.974","7.891","12.882","8.518","7.601","13.548","0.000","0.000","0.000"
"77","GS","Trent Hindman","1","3:10.716","3:10.716","Green","Pit","0.000","0.000","0.000","0.000","9.654","7.357","7.580","12.515","8.882","8.221","11.592","0.000","0.000","0.000"
"59","GS","Rod Randall","1","3:20.017","3:20.017","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","8.848","8.009","6.652","0.608","3.988","134.569"
"22","GS","Chase Briscoe","1","3:21.991","3:21.991","Green","Track","0.000","19.821","12.532","24.230","9.004","7.179","6.602","11.276","7.939","6.956","5.667","0.511","3.274","160.114"
"15","GS","Scott Maxwell","1","3:22.577","3:22.577","Green","Track","0.000","22.690","16.745","30.822","11.025","7.642","6.903","11.486","7.969","6.987","5.677","0.510","3.265","160.428"
"37","TCR","Tom O'Gorman","1","3:29.163","3:29.163","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","7.605","6.364","0.574","3.677","142.540"
"67","GS","Chris Bellomo","1","3:30.415","3:30.415","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","8.519","7.539","12.693","0.000","0.000","0.000"
"28","GS","Charlie Luck","1","3:36.484","3:36.484","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","8.437","7.647","0.623","3.800","131.329"
"96","GS","Bruce McKee","1","3:47.437","3:47.437","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"5","TCR","Roy Block","1","3:50.597","3:50.597","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"93","GS","Tom Dyer","1","4:01.222","4:01.222","Green","Track","0.000","21.235","12.962","24.381","9.140","7.504","7.583","13.377","8.252","8.663","7.079","0.611","3.875","133.909"
"2","GS","Rodrigo Sales","1","4:03.386","4:03.386","Green","Pit","0.000","21.322","14.232","25.829","9.042","7.198","7.563","14.072","8.238","7.078","11.804","0.000","0.000","0.000"
"46","GS","Owen Trinkler","2","1:56.161","4:17.094","Green","Track","12.149","15.283","10.972","21.404","8.725","6.978","6.363","10.434","7.683","6.771","5.634","0.507","3.258","161.377"
