"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"62","GTLM","James Calado","6","2:18.702","19:19.998","Green","Track","32.214","18.303","11.034","22.584","7.998","6.445","6.312","11.369","7.203","6.342","5.339","0.482","3.077","169.747"
"912","GTLM","Earl Bamber","8","4:25.472","19:21.950","Green","Track","159.360","17.997","10.972","22.887","7.962","6.387","6.065","11.506","7.267","6.305","5.261","0.474","3.029","172.612"
"96","GTD","Jens Klingmann","2","16:24.895","19:31.090","Green","Track","863.856","22.865","13.483","26.539","8.820","6.619","6.413","13.260","7.542","6.449","5.417","0.492","3.140","166.297"
"9","GTD","Scott Hargrove","8","2:11.588","19:47.928","Green","Pit","12.595","15.899","11.213","23.099","8.030","6.507","6.073","11.368","7.377","6.480","9.002","0.000","0.000","0.000"
"31","DPi","Felipe Nasr","10","1:45.549","19:49.658","Green","Track","11.346","14.798","9.219","20.997","7.132","5.702","5.427","10.699","6.573","5.689","4.775","0.432","2.760","189.394"
"33","GTD","Jeroen Bleekemolen","7","2:26.398","20:05.858","Green","Track","32.805","21.181","11.915","24.651","8.298","6.497","6.253","12.163","7.334","6.376","5.348","0.484","3.093","169.046"
"88","GTD","Frederic Vervisch","6","7:20.504","20:12.031","Green","Track","326.734","17.782","11.217","23.074","8.238","6.569","6.242","17.198","7.698","6.608","5.497","0.495","3.152","165.289"
"50","DPi","Will Owen","7","1:50.564","20:14.178","Green","Track","11.881","15.181","9.728","22.088","7.156","5.791","6.044","12.102","6.620","5.831","4.877","0.441","2.824","185.529"
"911","GTLM","Nick Tandy","8","1:56.768","20:15.673","Green","Track","12.641","15.837","10.518","22.896","7.948","6.327","6.406","11.899","7.182","6.353","5.250","0.474","3.037","172.612"
"8","GTD","Chris Haase","6","2:23.127","20:16.082","Green","Track","32.231","19.482","10.950","23.045","8.609","6.787","6.787","12.012","7.406","6.658","5.498","0.497","3.165","164.624"
"73","GTD","Patrick Long","8","2:11.961","20:27.283","Green","Track","18.523","16.219","12.648","23.186","8.146","6.510","9.042","14.814","7.414","6.460","5.401","0.488","3.110","167.660"
"6","DPi","Simon Pagenaud","2","2:12.259","20:36.422","Green","Pit","14.245","16.406","10.675","22.788","7.328","5.778","5.932","11.717","6.720","5.790","10.668","0.000","0.000","0.000"
"99","GTD","Sven Muller","7","1:56.470","20:36.860","Green","Track","12.321","15.728","10.723","22.703","8.092","6.483","6.024","11.473","7.391","6.477","5.433","0.491","3.131","166.636"
"11","GTD","Mirko Bortolotti","8","2:13.369","20:39.711","Green","Pit","13.197","16.282","11.002","23.231","8.129","6.477","6.436","11.913","7.319","6.410","9.205","0.000","0.000","0.000"
"18","LMP2","Ryan Cullen","8","4:17.563","20:43.144","Green","Pit","12.174","15.779","11.063","23.217","7.608","5.978","5.730","11.361","6.873","5.965","8.955","0.000","0.000","0.000"
"14","GTD","Jack Hawksworth","2","10:04.999","20:46.480","Green","Pit","34.417","22.364","13.070","26.522","9.201","7.508","7.257","13.133","8.972","7.912","10.644","0.000","0.000","0.000"
"29","GTD","Dries Vanthoor","8","1:57.658","20:54.507","Green","Track","12.942","15.841","10.655","23.071","8.164","6.582","6.076","11.365","7.382","6.511","5.455","0.492","3.122","166.297"
"51","GTD","Mathias Lauda","10","1:57.604","20:55.043","Green","Track","13.083","16.096","10.758","23.113","7.987","6.401","5.972","11.742","7.282","6.345","5.299","0.478","3.048","171.168"
"81","LMP2","Ben Hanley","8","6:58.871","20:55.868","Green","Pit","12.482","15.404","9.387","22.393","7.541","5.980","5.554","10.632","6.749","5.951","9.292","0.000","0.000","0.000"
"10","DPi","Renger Van Der Zande","5","1:49.683","20:57.665","Green","Track","12.008","15.441","9.876","22.511","7.274","5.758","5.627","11.017","6.487","5.690","4.798","0.433","2.763","188.957"
"44","GTD","Andy Lally","7","2:12.747","21:02.524","Green","Pit","12.629","16.282","11.161","23.298","8.317","6.606","6.268","11.756","7.407","6.510","8.714","0.000","0.000","0.000"
"62","GTLM","James Calado","7","1:56.166","21:16.164","Green","Track","12.615","15.915","10.393","22.710","8.034","6.427","5.995","11.310","7.396","6.414","5.379","0.485","3.093","168.697"
"912","GTLM","Earl Bamber","9","1:55.688","21:17.638","Green","Track","12.556","15.976","10.453","22.665","7.993","6.379","6.015","11.285","7.259","6.321","5.273","0.476","3.037","171.887"
"54","DPi","Romain Dumas","7","2:16.388","21:22.198","Green","Pit","13.430","16.944","10.836","23.837","7.594","6.025","6.690","12.763","7.375","6.677","10.687","0.000","0.000","0.000"
"5","DPi","Filipe Albuquerque","7","10:18.664","21:33.879","Green","Pit","11.905","15.120","9.614","22.076","7.231","5.826","5.472","10.596","6.552","5.798","9.861","0.000","0.000","0.000"
"96","GTD","Jens Klingmann","3","2:04.375","21:35.465","Green","Track","13.779","17.673","11.698","25.113","8.396","6.481","6.201","12.269","7.361","6.386","5.403","0.491","3.124","166.636"
"31","DPi","Felipe Nasr","11","1:46.288","21:35.946","Green","Track","11.525","14.935","9.165","21.310","7.208","5.716","5.475","10.716","6.559","5.703","4.776","0.433","2.767","188.957"
"55","DPi","Jonathan Bomarito","7","2:41.410","21:37.848","Green","Pit","12.218","15.715","9.724","23.204","7.376","5.870","5.882","11.107","6.630","6.128","10.207","0.000","0.000","0.000"
"33","GTD","Jeroen Bleekemolen","8","1:56.375","22:02.233","Green","Track","12.767","16.122","10.468","22.858","8.014","6.403","5.951","11.338","7.230","6.334","5.326","0.482","3.082","169.747"
"24","GTLM","Jesse Krohn","7","5:09.482","22:02.478","Green","Pit","186.686","19.326","11.162","22.814","8.023","6.478","6.313","11.320","7.273","6.395","10.113","0.000","0.000","0.000"
"50","DPi","Will Owen","8","1:49.335","22:03.513","Green","Track","11.928","15.764","9.578","22.007","7.150","5.793","5.653","10.960","6.590","5.769","4.880","0.441","2.822","185.529"
"13","GTD","Andrea Bertolini","9","5:05.280","22:05.353","Green","Track","194.227","21.061","11.474","23.010","8.092","6.494","6.310","11.843","7.315","6.437","5.408","0.487","3.122","168.004"
"911","GTLM","Nick Tandy","9","1:55.239","22:10.912","Green","Track","12.462","15.762","10.359","22.781","7.917","6.382","6.017","11.222","7.200","6.322","5.289","0.478","3.048","171.168"
"88","GTD","Frederic Vervisch","7","2:01.513","22:13.544","Green","Track","13.269","17.105","10.855","24.306","8.188","6.575","6.281","11.832","7.445","6.550","5.479","0.493","3.135","165.960"
"8","GTD","Chris Haase","7","1:58.995","22:15.077","Green","Track","13.553","16.333","10.797","22.904","8.056","6.520","6.538","11.377","7.333","6.513","5.441","0.491","3.139","166.636"
"73","GTD","Patrick Long","9","2:02.674","22:29.957","Green","Track","13.688","15.991","13.369","23.166","8.125","6.489","6.369","12.570","7.400","6.482","5.418","0.490","3.117","166.976"
"99","GTD","Sven Muller","8","1:58.272","22:35.132","Green","Track","12.461","15.863","10.875","23.066","8.123","6.488","6.011","12.484","7.379","6.470","5.427","0.491","3.134","166.636"
"63","GTD","Toni Vilander","6","6:32.811","22:43.334","Green","Track","285.823","18.323","10.850","22.882","8.088","6.485","6.121","11.542","7.286","6.399","5.402","0.490","3.120","166.976"
"10","DPi","Renger Van Der Zande","6","1:48.608","22:46.273","Green","Track","11.638","15.379","10.209","22.327","7.190","5.732","5.547","10.507","6.427","5.670","4.782","0.433","2.767","188.957"
"29","GTD","Dries Vanthoor","9","1:57.386","22:51.893","Green","Track","12.711","15.861","10.605","22.999","8.169","6.568","6.103","11.381","7.393","6.520","5.459","0.491","3.126","166.636"
"51","GTD","Mathias Lauda","11","1:57.535","22:52.578","Green","Track","12.888","16.008","10.784","23.361","8.053","6.385","5.989","11.636","7.240","6.336","5.315","0.480","3.060","170.455"
"18","LMP2","Ryan Cullen","9","2:14.960","22:58.104","Green","Track","32.175","18.345","10.300","22.647","7.612","5.963","5.816","11.055","6.759","5.899","5.012","0.456","2.921","179.426"
"81","LMP2","Ben Hanley","9","2:17.984","23:13.852","Green","Track","32.258","19.759","10.398","22.598","7.429","5.947","6.020","11.289","6.788","6.728","5.298","0.473","2.999","172.977"
"912","GTLM","Earl Bamber","10","1:56.758","23:14.396","Green","Track","12.579","15.767","10.486","22.880","7.980","6.379","6.132","11.518","7.224","6.690","5.511","0.491","3.121","166.636"
"4","GTLM","Tommy Milner","8","5:15.410","23:24.119","Green","Pit","21.295","16.362","10.826","23.062","8.060","6.411","6.082","11.664","7.290","6.384","9.273","0.000","0.000","0.000"
"46","GTD","Taylor Proto","1","23:30.413","23:30.413","Green","Track","0.000","19.344","13.127","24.840","8.362","6.795","6.249","12.985","7.660","6.775","5.604","0.500","3.182","163.636"
"96","GTD","Jens Klingmann","4","2:01.860","23:37.325","Green","Track","13.677","17.117","11.032","24.308","8.253","6.426","6.076","12.175","7.361","6.398","5.403","0.491","3.143","166.636"
