"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"3","TCR","Alex Popow","1","2:01.107","2:01.107","Green","Track","0.000","13.108","6.000","10.926","9.058","2.366","0.739","10.745","18.997","20.213","7.142","5.887","110.715"
"5","TCR","Tim Lewis Jr","1","2:03.705","2:03.705","Green","Track","0.000","13.661","6.381","11.973","9.264","2.442","0.733","11.014","20.848","20.625","7.357","6.031","111.621"
"35","GS","Dylan Murry","1","2:03.953","2:03.953","Green","Track","0.000","13.127","5.774","0.000","0.000","2.180","0.596","9.777","18.767","19.828","7.362","5.897","137.279"
"31","GS","Jeff Courtney","1","2:05.387","2:05.387","Green","Track","0.000","14.701","6.314","11.975","9.178","2.243","0.611","9.894","20.834","21.486","7.326","6.200","133.909"
"7","GS","Alan Brynjolfsson","1","2:05.576","2:05.576","Green","Track","0.000","14.123","5.925","11.370","8.885","2.210","0.609","9.765","20.007","21.680","7.423","5.709","134.348"
"97","GS","Brandon Kidd","1","2:06.996","2:06.996","Green","Track","0.000","13.750","5.810","11.247","8.786","2.177","0.617","9.998","19.838","21.444","7.717","6.139","132.606"
"88","GS","Henry Schmitt","1","2:09.280","2:09.280","Green","Track","0.000","12.556","5.846","11.003","8.885","2.224","0.602","8.988","18.099","22.782","7.379","5.937","135.911"
"52","TCR","Max Faulkner","1","2:10.426","2:10.426","Green","Track","0.000","13.910","6.062","11.481","9.276","2.357","0.637","9.770","19.476","21.477","7.610","5.982","128.443"
"37","TCR","Shelby Blackstock","1","2:10.914","2:10.914","Green","Track","0.000","13.253","6.445","11.607","9.358","2.347","0.639","9.606","19.395","20.957","7.373","6.032","128.041"
"73","TCR","Mike LaMarra","1","2:15.225","2:15.225","Green","Track","450.674","12.837","6.339","11.134","9.334","2.540","0.693","9.915","19.500","20.758","7.314","5.986","118.064"
"33","GS","Indy Dontje","1","2:26.620","2:26.620","Green","Pit","319.564","13.104","6.233","11.547","9.285","2.520","0.708","10.210","20.611","22.001","9.274","11.105","115.562"
"57","GS","Christian Hohenadel","1","2:29.437","2:29.437","Green","Track","296.048","13.432","7.242","11.654","10.793","2.876","0.904","11.350","20.693","22.889","7.364","6.303","90.507"
"65","GS","Brent Mosing","1","2:29.547","2:29.547","Green","Track","149.609","12.669","6.948","11.630","9.474","2.515","0.668","10.128","21.397","23.139","7.920","6.994","122.482"
"89","TCR","Chad Gilsinger","1","2:30.244","2:30.244","Green","Track","15.357","11.282","6.030","10.409","9.044","2.349","0.670","9.083","17.902","19.852","6.757","5.730","122.117"
"40","GS","Jade Buford","1","2:48.057","2:48.057","Green","Track","0.000","13.790","6.945","12.495","9.658","2.462","0.662","9.774","20.821","22.094","7.892","6.815","123.592"
"81","TCR","Marco Cirone","1","2:48.484","2:48.484","Green","Track","16.408","13.204","6.765","11.921","9.709","2.472","0.667","10.363","21.065","22.148","7.554","6.116","122.666"
"71","GS","Robin Liddell","1","3:02.406","3:02.406","Green","Track","14.076","14.735","6.932","11.744","9.270","2.268","0.652","10.206","20.512","22.728","8.120","6.974","125.488"
"21","TCR","Mason Filippi","1","3:19.277","3:19.277","Green","Track","0.000","12.553","6.742","12.331","9.360","2.369","0.709","10.637","21.281","22.736","7.818","6.613","115.399"
"98","TCR","Michael Lewis","1","3:30.364","3:30.364","Green","Track","547.885","13.971","9.777","14.745","10.712","2.524","0.728","10.250","20.155","22.742","7.496","6.617","112.388"
"59","GS","Kenny Wilden","1","3:40.240","3:40.240","Green","Track","13.882","14.309","7.450","12.108","10.088","2.620","0.735","10.132","20.737","22.883","8.043","6.766","111.317"
"96","GS","Robby Foley","1","3:45.462","3:45.462","Green","Track","14.192","13.961","8.379","11.181","9.760","2.314","0.656","9.682","19.546","21.451","7.513","6.479","124.723"
"35","GS","Dylan Murry","2","1:41.526","3:45.479","Green","Track","5.531","9.641","5.112","0.000","0.000","2.190","0.581","8.255","18.070","19.707","7.592","5.838","140.823"
"5","TCR","Tim Lewis Jr","2","1:46.395","3:50.100","Green","Track","5.462","9.931","5.692","10.866","8.911","2.293","0.668","9.886","19.273","20.370","7.257","5.786","122.482"
"7","GS","Alan Brynjolfsson","2","1:46.404","3:51.980","Green","Track","5.879","9.758","5.467","10.955","8.747","2.232","0.611","9.139","19.928","20.673","7.062","5.953","133.909"
"31","GS","Jeff Courtney","2","1:48.402","3:53.789","Green","Track","5.511","10.019","5.689","11.279","9.160","2.235","0.601","9.443","19.753","20.767","7.356","6.589","136.137"
"88","GS","Henry Schmitt","2","1:44.507","3:53.787","Green","Track","5.341","9.089","5.342","10.032","8.689","2.182","0.617","9.837","19.051","20.643","7.208","6.476","132.606"
"97","GS","Brandon Kidd","2","1:48.013","3:55.009","Green","Track","5.366","9.771","5.484","10.859","8.789","2.316","0.681","10.663","19.643","20.951","7.300","6.190","120.144"
"60","GS","Nate Stacy","1","4:00.759","4:00.759","Green","Track","13.898","13.588","6.714","11.992","11.080","2.727","0.781","11.763","23.179","22.735","7.655","6.678","104.761"
"73","TCR","Mike LaMarra","2","1:45.979","4:01.204","Green","Track","5.772","9.556","5.322","10.217","9.102","2.325","0.622","9.085","18.390","21.244","7.863","6.481","131.540"
"52","TCR","Max Faulkner","2","1:52.258","4:02.684","Green","Pit","5.560","9.080","5.361","10.393","9.073","2.306","0.622","9.273","19.978","20.516","8.716","11.380","131.540"
"37","TCR","Shelby Blackstock","2","1:52.743","4:03.657","Green","Pit","5.619","9.394","5.480","10.353","9.049","2.306","0.618","9.004","20.064","20.560","8.792","11.504","132.392"
"89","TCR","Ryan Eversley","2","1:40.274","4:10.518","Green","Track","5.466","9.453","5.398","9.926","8.955","2.313","0.621","8.440","17.619","19.637","6.894","5.552","131.752"
"57","GS","Christian Hohenadel","2","1:46.567","4:16.004","Green","Track","5.707","10.020","6.021","10.195","8.892","2.417","0.722","10.150","18.935","20.750","6.951","5.807","113.322"
"65","GS","Brent Mosing","2","1:50.840","4:20.387","Green","Track","6.175","10.189","5.710","10.996","8.865","2.229","0.656","10.654","20.306","21.130","7.465","6.465","124.723"
"40","GS","Jade Buford","2","1:53.905","4:41.962","Green","Track","6.042","10.820","6.232","11.684","9.217","2.378","0.669","10.548","20.317","21.771","7.780","6.447","122.299"
"21","TCR","Mason Filippi","2","1:50.144","5:09.421","Green","Track","6.140","9.975","5.921","11.763","9.238","2.330","0.646","10.077","19.074","21.162","7.291","6.527","126.654"
"98","TCR","Michael Lewis","2","1:47.237","5:17.601","Green","Track","5.876","10.074","5.751","10.658","9.150","2.333","0.632","9.332","18.630","21.613","7.083","6.105","129.459"
"35","GS","Dylan Murry","3","1:39.428","5:24.907","Green","Track","5.326","9.010","5.118","0.000","0.000","2.190","0.585","8.442","17.990","19.567","6.742","5.783","139.860"
"59","GS","Kenny Wilden","2","1:46.266","5:26.506","Green","Track","5.946","10.422","5.536","10.526","8.885","2.239","0.602","8.822","18.434","20.954","7.434","6.466","135.911"
"96","GS","Robby Foley","2","1:42.808","5:28.270","Green","Track","5.795","9.613","5.370","10.027","8.665","2.171","0.585","8.640","18.604","20.370","6.887","6.081","139.860"
"88","GS","Greg Liefooghe","3","1:41.912","5:35.699","Green","Track","5.500","9.197","5.209","9.871","8.712","2.206","0.597","8.681","18.189","20.508","7.300","5.942","137.049"
"5","TCR","Tim Lewis Jr","3","1:46.063","5:36.163","Green","Track","5.454","9.527","5.407","11.048","8.817","2.280","0.625","9.467","18.841","20.492","8.185","5.920","130.909"
"7","GS","Alan Brynjolfsson","3","1:46.092","5:38.072","Green","Track","5.248","9.905","5.238","10.917","9.157","2.403","0.632","9.741","19.187","20.604","7.138","5.922","129.459"
"31","GS","Jeff Courtney","3","1:45.736","5:39.525","Green","Track","5.762","9.938","5.382","10.400","8.852","2.210","0.590","9.359","19.332","20.597","7.260","6.054","138.675"
"97","GS","Brandon Kidd","3","1:45.467","5:40.476","Green","Track","5.347","9.577","5.299","10.400","8.754","2.256","0.635","9.483","19.349","20.800","7.483","6.084","128.848"
"73","TCR","Mike LaMarra","3","1:45.326","5:46.530","Green","Track","5.997","10.030","5.835","10.527","9.131","2.343","0.629","9.309","18.365","20.376","6.940","5.844","130.077"
"57","GS","Christian Hohenadel","3","1:42.150","5:58.154","Green","Track","5.678","9.274","5.287","10.141","8.667","2.182","0.627","9.186","18.619","19.804","7.079","5.606","130.492"
"65","GS","Brent Mosing","3","1:52.766","6:13.153","Green","Track","5.689","10.037","6.418","12.124","9.057","2.271","0.636","10.610","21.200","21.267","7.001","6.456","128.645"
"84","TCR","Brian Henderson","1","6:18.446","6:18.446","Green","Track","63.962","12.413","6.503","12.896","10.062","2.522","0.778","11.782","20.831","23.074","8.512","6.162","105.165"
"13","GS","Scott Hargrove","1","6:23.942","6:23.942","Green","Track","450.596","15.174","6.641","12.361","9.465","2.370","0.715","11.074","22.158","23.330","8.797","7.113","114.431"
"40","GS","Jade Buford","3","1:46.566","6:28.528","Green","Track","5.594","10.033","5.640","10.950","8.968","2.242","0.599","9.451","18.746","20.782","7.291","6.270","136.591"
"89","TCR","Ryan Eversley","3","2:18.117","6:28.635","Green","Pit","5.213","9.161","5.425","9.940","8.901","2.311","0.621","8.548","18.004","20.278","8.601","41.114","131.752"
"3","TCR","Alex Popow","2","4:49.929","6:51.036","Green","Pit","5.268","9.204","5.314","10.189","8.916","2.285","0.613","9.030","18.601","21.028","10.329","189.152","133.472"
