"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"35","GS","Dylan Murry","1","2:08.569","2:08.569","Green","Track","0.000","11.015","15.371","4.451","0.626","17.143","24.393","16.037","20.135","6.695","3.787","131.245"
"46","GS","Owen Trinkler","1","2:10.167","2:10.167","Green","Track","0.000","11.381","15.125","4.431","0.588","17.191","24.947","15.802","20.113","6.595","3.768","139.726"
"88","GS","Greg Liefooghe","1","2:13.489","2:13.489","Green","Track","0.000","11.657","15.443","4.611","0.592","17.078","25.153","16.274","20.086","6.727","3.763","138.782"
"98","TCR","Michael Lewis","1","2:21.798","2:21.798","Green","Track","0.000","11.574","16.198","4.806","0.634","18.748","26.833","17.025","20.837","6.918","3.921","129.588"
"4","GS","Guy Cosmo","1","2:22.134","2:22.134","Green","Track","0.000","11.457","15.960","4.749","0.723","18.862","26.616","16.965","20.778","6.829","3.825","113.636"
"60","GS","Kyle Marcelli","1","2:23.036","2:23.036","Green","Track","0.000","11.226","15.811","4.565","0.642","18.006","25.298","16.034","19.892","7.125","3.857","127.974"
"69","GS","Jesse Lazare","1","2:27.163","2:27.163","Green","Track","0.000","11.151","15.734","4.406","0.588","17.716","25.953","16.026","20.222","6.698","3.731","139.726"
"33","GS","Indy Dontje","1","2:28.752","2:28.752","Green","Track","0.000","11.779","17.309","4.891","0.642","19.595","27.141","17.163","21.747","6.947","3.846","127.974"
"82","GS","Devin Jones","1","2:29.411","2:29.411","Green","Track","0.000","11.499","16.006","4.528","0.634","18.026","25.413","16.309","20.392","6.700","3.769","129.588"
"21","TCR","Mason Filippi","1","2:32.023","2:32.023","Green","Track","0.000","11.593","17.217","5.180","0.786","20.475","27.581","17.886","21.270","7.204","3.954","104.528"
"57","GS","Christian Hohenadel","1","2:33.126","2:33.126","Green","Track","0.000","11.084","17.122","5.035","0.710","19.592","26.746","17.122","21.295","6.851","3.837","115.717"
"40","GS","Jade Buford","1","2:40.943","2:40.943","Green","Track","0.000","11.532","17.195","5.301","0.789","20.132","28.698","17.621","21.384","6.665","3.783","104.131"
"75","GS","Kuno Wittmer","1","2:43.682","2:43.682","Green","Track","0.000","12.022","16.845","6.096","0.748","18.109","25.641","16.226","19.999","6.680","3.770","109.838"
