"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"84","TCR","Brian Henderson","3","2:00.836","6:52.496","Green","Track","12.772","15.611","11.218","22.177","8.951","7.339","6.724","10.750","8.015","7.221","6.041","0.545","3.472","150.125"
"23","TCR","Jared Salinsky","3","2:08.860","7:04.126","Green","Track","13.064","18.896","12.342","24.158","9.069","7.304","7.163","11.522","8.124","7.201","6.003","0.541","3.473","151.235"
"73","TCR","Mike LaMarra","3","2:04.674","7:04.700","Green","Track","12.934","16.103","11.395","22.751","9.142","7.448","6.820","11.210","8.278","7.732","6.541","0.587","3.733","139.384"
"89","TCR","Chad Gilsinger","3","2:01.203","7:08.322","Green","Track","12.521","15.715","11.330","21.809","9.145","7.509","6.842","10.675","8.066","7.330","6.155","0.555","3.551","147.420"
"37","TCR","Shelby Blackstock","3","2:06.635","7:09.526","Green","Track","13.054","17.488","12.235","23.709","9.108","7.390","7.291","10.994","8.052","7.251","6.047","0.545","3.471","150.125"
"52","TCR","Max Faulkner","3","2:05.013","7:24.832","Green","Track","14.072","16.134","11.362","22.955","9.135","7.487","6.908","11.254","8.128","7.322","6.144","0.554","3.558","147.686"
"98","TCR","Mark Wilkins","3","2:01.609","7:30.884","Green","Track","12.623","15.711","11.145","22.222","9.001","7.368","6.749","11.193","8.126","7.295","6.116","0.552","3.508","148.221"
"21","TCR","Mason Filippi","3","2:02.631","8:04.996","Green","Track","13.181","15.990","11.275","22.429","8.913","7.343","6.799","11.269","8.039","7.248","6.088","0.552","3.505","148.221"
"61","TCR","Gavin Ernstone","3","2:01.316","8:22.436","Green","Track","12.571","15.587","11.265","22.551","9.075","7.318","6.669","11.180","7.981","7.115","5.981","0.542","3.481","150.956"
"54","TCR","Michael Johnson","4","1:58.965","8:37.374","Green","Track","12.292","15.623","10.997","21.570","8.941","7.238","6.603","10.783","7.935","7.092","5.941","0.536","3.414","152.646"
"3","TCR","Alex Popow","4","2:00.353","8:42.123","Green","Track","12.685","15.654","11.247","21.972","8.814","7.222","6.611","10.725","7.982","7.259","6.110","0.552","3.520","148.221"
"10","TCR","Lee Carpentier","4","1:59.747","8:42.309","Green","Track","12.664","15.653","10.986","21.977","8.833","7.091","6.624","11.407","7.877","6.947","5.780","0.524","3.384","156.142"
"5","TCR","Roy Block","4","2:01.484","8:42.584","Green","Track","12.860","15.671","11.265","22.048","8.910","7.357","6.846","11.105","7.977","7.234","6.119","0.556","3.536","147.155"
"12","TCR","Ryan Nash","4","2:00.233","8:47.709","Green","Track","12.494","15.697","11.056","22.289","8.883","7.218","6.607","11.169","7.928","7.070","5.900","0.533","3.389","153.505"
"84","TCR","Brian Henderson","4","2:00.050","8:52.546","Green","Track","12.472","15.436","11.209","22.023","8.905","7.334","6.706","10.709","8.018","7.191","6.027","0.545","3.475","150.125"
