"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"79","GT3P","Roman DeAngelis","1","2:09.194","2:09.194","Green","Track","0.000","10.763","15.114","4.362","0.682","17.730","24.722","15.684","19.288","6.495","3.564","120.468"
"99","GT3P","Alan Metni","1","2:14.242","2:14.242","Green","Track","0.000","12.006","15.323","4.254","0.570","17.843","24.876","15.771","19.985","6.676","3.631","144.139"
"7","GT3P","Maxwell Root","1","2:22.721","2:22.721","Green","Track","0.000","12.261","16.319","4.719","0.608","18.418","27.493","16.385","20.534","6.801","3.922","135.130"
"45","GT3P","Charlie Luck","1","2:30.585","2:30.585","Green","Track","0.000","15.258","17.421","4.432","0.604","18.758","27.668","16.738","21.061","6.748","3.631","136.025"
"61","GT3P","Scott Welham","1","2:31.338","2:31.338","Green","Track","0.000","15.095","18.226","4.511","0.628","18.538","26.051","16.545","20.965","6.846","3.627","130.827"
"20","GT3P","Fred Poordad","1","2:32.318","2:32.318","Green","Track","0.000","13.781","18.169","5.598","0.800","19.096","25.677","15.816","21.060","6.704","3.684","102.699"
"11","GT3P","Sean McAlister","1","2:35.798","2:35.798","Green","Track","0.000","12.291","17.498","4.935","0.803","18.500","25.377","16.053","20.829","6.677","3.572","102.315"
"48","GT3P","David Brule","1","2:38.035","2:38.035","Green","Track","0.000","14.571","18.534","4.960","0.630","18.516","26.819","16.431","23.215","6.989","3.707","130.411"
"15","GT3G","Randal Bryant","1","2:38.817","2:38.817","Green","Track","0.000","13.719","17.758","5.125","0.714","18.509","28.186","16.642","21.239","6.978","3.713","115.069"
"36","GT3P","Vernon McClure","1","2:39.376","2:39.376","Green","Track","0.000","13.445","17.584","5.101","0.858","19.825","26.458","16.544","21.265","6.924","3.615","95.757"
"69","GT3P","Dan Hardee","1","2:40.591","2:40.591","Green","Track","0.000","11.896","19.151","4.758","0.677","18.920","26.560","16.233","20.998","7.138","3.664","121.358"
"25","GT3P","Victor Gomez IV","1","2:40.735","2:40.735","Green","Track","0.000","12.821","17.426","4.553","0.691","19.497","25.845","16.101","20.298","6.758","3.539","118.899"
"27","GT3G","Sebastian Carazo","1","2:44.736","2:44.736","Green","Track","0.000","12.916","17.444","4.893","0.813","20.439","27.362","16.471","20.142","6.574","3.633","101.057"
"18","GT3G","Richard Edge","1","2:49.286","2:49.286","Green","Track","0.000","13.205","18.603","5.121","0.779","19.882","27.941","19.178","21.583","7.025","3.762","105.467"
"65","GT3G","Efrin Castro","1","2:57.228","2:57.228","Green","Track","0.000","13.285","19.290","4.740","0.664","19.733","27.158","17.562","21.908","7.067","3.731","123.734"
"17","GT3G","Curt Swearingin","1","2:59.896","2:59.896","Green","Track","0.000","12.828","19.392","7.251","1.055","19.613","26.581","16.193","20.855","6.689","3.666","77.876"
"9","GT3P","Mark Kvamme","1","3:09.158","3:09.158","Green","Track","0.000","13.062","18.654","5.404","0.848","20.375","28.950","16.669","22.353","7.015","3.644","96.886"
"3","GT3P","Jeff Kingsley","1","3:10.181","3:10.181","Green","Track","0.000","13.447","19.585","7.515","1.442","22.546","29.574","16.356","23.017","7.807","4.717","56.976"
"68","GT3P","Jeff Mosing","1","3:11.578","3:11.578","Green","Track","0.000","12.349","18.640","5.648","0.876","20.246","28.736","17.319","23.656","6.654","3.546","93.789"
"42","GT3P","Bill Smith","1","3:13.452","3:13.452","Green","Track","0.000","12.274","18.452","5.609","0.827","20.253","28.801","17.965","23.420","7.027","3.629","99.346"
"56","GT3P","David Baker","1","3:16.334","3:16.334","Green","Track","0.000","13.222","18.236","5.677","0.772","21.000","28.642","17.636","23.293","7.093","3.611","106.424"
"4","GT3P","Michael Mennella","1","3:17.909","3:17.909","Green","Track","0.000","13.265","19.650","6.146","0.921","20.926","26.967","18.115","21.829","7.630","3.669","89.206"
"22","GT3G","Bart Collins","1","3:18.413","3:18.413","Green","Track","0.000","11.667","16.924","5.290","0.759","19.754","27.417","17.942","21.574","7.506","3.781","108.246"
"92","GT3P","Joseph Lombardo","1","3:19.487","3:19.487","Green","Track","0.000","13.089","18.721","6.912","0.993","20.377","27.144","18.722","21.487","7.232","3.593","82.738"
"52","GT3G","Kurt Fazekas","1","3:43.265","3:43.265","Green","Track","0.000","13.362","22.512","7.069","0.981","20.937","28.884","17.093","22.864","14.683","5.176","83.750"
"79","GT3P","Roman DeAngelis","2","1:54.541","4:03.735","Green","Track","3.451","9.600","13.243","4.063","0.521","15.559","23.696","15.248","19.217","6.422","3.521","157.695"
