"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"14","GTD","Richard Heistand","6","2:07.747","11:56.974","Green","Pit","3.303","8.773","12.688","3.925","0.504","13.779","22.037","16.460","20.908","13.128","12.242","163.014"
"44","GTD","John Potter","6","1:47.483","11:59.633","Green","Track","3.331","8.825","12.707","3.980","0.512","14.070","22.208","14.508","17.981","5.888","3.473","160.467"
"29","GTD","Ricky Feller","6","1:45.840","12:01.686","Green","Track","3.293","8.705","12.607","3.939","0.502","13.761","21.724","14.430","17.625","5.824","3.430","163.664"
"8","GTD","Parker Chase","6","1:55.764","12:03.999","Green","Track","3.385","9.140","12.919","4.039","0.517","14.103","22.574","14.835","24.842","5.903","3.507","158.915"
"48","GTD","Ryan Hardwick","6","1:47.688","12:20.739","Green","Track","3.276","8.853","12.485","3.877","0.499","14.244","21.979","14.531","18.493","5.991","3.460","164.647"
"540","GTD","Marco Seefried","6","1:46.398","12:27.046","Green","Track","3.324","8.668","12.675","3.994","0.514","13.611","21.813","14.484","18.008","5.858","3.449","159.843"
"47","GTD","Brandon Gdovic","6","1:47.052","12:39.963","Green","Track","3.320","8.914","12.686","3.957","0.509","13.782","22.113","14.580","17.846","5.881","3.464","161.413"
"57","GTD","Christina Nielsen","7","1:45.295","12:54.730","Green","Track","3.293","8.669","12.512","3.922","0.505","13.589","21.735","14.233","17.612","5.793","3.432","162.691"
"86","GTD","Trent Hindman","7","1:58.870","13:02.253","Green","Pit","3.282","8.703","12.515","3.921","0.506","13.374","21.526","14.307","17.775","10.420","12.541","162.370"
"63","GTD","Jeff Westphal","7","1:46.911","13:08.717","Green","Track","3.307","8.677","12.593","3.977","0.511","13.758","21.631","14.631","18.576","5.819","3.431","160.781"
"33","GTD","Ben Keating","7","1:46.238","13:13.782","Green","Track","3.298","8.702","12.559","3.945","0.506","13.914","21.837","14.396","17.693","5.944","3.444","162.370"
"96","GTD","Dillon Machavern","7","1:45.506","13:38.268","Green","Track","3.251","8.797","12.282","3.859","0.497","13.737","21.815","14.222","17.777","5.908","3.361","165.310"
"73","GTD","Nicholas Boulle","7","1:49.556","13:46.425","Green","Track","3.361","9.004","12.617","3.968","0.511","14.546","22.726","14.683","18.400","6.239","3.501","160.781"
"44","GTD","John Potter","7","1:47.041","13:46.674","Green","Track","3.339","8.793","12.698","3.984","0.513","13.954","21.931","14.500","17.936","5.923","3.470","160.154"
"29","GTD","Ricky Feller","7","1:47.976","13:49.662","Green","Track","3.292","9.002","12.734","3.954","0.505","14.000","22.931","14.482","17.794","5.850","3.432","162.691"
"8","GTD","Parker Chase","7","1:48.231","13:52.230","Green","Track","3.372","8.783","13.016","4.065","0.521","14.005","22.154","14.732","18.071","5.987","3.525","157.695"
"48","GTD","Ryan Hardwick","7","1:47.421","14:08.160","Green","Track","3.308","8.942","12.500","3.885","0.500","14.313","22.272","14.422","17.822","6.002","3.455","164.318"
"540","GTD","Marco Seefried","7","1:46.100","14:13.146","Green","Track","3.331","8.737","12.664","3.996","0.515","13.818","21.743","14.417","17.597","5.836","3.446","159.532"
"47","GTD","Brandon Gdovic","7","1:46.646","14:26.609","Green","Track","3.319","8.889","12.656","3.954","0.510","13.842","21.900","14.420","17.883","5.835","3.438","161.096"
