"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"73","GTD","Matt Campbell","1","2:10.968","2:10.968","Green","Track","0.000","19.413","11.087","22.026","7.940","6.472","6.202","10.989","7.134","6.387","5.383","0.000","3.095","0.000"
"9","GTD","Zacharie Robichon","1","2:12.601","2:12.601","Green","Track","0.000","19.745","11.154","22.168","7.958","6.474","6.148","11.194","7.272","6.411","5.397","0.488","3.119","167.660"
"96","GTD","Jens Klingmann","1","2:15.378","2:15.378","Green","Track","0.000","20.049","11.371","22.612","7.963","6.427","6.052","11.009","7.189","6.328","5.326","0.484","3.082","169.046"
"19","GTD","Markus Winkelhock","1","2:22.573","2:22.573","Green","Track","273.569","20.283","11.984","22.912","8.085","6.572","6.242","11.480","7.304","6.476","5.414","0.488","3.116","167.660"
"71","GTD","Fabian Schiller","1","2:28.766","2:28.766","Green","Track","0.000","18.690","11.707","22.503","8.456","6.950","6.414","11.213","7.685","6.858","5.742","0.521","3.312","157.041"
"84","DPi","Juan Piedrahita","1","2:29.266","2:29.266","Green","Track","0.000","20.051","11.290","22.815","7.673","5.926","5.904","11.026","6.670","5.948","4.867","0.439","2.800","186.374"
"912","GTLM","Laurens Vanthoor","1","2:29.841","2:29.841","Green","Track","198.002","21.095","12.138","23.384","8.274","6.874","9.346","11.888","8.077","6.806","5.369","0.480","3.140","170.455"
"8","GTD","Ryan Dalziel","1","2:30.246","2:30.246","Green","Track","0.000","19.811","11.434","21.906","8.114","6.580","6.403","11.387","7.390","6.494","5.389","0.492","3.088","166.297"
"33","GTD","Jeroen Bleekemolen","1","2:33.208","2:33.208","Green","Track","32.338","18.157","11.015","21.561","7.815","6.377","5.942","10.442","7.040","6.294","5.234","0.473","3.017","172.977"
"29","GTD","Ricky Feller","1","2:33.433","2:33.433","Green","Track","0.000","18.963","11.609","22.475","8.012","6.529","6.198","11.006","7.236","6.417","5.382","0.487","3.084","168.004"
