"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"47","GTD","Brandon Gdovic","4","2:15.746","10:40.924","Green","Track","5.796","5.744","24.618","15.281","31.069","10.906","24.140","0.736","12.498","1.707","3.251","115.180","101.188"
"11","GTD","Rolf Ineichen","3","2:00.925","10:45.491","Green","Track","5.778","5.811","24.944","15.030","26.527","9.045","18.502","0.540","10.514","1.474","2.760","156.987","117.183"
"12","GTD","Frank Montecalvo","5","2:01.303","10:47.478","Green","Track","5.769","5.552","24.996","15.223","26.668","9.040","18.524","0.542","10.688","1.505","2.796","156.407","114.769"
"86","GTD","Trent Hindman","5","2:20.536","10:52.603","Green","Pit","6.032","6.091","29.318","16.305","28.713","9.388","18.595","0.566","11.937","3.120","10.471","149.775","55.361"
"33","GTD","Ben Keating","5","2:01.184","10:53.564","Green","Track","5.794","5.558","25.111","15.042","26.715","8.993","18.643","0.545","10.520","1.485","2.778","155.546","116.315"
"73","GTD","Nicholas Boulle","5","2:06.377","11:02.748","Green","Track","5.880","5.757","24.958","15.275","27.174","11.015","20.479","0.551","11.002","1.495","2.791","153.852","115.537"
"19","GTD","Will Hardeman","5","2:02.534","11:09.532","Green","Track","5.836","5.842","24.902","15.275","27.007","9.257","18.643","0.543","10.930","1.501","2.798","156.119","115.075"
"71","GTD","JC Perez","5","2:02.505","11:33.407","Green","Track","5.939","5.746","24.941","15.318","26.930","9.263","18.826","0.549","10.714","1.487","2.792","154.413","116.158"
"8","GTD","Ezequiel Perez Companc","3","2:01.942","11:36.169","Green","Track","5.808","5.713","24.898","15.263","26.832","9.075","18.863","0.550","10.666","1.487","2.787","154.132","116.158"
"44","GTD","John Potter","5","2:02.494","11:53.381","Green","Track","5.809","5.957","24.936","15.408","26.792","9.121","18.566","0.543","11.029","1.518","2.815","156.119","113.786"
"48","GTD","Ryan Hardwick","5","2:01.725","12:06.352","Green","Track","5.806","5.901","24.640","15.192","26.835","9.186","18.392","0.535","10.955","1.501","2.782","158.454","115.075"
"29","GTD","Daniel Morad","5","2:01.330","12:19.032","Green","Track","5.802","5.656","24.726","15.179","26.909","9.084","18.464","0.545","10.671","1.500","2.794","155.546","115.152"
"57","GTD","Christina Nielsen","6","2:00.861","12:38.369","Green","Track","5.796","5.674","24.700","15.019","26.646","8.993","18.540","0.544","10.672","1.492","2.785","155.832","115.769"
"11","GTD","Rolf Ineichen","4","2:01.257","12:46.748","Green","Track","5.764","5.774","24.710","15.231","26.425","8.994","18.600","0.541","10.975","1.478","2.765","156.696","116.866"
"47","GTD","Brandon Gdovic","5","2:10.886","12:51.810","Green","Track","7.210","6.767","29.266","16.624","27.254","9.253","18.634","0.540","11.073","1.489","2.776","156.987","116.002"
"12","GTD","Frank Montecalvo","6","2:15.132","13:02.610","Green","Pit","5.784","5.652","24.924","15.294","26.714","9.058","18.730","0.636","13.135","4.688","10.517","133.290","36.845"
"33","GTD","Ben Keating","6","2:15.627","13:09.191","Green","Pit","5.809","5.650","24.833","15.118","26.864","8.972","18.983","0.607","14.778","3.732","10.281","139.659","46.283"
"71","GTD","JC Perez","6","2:01.961","13:35.368","Green","Track","5.918","5.690","24.812","15.253","26.716","9.245","18.857","0.548","10.636","1.490","2.796","154.695","115.924"
"8","GTD","Ezequiel Perez Companc","4","2:01.333","13:37.502","Green","Track","5.810","5.572","24.796","15.178","26.765","9.025","18.642","0.547","10.687","1.508","2.803","154.978","114.541"
"44","GTD","John Potter","6","2:09.032","14:02.413","Green","Track","5.954","6.674","27.997","16.226","27.591","9.548","19.190","0.546","11.025","1.493","2.788","155.261","115.691"
"48","GTD","Ryan Hardwick","6","2:01.798","14:08.150","Green","Track","5.844","5.851","24.725","15.261","26.838","9.151","18.361","0.534","10.956","1.499","2.778","158.750","115.228"
"11","GTD","Rolf Ineichen","5","2:01.875","14:48.623","Green","Track","5.788","5.826","24.637","15.271","26.938","9.188","18.525","0.540","10.920","1.478","2.764","156.987","116.866"
"47","GTD","Brandon Gdovic","6","2:05.038","14:56.848","Green","Track","5.833","5.817","25.201","16.350","27.968","9.424","18.646","0.539","11.029","1.473","2.758","157.278","117.262"
"57","GTD","Christina Nielsen","7","2:22.922","15:01.291","Finish","Pit","5.964","6.502","27.123","17.257","27.674","9.279","22.213","0.627","12.349","3.356","10.578","135.204","51.468"
"44","GTD","John Potter","7","2:02.205","16:04.618","Finish","Track","5.864","5.876","25.081","15.236","26.764","9.149","18.604","0.546","10.803","1.492","2.790","155.261","115.769"
"11","GTD","Rolf Ineichen","6","2:00.710","16:49.333","Finish","Track","5.772","5.856","24.609","15.231","26.439","9.019","18.437","0.540","10.604","1.457","2.746","156.987","118.550"
"47","GTD","Brandon Gdovic","7","2:02.082","16:58.930","Finish","Track","5.834","5.817","24.652","15.169","26.654","9.262","18.622","0.539","11.252","1.497","2.784","157.278","115.382"
"67","GTLM","Richard Westbrook","1","27:35.708","27:35.708","Green","Track","0.000","10.691","27.751","15.869","27.473","8.998","18.295","0.530","10.492","1.434","2.701","159.949","120.451"
"4","GTLM","Tommy Milner","1","28:05.762","28:05.762","Green","Track","0.000","11.068","27.700","16.274","28.046","9.420","18.714","0.548","11.248","1.466","2.741","154.695","117.822"
"911","GTLM","Patrick Pilet","1","28:40.795","28:40.795","Green","Track","0.000","10.056","26.251","15.675","27.363","9.340","18.645","0.534","11.128","1.473","2.738","158.750","117.262"
"67","GTLM","Richard Westbrook","2","1:56.998","29:32.706","Green","Track","5.702","5.418","23.790","14.671","25.845","8.714","17.946","0.527","10.277","1.426","2.682","160.859","121.127"
"66","GTLM","Dirk Mueller","1","29:39.483","29:39.483","Green","Track","0.000","9.887","26.604","15.818","31.213","9.492","20.854","0.580","10.418","1.430","2.696","146.160","120.788"
"4","GTLM","Tommy Milner","2","2:01.119","30:06.881","Green","Track","5.853","5.721","24.641","15.314","26.715","9.149","18.396","0.535","10.661","1.434","2.700","158.454","120.451"
"3","GTLM","Antonio Garcia","1","30:19.606","30:19.606","Green","Track","0.000","11.269","27.403","16.330","28.761","9.474","18.831","0.536","11.034","1.490","2.763","158.158","115.924"
"911","GTLM","Patrick Pilet","2","2:01.884","30:42.679","Green","Track","5.783","5.776","24.741","15.674","27.126","9.234","18.397","0.528","10.573","1.402","2.650","160.554","123.201"
"912","GTLM","Laurens Vanthoor","1","31:23.807","31:23.807","Green","Track","0.000","9.174","25.179","15.552","26.716","9.317","18.490","0.531","10.389","1.418","2.671","159.647","121.810"
"67","GTLM","Richard Westbrook","3","1:56.189","31:28.895","Green","Track","5.649","5.300","23.546","14.659","25.619","8.641","17.927","0.526","10.222","1.423","2.677","161.165","121.382"
"66","GTLM","Dirk Mueller","2","1:57.184","31:36.667","Green","Track","5.706","5.385","23.588","14.892","26.145","8.828","17.849","0.529","10.162","1.422","2.678","160.251","121.468"
"4","GTLM","Tommy Milner","3","1:59.045","32:05.926","Green","Track","5.739","5.486","24.129","15.220","26.405","8.959","18.059","0.532","10.443","1.411","2.662","159.347","122.415"
"3","GTLM","Antonio Garcia","2","2:01.525","32:21.131","Green","Track","5.843","5.839","24.871","15.583","27.274","9.150","18.054","0.531","10.288","1.418","2.674","159.647","121.810"
"911","GTLM","Patrick Pilet","3","1:55.899","32:38.578","Green","Track","5.612","5.252","23.511","14.503","25.534","8.749","17.853","0.527","10.287","1.414","2.657","160.859","122.155"
"25","GTLM","Tom Blomqvist","1","33:05.757","33:05.757","Green","Track","0.000","10.763","26.814","16.299","27.757","9.362","18.818","0.536","11.761","1.508","2.761","158.158","114.541"
