"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"88","GS","Greg Liefooghe","1","2:30.499","2:30.499","Green","Track","221.957","10.771","28.250","16.718","29.694","10.150","23.595","0.815","13.168","1.666","3.073","104.016","103.678"
"7","GS","Alan Brynjolfsson","1","2:31.745","2:31.745","Green","Track","222.258","11.919","30.987","18.550","31.457","10.622","21.223","0.599","12.014","1.663","3.080","141.524","103.865"
"58","GS","DJ Randall","1","2:33.150","2:33.150","Green","Track","217.869","12.041","29.236","16.904","29.956","10.099","20.609","0.592","12.391","1.673","3.091","143.197","103.244"
"12","TCR","Russell McDonough","1","2:40.143","2:40.143","Green","Track","218.807","12.134","30.918","18.926","32.430","11.306","21.612","0.620","12.469","1.694","3.172","136.730","101.964"
"46","GS","Owen Trinkler","1","2:43.677","2:43.677","Green","Track","216.753","11.126","29.890","18.230","31.783","11.193","20.921","0.584","11.733","1.646","3.046","145.159","104.938"
"44","GS","Jason Hart","1","2:44.939","2:44.939","Green","Track","213.166","11.172","29.857","17.698","31.326","10.695","20.586","0.589","12.005","1.662","3.078","143.927","103.927"
"4","GS","Ted Giovanis","1","2:46.766","2:46.766","Green","Track","219.613","12.300","31.069","17.906","32.229","11.582","21.025","0.590","12.605","1.695","3.135","143.683","101.904"
"40","GS","Jade Buford","1","2:47.823","2:47.823","Green","Track","214.939","11.803","32.766","18.776","31.279","10.631","20.501","0.587","12.035","1.643","3.051","144.417","105.129"
"39","GS","Tyler McQuarrie","1","2:48.230","2:48.230","Green","Track","205.228","10.705","28.248","17.262","30.535","9.917","20.245","0.584","11.640","1.618","3.002","145.159","106.754"
"59","GS","Kenny Wilden","1","2:50.357","2:50.357","Green","Track","212.424","12.464","31.553","18.144","31.848","10.820","20.781","0.589","11.857","1.629","3.028","143.927","106.033"
"54","TCR","Michael Johnson","1","2:52.826","2:52.826","Green","Track","209.723","11.895","30.293","18.585","31.744","10.648","21.252","0.610","12.762","1.718","3.190","138.972","100.540"
"96","GS","Robby Foley","1","2:53.002","2:53.002","Green","Track","205.159","10.805","28.775","18.603","30.012","10.147","20.504","0.625","12.613","1.656","3.044","135.636","104.304"
