"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"14","GTD","Richard Heistand","4","2:29.452","9:37.324","Yellow","Track","7.901","25.682","1.378","21.443","13.169","16.210","1.191","21.549","14.051","15.659","3.214","8.005","57.395","68.125"
"12","GTD","Frank Montecalvo","4","2:29.963","9:39.626","Yellow","Track","7.071","25.779","1.350","21.356","13.708","15.919","1.159","21.978","13.665","16.045","3.446","8.487","58.586","70.005"
"76","GTD","Matt Plumb","4","2:29.861","9:41.207","Yellow","Track","7.440","25.219","1.462","21.383","14.238","15.719","0.966","22.400","13.786","15.018","3.577","8.653","54.098","83.992"
"44","GTD","John Potter","4","2:29.845","9:42.096","Yellow","Track","7.622","25.124","1.393","21.491","14.085","16.501","1.093","21.422","13.597","15.090","3.802","8.625","56.777","74.233"
"8","GTD","Parker Chase","4","2:29.445","9:43.371","Yellow","Track","7.080","24.674","1.554","21.536","14.399","16.377","1.236","20.966","14.308","14.574","4.180","8.561","50.895","65.644"
"74","GTD","Gar Robinson V","4","2:29.479","9:44.101","Yellow","Track","7.440","24.938","1.326","21.261","14.459","16.570","1.232","20.701","14.383","14.192","4.383","8.594","59.646","65.857"
"96","GTD","Robby Foley","4","2:29.342","9:44.830","Yellow","Track","7.465","24.982","1.393","20.995","14.241","16.820","1.306","20.586","14.395","13.977","4.640","8.542","56.777","62.126"
"48","GTD","Ryan Hardwick","4","2:29.459","9:46.785","Yellow","Track","7.474","25.513","1.142","20.409","14.439","16.817","1.159","20.974","14.327","13.504","5.613","8.088","69.256","70.005"
"6","DPi","Juan Pablo Montoya","5","2:44.508","12:05.639","Green","Track","8.301","27.427","1.654","24.732","17.168","21.087","1.790","24.925","16.383","14.753","2.248","4.040","47.818","45.328"
"55","DPi","Jonathan Bomarito","5","2:43.738","12:06.097","Green","Track","8.439","27.584","1.755","24.415","17.788","20.357","1.698","24.406","16.232","14.771","2.278","4.015","45.066","47.783"
"31","DPi","Pipo Derani","5","2:43.115","12:06.256","Green","Track","8.461","27.640","1.789","25.451","16.480","20.567","1.436","24.439","15.953","14.636","2.231","4.032","44.210","56.502"
