"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"48","GTD","Ryan Hardwick","41","1:58.426","1:35:23.044","Green","Track","10.734","18.407","0.745","16.624","11.926","13.087","0.860","16.153","11.580","11.180","2.497","4.633","106.162","94.345"
"6","DPi","Juan Pablo Montoya","37","1:33.829","1:35:26.287","Green","Track","3.082","11.214","0.529","17.863","10.178","8.803","0.516","12.682","13.580","9.406","2.091","3.885","149.510","157.241"
"55","DPi","Jonathan Bomarito","39","1:38.035","1:35:30.929","Green","Track","9.400","13.739","0.606","15.055","10.378","8.745","0.525","13.744","10.181","9.694","2.091","3.877","130.513","154.545"
"84","DPi","Stephen Simpson","49","1:25.106","1:35:43.552","Green","Track","3.025","11.082","0.507","13.111","10.476","8.848","0.526","12.462","9.596","9.444","2.093","3.936","155.998","154.252"
"54","DPi","Jonathan Bennett","39","1:28.842","1:35:46.027","Green","Track","3.111","11.584","0.495","13.575","10.371","9.459","0.531","13.655","10.321","9.791","2.099","3.850","159.780","152.799"
"74","GTD","Gar Robinson V","39","1:46.778","1:35:52.033","Green","Track","9.504","15.616","0.591","14.781","12.887","10.031","0.589","14.164","11.001","10.700","2.431","4.483","133.826","137.753"
"73","GTD","Zacharie Robichon","47","1:30.794","1:36:02.950","Green","Track","3.334","12.476","0.563","13.543","10.355","9.738","0.579","13.129","10.274","10.056","2.352","4.395","140.481","140.132"
"96","GTD","Robby Foley","28","1:30.748","1:36:09.101","Green","Track","3.319","12.387","0.555","13.620","10.271","9.756","0.571","13.393","10.133","10.081","2.333","4.329","142.506","142.095"
"7","DPi","Helio Castroneves","40","1:28.421","1:36:15.486","Green","Track","2.915","11.623","0.540","14.261","10.847","9.315","0.532","13.238","10.119","9.131","2.057","3.843","146.465","152.512"
"77","DPi","Tristan Nunez","27","1:43.007","1:36:20.253","Green","Track","9.518","15.210","0.625","14.699","10.669","9.027","0.609","13.920","11.838","10.844","2.126","3.922","126.545","133.229"
"12","GTD","Townsend Bell","43","1:41.736","1:36:22.060","Green","Pit","3.308","12.692","0.565","13.408","10.350","9.851","0.581","13.264","10.465","10.486","5.469","11.297","139.984","139.650"
"86","GTD","Mario Farnbacher","33","1:49.280","1:36:38.659","Green","Track","3.242","12.508","0.558","30.650","10.977","9.913","0.581","13.568","10.312","10.215","2.370","4.386","141.740","139.650"
"8","GTD","Ryan Dalziel","28","1:31.466","1:36:47.281","Green","Track","3.401","12.560","0.572","13.483","10.276","9.918","0.591","13.100","10.512","10.223","2.385","4.445","138.271","137.287"
"6","DPi","Juan Pablo Montoya","38","1:23.408","1:36:49.695","Green","Track","2.905","11.144","0.504","12.943","9.762","8.825","0.520","12.334","9.517","9.019","2.069","3.866","156.926","156.031"
"55","DPi","Jonathan Bomarito","40","1:24.836","1:36:55.765","Green","Track","3.070","11.059","0.497","12.923","10.002","8.708","0.515","12.840","9.884","9.432","2.064","3.842","159.137","157.546"
"14","GTD","Richard Heistand","45","3:32.845","1:36:58.919","Green","Track","109.472","19.367","0.617","15.600","12.010","10.531","0.592","14.512","11.500","11.696","2.457","4.491","128.186","137.055"
"44","GTD","Andy Lally","43","1:46.396","1:37:00.561","Green","Track","12.561","14.422","0.614","15.267","10.869","9.960","0.584","14.034","10.532","10.689","2.418","4.446","128.813","138.932"
"50","DPi","Victor Franzoni","43","1:39.997","1:37:02.817","Green","Track","9.504","15.472","0.591","14.390","10.470","8.954","0.522","13.487","10.679","9.812","2.161","3.955","133.826","155.434"
"84","DPi","Stephen Simpson","50","1:23.819","1:37:07.371","Green","Track","2.965","11.073","0.508","12.284","9.586","8.821","0.522","12.182","9.315","10.338","2.208","4.017","155.691","155.434"
