"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"57","GS","Christian Hohenadel","11","2:21.213","38:52.823","Green","Pit","13.346","16.405","11.439","24.887","8.894","7.016","6.747","13.008","7.907","7.024","11.078","0.000","0.000","0.000"
"33","GS","Russell Ward","13","2:07.968","40:05.558","Green","Track","14.360","17.057","11.965","24.601","8.936","7.040","6.459","13.061","8.015","6.904","5.746","0.517","3.307","158.256"
"7","GS","Trent Hindman","9","2:14.648","40:37.986","Green","Track","14.400","16.708","11.578","25.129","8.890","6.977","6.474","19.541","8.453","6.931","5.761","0.517","3.289","158.256"
"24","GS","Drew Staveley","7","8:13.481","41:07.578","Green","Pit","15.023","16.985","12.410","24.934","9.000","7.130","6.992","13.493","8.263","7.241","11.909","0.000","0.000","0.000"
"40","GS","Jade Buford","9","2:27.175","41:18.279","Green","Pit","14.392","17.733","12.468","26.244","9.030","7.163","6.793","13.165","8.185","6.981","10.918","0.000","0.000","0.000"
"21","TCR","Harry Gottsacker","3","2:45.766","41:18.995","Green","Track","34.728","22.239","14.421","26.941","9.364","7.572","8.780","15.061","8.611","7.514","6.311","0.572","3.652","143.039"
"96","GS","Robby Foley","12","9:52.190","42:09.976","Green","Pit","461.633","19.464","12.112","24.960","8.938","7.070","6.650","12.509","8.013","6.928","10.480","0.000","0.000","0.000"
"33","GS","Russell Ward","14","2:12.185","42:17.743","Green","Track","14.155","16.825","12.043","24.771","8.922","7.026","6.442","16.651","8.514","7.094","5.866","0.526","3.350","155.548"
"69","GS","Corey Fergus","3","9:35.462","42:29.553","Green","Track","458.146","21.910","12.442","24.266","8.750","6.952","6.567","12.374","7.824","6.738","5.693","0.515","3.285","158.870"
"7","GS","Trent Hindman","10","2:06.708","42:44.694","Green","Track","14.310","16.634","11.657","25.022","8.834","6.948","6.537","12.543","7.944","6.787","5.710","0.513","3.269","159.490"
"98","TCR","Mark Wilkins","1","43:27.739","43:27.739","Green","Pit","0.000","24.892","16.207","29.478","11.099","9.117","8.910","15.678","9.989","8.898","14.224","0.000","0.000","0.000"
"21","TCR","Harry Gottsacker","4","2:18.760","43:37.755","Green","Track","15.892","18.077","13.065","26.167","9.356","7.583","7.630","14.510","8.502","7.457","6.305","0.572","3.644","143.039"
"24","GS","Drew Staveley","8","2:35.345","43:42.923","Green","Track","34.040","20.441","13.078","25.189","9.101","7.269","7.147","13.915","8.265","7.065","5.901","0.532","3.402","153.794"
"57","GS","Bryce Ward","12","5:20.840","44:13.663","Green","Track","202.453","19.923","12.406","25.572","8.825","7.004","6.723","13.458","8.004","6.897","5.756","0.518","3.301","157.950"
"33","GS","Russell Ward","15","2:08.917","44:26.660","Green","Track","14.476","17.006","12.271","25.157","8.945","7.040","6.487","13.052","8.026","6.902","5.744","0.516","3.295","158.562"
"23","TCR","Nick Galante","9","8:59.350","44:36.555","Green","Track","404.902","23.227","15.002","30.002","10.099","7.738","7.714","14.305","8.586","7.450","6.200","0.560","3.565","146.104"
"96","GS","Robby Foley","13","2:45.086","44:55.062","Green","Pit","31.902","19.223","12.376","24.922","8.993","7.066","6.956","13.116","8.085","7.078","11.825","0.000","0.000","0.000"
"57","GS","Bryce Ward","13","2:34.629","46:48.292","Red","Pit","15.089","17.734","12.767","27.739","9.668","8.199","7.634","14.288","8.119","7.222","12.577","0.000","0.000","0.000"
"33","GS","Russell Ward","16","2:27.284","46:53.944","Red","Pit","14.056","16.507","12.121","25.890","9.233","7.307","7.138","13.890","8.241","7.671","11.596","0.000","0.000","0.000"
"23","TCR","Nick Galante","10","2:37.978","47:14.533","Red","Pit","14.686","17.460","14.006","26.688","9.637","7.633","7.985","15.476","8.754","7.650","13.694","0.000","0.000","0.000"
"24","GS","Drew Staveley","9","6:39.121","50:22.044","Green","Pit","13.708","16.555","12.532","26.305","9.347","8.011","9.768","16.440","9.923","9.856","16.161","0.000","0.000","0.000"
"98","TCR","Mark Wilkins","2","7:13.090","50:40.829","Green","Pit","40.651","23.155","15.572","27.542","10.465","9.286","9.670","15.459","9.381","8.431","11.522","0.000","0.000","0.000"
