"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"7","GS","Alan Brynjolfsson","2","2:14.995","25:12.913","Green","Track","6.353","6.349","27.611","16.784","29.851","10.169","20.699","0.589","11.856","1.658","3.076","143.927","104.178"
"88","GS","Henry Schmitt","2","2:14.072","25:13.653","Green","Track","6.256","6.308","27.193","16.809","29.679","9.992","20.241","0.589","12.329","1.639","3.037","143.927","105.386"
"69","GS","Corey Fergus","2","2:12.136","25:21.927","Green","Track","6.379","6.347","26.831","16.523","29.134","9.868","20.000","0.578","11.766","1.657","3.053","146.666","104.241"
"93","GS","Mark Siegel","2","2:17.453","25:30.333","Green","Track","6.654","6.831","28.509","17.040","30.090","10.107","20.729","0.601","12.080","1.686","3.126","141.053","102.448"
"71","GS","Frank DePew","2","2:18.206","25:32.748","Green","Track","6.508","6.906","28.444","16.930","30.703","10.759","20.958","0.586","11.739","1.633","3.040","144.663","105.773"
"40","GS","James Pesek","2","2:16.455","25:33.800","Green","Track","6.516","6.601","28.046","17.095","29.782","10.166","20.583","0.584","12.363","1.653","3.066","145.159","104.493"
"65","GS","Brent Mosing","2","2:17.852","25:37.876","Green","Track","6.560","6.590","28.125","17.111","30.535","10.463","20.844","0.593","12.246","1.678","3.107","142.956","102.936"
"58","GS","DJ Randall","2","2:13.209","25:38.830","Green","Track","6.396","6.334","27.088","16.608","29.043","9.951","20.613","0.589","11.878","1.649","3.060","143.927","104.747"
"59","GS","Rod Randall","2","2:15.432","25:42.533","Green","Track","6.326","6.637","27.746","16.531","29.839","10.184","20.619","0.601","12.258","1.642","3.049","141.053","105.193"
"35","GS","James Cox","2","2:13.002","25:53.645","Green","Track","6.301","6.230","27.555","16.627","29.296","10.013","20.207","0.584","11.564","1.618","3.007","145.159","106.754"
"97","GS","Ramin Abdolvahabi","2","2:16.535","25:55.753","Green","Track","6.494","6.681","28.905","16.838","29.866","10.328","20.281","0.583","11.939","1.616","3.004","145.408","106.886"
"15","GS","Myatt Snider","2","2:12.767","26:01.858","Green","Track","6.335","6.097","26.881","16.612","29.306","10.072","20.693","0.594","11.476","1.639","3.062","142.715","105.386"
"44","GS","Mike Vess","2","2:18.225","26:03.297","Green","Track","6.434","6.793","28.106","17.161","30.382","10.301","20.912","0.596","12.662","1.711","3.167","142.236","100.951"
"22","GS","Matt Crafton","2","2:13.145","26:04.473","Green","Track","6.393","6.253","26.837","16.492","29.418","10.085","20.211","0.590","12.113","1.667","3.086","143.683","103.616"
"4","GS","Ted Giovanis","2","2:19.389","26:16.483","Green","Track","6.511","6.738","28.514","17.329","30.920","10.558","20.827","0.591","12.581","1.698","3.122","143.439","101.724"
"39","GS","Tyler McQuarrie","2","2:11.234","26:28.864","Green","Track","6.312","6.221","26.566","16.526","28.937","9.778","20.084","0.588","11.569","1.623","3.030","144.171","106.425"
"60","GS","Nate Stacy","2","2:11.872","26:31.615","Green","Track","6.315","6.370","26.790","16.354","28.866","9.875","20.124","0.585","11.917","1.633","3.043","144.911","105.773"
"13","GS","Orey Fidani","2","2:14.455","26:35.294","Green","Track","6.336","6.529","27.365","16.610","29.853","10.095","20.334","0.585","12.011","1.662","3.075","144.911","103.927"
"11","GS","Thomas Collingwood","2","2:24.456","26:42.197","Green","Track","7.069","6.551","29.893","18.938","32.716","10.691","21.485","0.605","11.767","1.658","3.083","140.120","104.178"
"75","GS","Kuno Wittmer","2","2:10.569","26:45.496","Green","Track","6.146","6.199","26.664","16.423","28.699","9.777","19.867","0.567","11.611","1.624","2.992","149.511","106.359"
"57","GS","Bryce Ward","2","2:12.945","26:51.763","Green","Track","6.402","6.454","26.960","16.595","29.339","9.924","20.076","0.583","11.934","1.639","3.039","145.408","105.386"
"96","GS","Robby Foley","2","2:10.984","26:52.280","Green","Track","6.253","6.183","26.680","16.360","28.727","9.869","20.057","0.583","11.635","1.615","3.022","145.408","106.952"
"2","GS","Tyler Cooke","3","2:11.477","26:54.898","Green","Track","6.326","6.289","26.610","16.317","28.907","9.852","20.213","0.590","11.677","1.641","3.055","143.683","105.257"
"46","GS","Owen Trinkler","3","2:13.957","27:08.239","Green","Track","6.284","6.116","26.972","17.029","29.759","10.142","20.411","0.583","11.995","1.634","3.032","145.408","105.708"
"8","GS","Rodrigo Sales","3","2:17.356","27:09.741","Green","Track","6.357","6.802","28.472","16.971","29.968","10.362","20.744","0.586","12.351","1.661","3.082","144.663","103.990"
"56","GS","Jeff Mosing","3","2:12.846","27:11.353","Green","Track","6.347","6.196","26.926","16.749","29.306","10.143","20.147","0.585","11.715","1.664","3.068","144.911","103.802"
"82","GS","James Clay","3","2:11.658","27:15.370","Green","Track","6.219","6.213","26.815","16.596","29.046","9.811","20.080","0.575","11.693","1.610","3.000","147.431","107.284"
"7","GS","Alan Brynjolfsson","3","2:15.011","27:27.924","Green","Track","6.393","6.353","27.701","16.720","29.882","10.243","20.624","0.589","11.746","1.670","3.090","143.927","103.430"
"88","GS","Henry Schmitt","3","2:17.683","27:31.336","Green","Track","6.262","6.435","27.160","16.748","32.786","10.747","20.326","0.582","11.969","1.640","3.028","145.658","105.322"
"69","GS","Corey Fergus","3","2:11.940","27:33.867","Green","Track","6.413","6.349","26.695","16.443","29.031","9.921","20.114","0.579","11.750","1.627","3.018","146.412","106.163"
"93","GS","Mark Siegel","3","2:15.889","27:46.222","Green","Track","6.539","6.508","27.647","16.945","29.916","10.077","20.747","0.599","12.085","1.694","3.132","141.524","101.964"
"71","GS","Frank DePew","3","2:15.252","27:48.000","Green","Track","6.393","6.708","27.829","16.512","29.928","10.245","20.422","0.581","11.978","1.627","3.029","145.908","106.163"
"40","GS","James Pesek","3","2:15.522","27:49.322","Green","Track","6.483","6.558","27.627","16.972","29.935","10.060","20.352","0.584","12.231","1.652","3.068","145.159","104.556"
"65","GS","Brent Mosing","3","2:16.744","27:54.620","Green","Track","6.523","6.644","27.465","17.065","30.579","10.227","20.753","0.592","12.131","1.670","3.095","143.197","103.430"
"58","GS","DJ Randall","3","2:16.202","27:55.032","Green","Track","6.352","6.367","27.259","16.787","31.841","10.019","20.270","0.582","12.013","1.654","3.058","145.658","104.430"
"59","GS","Rod Randall","3","2:14.480","27:57.013","Green","Track","6.407","6.444","27.298","16.586","29.563","10.219","20.412","0.587","12.233","1.660","3.071","144.417","104.053"
"35","GS","James Cox","3","2:12.573","28:06.218","Green","Track","6.286","6.246","26.878","16.650","29.618","9.927","20.144","0.584","11.604","1.623","3.013","145.159","106.425"
"97","GS","Ramin Abdolvahabi","3","2:14.494","28:10.247","Green","Track","6.344","6.521","27.271","16.877","29.706","10.285","20.220","0.588","12.035","1.628","3.019","144.171","106.098"
"15","GS","Myatt Snider","3","2:13.119","28:14.977","Green","Track","6.396","6.204","27.126","16.687","29.511","9.862","20.256","0.591","11.718","1.670","3.098","143.439","103.430"
"22","GS","Matt Crafton","3","2:13.716","28:18.189","Green","Track","6.362","6.341","27.493","16.537","29.357","10.061","20.438","0.592","11.807","1.653","3.075","143.197","104.493"
"44","GS","Mike Vess","3","2:18.590","28:21.887","Green","Track","6.478","6.856","27.998","17.530","30.499","10.246","21.048","0.594","12.505","1.700","3.136","142.715","101.604"
"4","GS","Ted Giovanis","3","2:18.619","28:35.102","Green","Track","6.647","6.902","28.346","17.388","30.648","10.362","20.510","0.588","12.448","1.680","3.100","144.171","102.814"
"39","GS","Tyler McQuarrie","3","2:10.902","28:39.766","Green","Track","6.281","6.154","26.688","16.417","28.808","9.703","20.138","0.590","11.489","1.615","3.019","143.683","106.952"
"60","GS","Nate Stacy","3","2:11.512","28:43.127","Green","Track","6.310","6.288","26.688","16.357","28.910","9.852","19.986","0.586","11.880","1.622","3.033","144.663","106.490"
"13","GS","Orey Fidani","3","2:14.247","28:49.541","Green","Track","6.412","6.396","27.401","16.618","29.831","9.986","20.366","0.585","11.902","1.666","3.084","144.911","103.678"
"96","GS","Robby Foley","3","2:20.365","29:12.645","Green","Track","6.295","6.133","28.012","16.958","29.577","10.449","23.376","0.754","13.163","2.108","3.540","112.431","81.939"
"75","GS","Kuno Wittmer","3","2:31.417","29:16.913","Green","Pit","6.199","6.497","31.871","17.817","30.057","10.385","22.237","0.651","12.495","2.967","10.241","130.219","58.216"
"57","GS","Bryce Ward","3","2:25.592","29:17.355","Green","Track","6.382","6.319","29.801","17.090","30.933","11.362","22.502","0.631","13.042","3.136","4.394","134.347","55.079"
"2","GS","Tyler Cooke","4","2:24.041","29:18.939","Green","Track","6.310","6.310","27.654","19.863","33.539","10.979","20.747","0.595","12.230","2.171","3.643","142.475","79.561"
"8","GS","Rodrigo Sales","4","2:14.105","29:23.846","Green","Track","6.357","6.694","27.160","16.501","29.522","9.902","20.415","0.583","12.119","1.712","3.140","145.408","100.892"
"56","GS","Jeff Mosing","4","2:23.555","29:34.908","Red","Pit","6.368","6.330","26.989","16.929","29.320","10.013","20.218","0.585","13.104","3.548","10.151","144.911","48.683"
"82","GS","James Clay","4","2:27.108","29:42.478","Red","Pit","6.197","6.258","26.668","16.595","29.000","9.762","20.103","0.572","13.796","3.558","14.599","148.204","48.546"
"46","GS","Owen Trinkler","4","2:40.479","29:48.718","Red","Pit","6.325","6.187","26.679","16.509","30.312","10.578","24.997","1.085","17.915","6.077","13.815","78.132","28.423"
"40","GS","James Pesek","4","2:29.481","30:18.803","Red","Pit","6.445","6.668","27.709","16.844","29.772","10.085","20.683","0.644","16.076","4.359","10.196","131.635","39.625"
"65","GS","Brent Mosing","4","2:39.086","30:33.706","Red","Pit","6.413","6.509","27.425","17.673","30.323","10.259","24.485","0.921","18.853","4.627","11.598","92.044","37.330"
"35","GS","James Cox","4","2:36.005","30:42.223","Red","Pit","6.298","6.311","27.292","16.986","30.098","11.180","24.624","0.854","16.342","4.809","11.211","99.265","35.918"
"97","GS","Ramin Abdolvahabi","4","2:44.815","30:55.062","Red","Pit","6.453","6.529","27.298","16.978","30.039","11.113","24.867","1.016","22.087","5.784","12.651","83.438","29.863"
"15","GS","Myatt Snider","4","2:42.389","30:57.366","Red","Pit","6.363","6.291","26.856","16.548","29.651","10.052","24.317","0.994","21.681","5.847","13.789","85.284","29.541"
"22","GS","Matt Crafton","4","2:41.080","30:59.269","Red","Pit","6.361","6.367","26.961","16.633","29.341","11.130","24.567","1.035","20.133","4.608","13.944","81.906","37.484"
"4","GS","Ted Giovanis","4","2:40.245","31:15.347","Red","Pit","6.579","6.994","28.407","17.288","35.007","11.423","21.918","0.700","16.452","5.143","10.334","121.104","33.585"
"57","GS","Bryce Ward","4","2:47.191","32:04.546","Red","Pit","7.467","7.141","29.502","16.990","31.520","10.828","23.444","0.875","20.163","4.986","14.275","96.883","34.642"
"2","GS","Tyler Cooke","5","3:04.178","32:23.117","Red","Pit","6.973","6.535","33.625","21.199","37.849","14.316","28.722","0.949","18.286","5.018","10.706","89.328","34.422"
"8","GS","Rodrigo Sales","5","3:01.700","32:25.546","Red","Pit","6.558","8.067","36.418","20.835","34.496","12.458","26.486","0.960","17.912","5.952","11.558","88.305","29.020"
"7","GS","Alan Brynjolfsson","4","8:19.832","35:47.756","Finish","Pit","6.341","6.617","27.456","16.913","30.206","10.297","20.621","0.587","12.935","5.249","362.610","144.417","32.907"
"44","GS","Mike Vess","4","7:28.837","35:50.724","Finish","Pit","6.488","6.909","28.085","17.032","30.438","10.480","24.958","0.968","17.572","5.238","300.669","87.575","32.976"
"39","GS","Tyler McQuarrie","4","7:14.063","35:53.829","Finish","Pit","6.296","6.212","26.603","16.245","34.426","11.403","21.039","0.608","14.848","3.948","292.435","139.429","43.751"
"96","GS","Robby Foley","4","6:43.745","35:56.390","Finish","Pit","6.848","6.349","27.392","16.894","29.763","10.209","26.131","1.014","22.568","7.429","249.148","83.602","23.250"
"93","GS","Mark Siegel","4","8:12.053","35:58.275","Finish","Pit","6.553","6.474","27.645","16.765","29.465","10.090","20.956","0.606","15.132","3.593","354.774","139.889","48.073"
"88","GS","Henry Schmitt","4","8:29.597","36:00.933","Finish","Pit","6.313","6.502","27.270","16.641","29.634","10.127","20.216","0.580","12.598","5.848","373.868","146.160","29.536"
"60","GS","Nate Stacy","4","7:19.505","36:02.632","Finish","Pit","6.334","6.339","29.863","19.703","35.846","13.075","37.314","1.254","22.357","5.118","262.302","67.602","33.749"
"13","GS","Orey Fidani","4","7:16.887","36:06.428","Finish","Pit","6.397","6.449","32.507","20.546","37.370","13.933","28.295","1.062","22.099","6.655","261.574","79.824","25.955"
"69","GS","Corey Fergus","4","8:36.226","36:10.093","Finish","Pit","6.324","6.353","26.673","16.525","30.167","12.180","23.973","0.859","16.128","4.429","372.615","98.688","38.999"
"58","GS","DJ Randall","4","8:17.501","36:12.533","Finish","Pit","6.391","6.505","29.089","17.457","29.952","10.677","24.261","0.978","18.166","5.037","348.988","86.680","34.292"
"59","GS","Rod Randall","4","8:18.567","36:15.580","Finish","Pit","6.524","6.562","27.415","17.548","30.333","11.816","25.147","1.039","19.059","5.569","347.555","81.591","31.016"
"71","GS","Frank DePew","4","8:57.403","36:45.403","Finish","Pit","6.390","6.702","27.861","16.430","29.775","10.353","20.707","0.588","14.535","3.909","400.153","144.171","44.187"
