"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"6","DPi","Juan Pablo Montoya","1","2:07.897","2:07.897","Green","Track","9.848","15.701","0.725","18.844","13.629","9.481","0.632","15.819","11.660","10.965","2.313","4.320","109.091","128.380"
"31","DPi","Pipo Derani","1","2:11.739","2:11.739","Green","Pit","955.302","18.852","0.800","18.099","13.264","9.844","0.824","16.844","11.720","11.840","7.283","11.439","98.864","98.466"
"10","DPi","Renger Van Der Zande","1","2:13.666","2:13.666","Green","Pit","854.099","18.927","0.717","18.284","12.960","10.175","0.804","16.249","12.151","11.907","6.617","11.123","110.308","100.916"
"5","DPi","Joao Barbosa","1","2:17.300","2:17.300","Green","Pit","939.195","20.888","0.886","19.035","12.948","9.782","0.839","17.913","11.635","11.846","7.356","11.497","89.267","96.706"
"84","DPi","Stephen Simpson","1","2:19.604","2:19.604","Green","Track","11.329","19.117","0.959","19.172","13.429","9.434","0.728","16.137","11.603","11.856","2.304","4.728","82.472","111.451"
"85","DPi","Tristan Vautier","1","2:22.959","2:22.959","Green","Track","11.857","18.394","0.881","18.932","14.370","9.859","0.657","15.702","11.459","14.148","2.274","4.152","89.774","123.495"
"7","DPi","Helio Castroneves","1","2:38.119","2:38.119","Green","Track","927.775","21.836","1.372","24.063","16.027","18.319","1.308","22.319","12.961","12.156","2.312","4.446","57.646","62.031"
"55","DPi","Harry Tincknell","1","2:45.480","2:45.480","Green","Track","10.078","16.559","0.700","19.283","13.786","10.874","0.859","17.199","12.505","12.652","2.596","4.684","112.987","94.454"
"85","DPi","Tristan Vautier","2","1:33.399","3:56.358","Green","Track","3.643","12.335","0.537","14.680","11.261","8.947","0.571","14.876","10.585","9.816","2.154","3.994","147.283","142.095"
"84","DPi","Stephen Simpson","2","1:38.449","3:58.053","Green","Track","4.317","13.246","0.560","15.313","12.014","8.995","0.575","14.770","10.902","11.424","2.225","4.108","141.234","141.107"
"7","DPi","Helio Castroneves","2","1:46.191","4:24.310","Green","Pit","3.865","12.954","0.541","15.139","11.372","8.929","0.570","14.242","10.690","10.274","6.035","11.580","146.194","142.344"
"31","DPi","Pipo Derani","2","2:32.500","4:44.239","Green","Pit","35.179","18.413","0.916","19.386","13.433","9.384","0.601","14.904","11.238","10.961","6.583","11.502","86.344","135.002"
"5","DPi","Joao Barbosa","2","2:29.906","4:47.206","Green","Pit","40.974","15.611","0.733","16.586","11.838","9.080","0.679","15.098","10.732","11.033","6.042","11.500","107.900","119.494"
"85","DPi","Tristan Vautier","3","1:28.513","5:24.871","Green","Track","3.230","11.754","0.521","13.905","10.382","8.848","0.522","13.399","10.113","9.740","2.124","3.975","151.806","155.434"
"84","DPi","Stephen Simpson","3","1:32.120","5:30.173","Green","Track","3.737","12.163","0.520","14.263","11.095","8.975","0.524","13.763","10.433","10.354","2.228","4.065","152.098","154.840"
"54","DPi","Jonathan Bennett","1","6:27.971","6:27.971","Green","Pit","10.355","18.173","0.945","21.683","16.596","10.590","0.737","18.140","13.208","13.282","7.926","238.468","83.694","110.090"
"10","DPi","Renger Van Der Zande","2","4:28.852","6:42.518","Green","Track","172.894","14.452","0.658","16.187","11.925","9.615","0.576","14.904","10.777","10.593","2.211","4.060","120.199","140.862"
"85","DPi","Tristan Vautier","4","1:26.741","6:51.612","Green","Track","3.157","11.528","0.517","13.422","10.194","8.802","0.521","13.019","9.993","9.498","2.120","3.970","152.980","155.732"
"50","DPi","Will Owen","1","6:54.732","6:54.732","Green","Pit","12.275","18.280","0.923","20.269","13.890","10.502","0.789","17.681","12.938","13.410","9.033","263.578","85.689","102.834"
"84","DPi","Stephen Simpson","4","1:29.888","7:00.061","Green","Track","3.525","12.083","0.520","13.875","10.769","8.941","0.522","13.417","10.155","9.875","2.178","4.028","152.098","155.434"
"5","DPi","Joao Barbosa","3","2:22.073","7:09.279","Green","Track","44.708","16.208","0.701","17.374","11.788","9.041","0.671","14.561","10.364","10.410","2.201","4.046","112.826","120.919"
"6","DPi","Juan Pablo Montoya","2","5:11.679","7:19.576","Green","Pit","3.595","12.663","0.533","15.655","11.416","9.015","0.523","14.221","11.075","10.612","6.868","215.503","148.388","155.136"
"10","DPi","Renger Van Der Zande","3","1:30.407","8:12.925","Green","Track","3.468","12.016","0.518","14.336","10.782","8.878","0.517","13.383","10.045","10.288","2.177","3.999","152.685","156.937"
"85","DPi","Tristan Vautier","5","1:25.613","8:17.225","Green","Track","3.160","11.257","0.511","13.603","9.990","8.768","0.519","12.684","9.697","9.360","2.111","3.953","154.777","156.332"
"84","DPi","Stephen Simpson","5","1:29.329","8:29.390","Green","Track","3.595","11.803","0.516","13.643","10.272","8.871","0.520","13.228","10.073","10.646","2.158","4.004","153.277","156.031"
