"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"73","GTD","Nicholas Boulle","26","1:49.099","58:55.715","Green","Track","3.363","8.940","12.561","3.944","0.509","14.588","22.498","14.722","18.326","6.137","3.511","161.413"
"31","DPi","Felipe Nasr","28","1:49.160","59:00.866","Green","Pit","2.927","7.761","11.005","3.451","0.455","12.805","19.496","12.824","15.857","10.204","12.375","180.569"
"9","GTD","Zacharie Robichon","27","1:46.786","59:04.806","Green","Track","3.337","8.842","12.617","3.906","0.511","14.221","21.823","14.425","17.752","5.886","3.466","160.781"
"48","GTD","Ryan Hardwick","27","1:49.645","59:07.366","Green","Track","3.352","9.000","12.485","3.903","0.503","15.034","23.021","14.573","18.300","5.998","3.476","163.338"
"7","DPi","Ricky Taylor","30","1:34.430","59:31.708","Green","Track","2.960","8.091","11.262","3.469","0.448","11.791","20.180","12.748","15.575","4.919","2.987","183.391"
"10","DPi","Renger Van Der Zande","30","1:34.330","59:33.984","Green","Track","2.916","7.801","10.987","3.441","0.443","12.106","19.679","13.270","15.716","4.964","3.007","185.461"
"54","DPi","Jonathan Bennett","29","1:37.632","59:36.737","Green","Track","2.922","7.828","10.796","3.389","0.446","12.705","20.588","13.447","17.285","5.215","3.011","184.213"
"38","LMP2","Kyle Masson","29","1:40.394","59:37.452","Green","Track","3.035","8.124","11.329","3.767","0.476","12.675","20.523","13.854","18.098","5.351","3.162","172.603"
"47","GTD","Don Yount","27","1:50.135","59:39.052","Green","Track","3.356","9.044","12.612","3.937","0.507","14.548","22.745","14.764","19.059","6.072","3.491","162.049"
"86","GTD","Trent Hindman","28","1:47.076","59:39.105","Green","Track","3.358","8.761","12.492","3.931","0.517","13.597","21.988","14.928","18.114","5.971","3.419","158.915"
"911","GTLM","Patrick Pilet","28","1:43.320","59:42.708","Green","Track","3.276","8.672","12.283","3.859","0.497","13.219","21.156","14.062","17.193","5.699","3.404","165.310"
"5","DPi","Filipe Albuquerque","30","1:35.512","59:43.463","Green","Track","2.947","7.893","11.006","3.447","0.445","12.718","20.505","12.785","15.679","5.075","3.012","184.627"
"96","GTD","Dillon Machavern","28","1:46.210","59:48.560","Green","Track","3.267","8.897","12.261","3.836","0.495","14.069","21.929","14.379","17.815","5.887","3.375","165.978"
"63","GTD","Jeff Westphal","28","1:46.467","59:49.288","Green","Track","3.295","8.887","12.424","3.880","0.499","13.873","21.983","14.436","17.840","5.911","3.439","164.647"
"57","GTD","Christina Nielsen","28","1:46.009","59:50.111","Green","Track","3.317","8.781","12.457","3.920","0.506","13.732","21.733","14.431","17.833","5.857","3.442","162.370"
"52","LMP2","Eric Lux","29","1:41.608","59:54.485","Green","Track","3.073","8.161","11.517","3.599","0.466","13.473","21.236","13.582","17.486","5.793","3.222","176.307"
"14","GTD","Richard Heistand","28","1:46.513","59:54.626","Green","Track","3.291","8.847","12.464","3.874","0.498","13.811","21.960","14.433","17.928","5.967","3.440","164.978"
"540","GTD","Marco Seefried","28","1:46.640","1:00:01.259","Green","Track","3.356","8.787","12.549","3.956","0.509","13.856","21.782","14.428","18.119","5.853","3.445","161.413"
"85","DPi","Misha Goikhberg","30","1:36.135","1:00:02.916","Green","Track","2.920","7.595","11.069","3.483","0.448","14.270","19.362","12.874","16.226","4.888","3.000","183.391"
"29","GTD","Daniel Morad","28","1:47.624","1:00:05.830","Green","Track","3.313","9.107","12.628","3.930","0.504","13.888","22.298","14.482","18.040","5.961","3.473","163.014"
"6","DPi","Dane Cameron","30","1:32.299","1:00:10.731","Green","Track","2.907","7.669","10.985","3.458","0.445","11.661","18.957","12.501","15.633","5.063","3.020","184.627"
"44","GTD","John Potter","28","1:48.177","1:00:11.054","Green","Track","3.343","8.849","12.609","3.947","0.508","15.055","22.162","14.486","17.912","5.846","3.460","161.730"
"84","DPi","Simon Trummer","30","1:33.279","1:00:13.210","Green","Track","2.998","7.779","11.138","3.508","0.452","11.722","19.295","12.843","15.628","4.904","3.012","181.768"
"55","DPi","Harry Tincknell","31","1:32.540","1:00:21.330","Green","Track","2.855","7.545","10.829","3.440","0.446","11.531","19.587","13.043","15.514","4.812","2.938","184.213"
"3","GTLM","Antonio Garcia","29","1:43.143","1:00:24.370","Green","Track","3.226","8.556","12.062","3.766","0.504","13.340","21.198","14.111","17.469","5.591","3.320","163.014"
"24","GTLM","John Edwards","29","1:42.994","1:00:24.875","Green","Track","3.209","8.501","12.120","3.791","0.488","13.274","21.232","14.037","17.382","5.636","3.324","168.359"
"67","GTLM","Richard Westbrook","29","1:45.385","1:00:25.522","Green","Track","3.280","8.500","12.142","3.828","0.516","13.678","22.550","14.249","17.715","5.605","3.322","159.223"
