"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"7","GT3P","Maxwell Root","8","1:53.324","20:41.885","Green","Track","3.373","9.257","12.859","3.943","0.503","14.977","23.569","15.439","19.270","6.597","3.537","163.338"
"48","GT3P","David Brule","6","8:53.735","20:41.930","Green","Track","406.595","13.804","17.303","4.579","0.569","18.096","25.725","15.951","20.478","6.936","3.699","144.392"
"79","GT3P","Roman DeAngelis","8","1:53.502","20:47.617","Green","Track","3.410","9.440","13.035","3.941","0.539","15.772","23.672","15.056","18.806","6.315","3.516","152.429"
"68","GT3P","Jeff Mosing","7","1:56.570","21:00.402","Green","Track","3.486","9.566","12.910","3.942","0.506","16.122","23.991","16.251","19.780","6.462","3.554","162.370"
"42","GT3P","Bill Smith","8","1:56.491","21:04.284","Green","Track","3.386","9.728","13.132","3.944","0.507","15.918","23.882","15.388","20.537","6.487","3.582","162.049"
"99","GT3P","Alan Metni","8","2:11.447","21:05.099","Green","Pit","3.427","9.497","13.090","3.947","0.506","16.068","24.466","15.346","19.658","9.021","16.421","162.370"
"25","GT3P","Victor Gomez IV","8","1:57.146","21:05.758","Green","Track","3.500","9.990","13.296","3.980","0.531","15.718","23.933","15.882","20.346","6.445","3.525","154.725"
"92","GT3P","Joseph Lombardo","8","1:57.844","21:06.337","Green","Track","3.499","10.777","13.341","3.953","0.512","15.724","24.185","15.609","20.087","6.625","3.532","160.467"
"56","GT3P","David Baker","8","1:55.851","21:06.487","Green","Track","3.481","9.803","13.170","3.929","0.504","15.748","24.137","15.489","19.607","6.468","3.515","163.014"
"27","GT3G","Sebastian Carazo","8","2:01.038","21:11.122","Green","Track","3.593","9.907","13.447","4.153","0.587","16.170","26.811","15.999","19.550","7.122","3.699","139.964"
"3","GT3P","Jeff Kingsley","8","1:52.644","21:12.586","Green","Track","3.392","9.339","13.139","3.949","0.503","15.058","23.444","15.077","18.853","6.364","3.526","163.338"
"53","GT3P","Riley Dickinson","7","2:09.010","21:14.338","Green","Track","15.433","12.450","14.068","3.985","0.504","15.425","23.444","15.068","18.763","6.332","3.538","163.014"
"9","GT3P","Mark Kvamme","8","1:54.640","21:15.686","Green","Track","3.449","9.606","13.497","4.007","0.528","15.567","23.700","15.093","19.192","6.425","3.576","155.604"
"17","GT3G","Curt Swearingin","8","1:56.820","21:22.651","Green","Track","3.542","9.863","13.493","4.082","0.520","15.877","24.051","15.453","19.882","6.408","3.649","157.998"
"69","GT3P","Dan Hardee","8","2:00.517","21:26.393","Green","Track","3.827","10.372","13.966","4.045","0.521","17.122","25.156","15.472","19.692","6.729","3.615","157.695"
"52","GT3G","Kurt Fazekas","7","2:22.551","21:26.620","Green","Pit","4.136","10.440","14.423","4.155","0.528","15.785","24.170","15.716","25.762","10.779","16.657","155.604"
"18","GT3G","Richard Edge","8","2:00.315","21:27.157","Green","Track","3.597","9.993","14.098","4.136","0.553","16.882","25.092","15.848","19.930","6.516","3.670","148.570"
"65","GT3G","Efrin Castro","8","1:58.429","21:27.341","Green","Track","3.487","9.959","13.906","4.094","0.531","15.828","24.783","15.799","20.062","6.391","3.589","154.725"
"15","GT3G","Randal Bryant","8","1:58.969","21:28.736","Green","Track","3.501","9.724","13.659","4.089","0.563","16.021","24.581","15.902","20.682","6.606","3.641","145.931"
"4","GT3P","Michael Mennella","8","1:57.786","21:32.975","Green","Track","3.448","9.829","13.738","4.009","0.516","16.593","24.430","15.350","19.558","6.723","3.592","159.223"
"36","GT3P","Vernon McClure","8","2:11.573","21:33.781","Green","Pit","3.400","9.771","13.670","4.006","0.512","16.710","24.311","15.214","19.549","7.635","16.795","160.467"
"22","GT3G","Bart Collins","8","1:57.636","21:37.879","Green","Track","3.585","9.795","13.463","4.110","0.524","15.834","24.343","15.636","19.421","7.165","3.760","156.792"
"5","GT3G","Rob Ferriol","8","2:10.177","21:38.272","Green","Pit","3.454","9.551","13.513","4.094","0.524","15.944","23.864","15.347","19.381","8.133","16.372","156.792"
"61","GT3P","Scott Welham","8","2:19.387","21:53.797","Green","Pit","3.481","9.851","13.839","4.115","0.526","16.917","26.230","15.619","21.063","10.686","17.060","156.196"
"20","GT3P","Fred Poordad","8","1:53.656","21:55.707","Green","Track","3.371","9.446","12.995","3.967","0.506","15.421","23.589","15.083","19.222","6.462","3.594","162.370"
