"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"6","DPi","Dane Cameron","4","1:16.914","55:48.408","Green","Track","3.673","6.179","3.843","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"84","DPi","Simon Trummer","4","1:14.285","55:49.554","Green","Track","3.776","6.250","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"50","DPi","Will Owen","4","1:13.933","55:55.136","Green","Track","3.797","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"85","DPi","Misha Goikhberg","4","1:15.503","55:59.111","Green","Track","3.760","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"52","LMP2","Eric Lux","4","1:26.802","56:30.856","Green","Track","4.467","7.647","4.586","10.249","7.822","1.890","0.511","8.003","16.429","0.000","0.000","0.000","160.114"
"31","DPi","Pipo Derani","5","1:12.372","56:32.793","Green","Track","3.703","6.121","3.836","7.695","6.883","1.795","0.483","6.320","0.000","0.000","0.000","0.000","169.396"
"38","LMP2","Kyle Masson","4","1:27.997","56:35.757","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"7","DPi","Helio Castroneves","5","1:12.367","56:41.534","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"77","DPi","Oliver Jarvis","4","1:12.767","56:44.816","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"55","DPi","Ryan Hunter-Reay","4","1:13.336","56:49.655","Green","Track","0.000","0.000","0.000","0.000","0.000","1.782","0.480","6.445","0.000","0.000","0.000","0.000","170.455"
"5","DPi","Joao Barbosa","5","1:13.828","56:54.742","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.487","6.515","13.418","13.266","0.000","4.165","168.004"
"10","DPi","Renger Van Der Zande","5","1:14.241","56:59.197","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","13.529","5.243","4.130","0.000"
"6","DPi","Dane Cameron","5","1:13.183","57:01.591","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.480","0.000","0.000","12.895","5.063","4.096","170.455"
