"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"52","LMP2","Anders Fjorback","11","1:55.713","25:45.996","Green","Track","5.356","5.207","23.790","14.829","26.008","8.385","17.566","0.499","10.186","1.356","2.531","169.885","127.380"
"85","DPi","Tristan Vautier","12","1:59.091","25:47.201","Green","Pit","5.192","4.795","22.531","14.129","24.254","8.039","16.529","0.492","9.905","3.176","10.049","172.302","54.385"
"9","GTD","Zacharie Robichon","11","2:50.579","25:49.035","Green","Pit","5.881","5.979","24.854","15.479","27.037","9.142","18.711","0.551","11.644","2.882","48.419","153.852","59.933"
"63","GTD","Toni Vilander","10","4:41.692","25:50.079","Green","Pit","5.837","5.739","26.032","15.576","27.108","9.271","18.866","0.545","11.253","2.985","158.480","155.546","57.865"
"66","GTLM","Joey Hand","10","2:08.782","25:51.305","Green","Pit","5.654","5.512","23.975","14.998","26.451","9.480","18.204","0.525","11.138","2.694","10.151","161.472","64.116"
"71","GTD","Fabian Schiller","10","4:32.254","25:53.743","Green","Pit","5.846","5.805","25.264","21.427","27.424","9.335","18.708","0.549","11.611","3.600","142.685","154.413","47.980"
"10","DPi","Matthieu Vaxiviere","12","1:50.629","25:55.057","Green","Track","5.211","4.768","22.428","13.935","24.597","8.398","16.960","0.493","10.032","1.326","2.481","171.953","130.262"
"67","GTLM","Richard Westbrook","11","1:57.889","25:57.140","Green","Track","5.666","5.491","23.858","14.741","25.940","9.076","18.044","0.523","10.443","1.426","2.681","162.089","121.127"
"84","DPi","Stephen Simpson","10","1:50.284","25:57.548","Green","Track","5.297","5.157","22.593","14.018","24.215","8.155","16.939","0.489","9.606","1.329","2.486","173.359","129.968"
"5","DPi","Brendon Hartley","13","1:50.676","26:00.411","Green","Track","5.362","5.170","23.329","13.993","24.059","8.157","16.746","0.492","9.558","1.326","2.484","172.302","130.262"
