"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"2","LMP3","Jon Brownson","2","1:51.184","3:53.447","Green","Track","11.992","15.306","9.990","20.679","7.813","6.389","5.894","10.627","7.155","6.385","5.367","0.485","3.102","168.697"
"19","LMP3","Bradley Baker","2","1:56.833","3:56.776","Green","Track","0.000","0.000","10.334","22.205","8.019","6.483","6.091","10.309","7.188","6.365","5.376","0.487","3.113","168.004"
"60","LMP3","Bruce Hamilton III","2","1:54.294","3:57.415","Green","Track","12.130","15.789","10.737","22.549","7.958","6.403","5.998","10.361","7.095","6.335","5.356","0.485","3.098","168.697"
"86","LMP3","Paul LaHaye","2","1:54.860","3:58.959","Green","Track","12.156","15.307","10.760","22.834","7.966","6.472","6.147","10.450","7.207","6.450","5.450","0.494","3.167","165.624"
"11","LMP3","Maurice Smith","2","2:36.726","4:39.458","Green","Track","11.928","15.296","9.989","65.416","8.346","6.548","6.122","10.412","7.178","6.392","5.448","0.494","3.157","165.624"
"51","LMP3","Garett Grist","3","1:45.878","5:21.144","Green","Track","10.930","14.124","9.723","19.583","7.690","6.319","5.788","9.700","6.944","6.254","5.294","0.481","3.048","170.100"
"10","LMP3","Stevan McAleer","3","1:45.520","5:21.693","Green","Track","10.929","14.044","9.796","19.659","7.692","6.276","5.780","9.442","6.964","6.221","5.239","0.474","3.004","172.612"
"23","LMP3","Anthony Simone","3","1:45.022","5:21.780","Green","Track","10.876","14.032","9.759","19.768","7.671","6.241","5.718","9.304","6.897","6.149","5.169","0.466","2.972","175.575"
"25","LMP3","Aaron Povoledo","3","1:47.510","5:27.275","Green","Track","11.259","14.145","9.825","20.208","7.686","6.295","5.846","10.129","7.029","6.265","5.293","0.479","3.051","170.810"
"55","LMP3","Nikko Reger","3","1:47.452","5:28.221","Green","Track","11.604","14.081","9.635","20.118","7.681","6.357","5.880","9.801","7.003","6.326","5.381","0.487","3.098","168.004"
"64","LMP3","Alex Barron","3","1:47.383","5:28.282","Green","Track","11.700","14.207","9.751","20.034","7.659","6.250","5.986","9.943","6.960","6.206","5.224","0.472","2.991","173.344"
"75","LMP3","James French","3","1:46.993","5:29.844","Green","Track","11.593","14.096","9.825","19.768","7.737","6.327","5.859","9.748","6.958","6.264","5.293","0.479","3.046","170.810"
"47","LMP3","Rodrigo Pflucker Minaya","3","1:47.632","5:32.885","Green","Track","11.320","14.234","9.928","20.359","7.658","6.281","5.797","9.841","7.062","6.305","5.311","0.480","3.056","170.455"
"74","LMP3","Benjamin Waddell","3","1:48.187","5:33.501","Green","Track","11.667","14.195","9.876","20.551","7.745","6.360","5.858","9.896","7.011","6.287","5.239","0.473","3.029","172.977"
"33","LMP3","Lance Willsey","3","1:48.806","5:33.541","Green","Track","11.316","14.550","9.924","20.250","7.824","6.391","5.969","10.183","7.107","6.358","5.354","0.486","3.094","168.350"
"40","LMP3","Keith Grant","3","1:48.720","5:33.600","Green","Track","12.158","14.707","9.874","20.325","7.726","6.302","5.839","9.879","6.949","6.244","5.234","0.471","3.012","173.712"
"7","LMP3","Blake Mount","3","1:48.190","5:34.227","Green","Track","11.581","14.585","9.804","20.399","7.701","6.316","5.836","9.892","6.999","6.283","5.278","0.477","3.039","171.527"
"4","LMP3","Leo Lamelas","3","1:48.094","5:34.950","Green","Track","11.400","14.404","9.821","20.487","7.745","6.354","5.875","9.712","7.070","6.354","5.333","0.481","3.058","170.100"
"70","LMP3","Joel Janco","3","1:49.768","5:41.622","Green","Track","11.538","14.560","10.054","20.651","7.825","6.384","5.939","10.476","7.082","6.343","5.353","0.483","3.080","169.396"
"2","LMP3","Jon Brownson","3","1:50.256","5:43.703","Green","Track","11.601","14.573","9.940","21.034","7.851","6.388","5.908","10.568","7.079","6.367","5.365","0.484","3.098","169.046"
"19","LMP3","Bradley Baker","3","1:51.361","5:48.137","Green","Track","12.325","14.681","10.155","21.200","7.945","6.437","6.058","10.121","7.136","6.352","5.368","0.485","3.098","168.697"
"60","LMP3","Bruce Hamilton III","3","1:51.379","5:48.794","Green","Track","12.225","14.520","10.426","21.200","7.846","6.351","6.037","10.441","7.039","6.345","5.362","0.486","3.101","168.350"
"86","LMP3","Paul LaHaye","3","1:54.417","5:53.376","Green","Track","12.858","14.999","11.102","21.537","7.915","6.445","6.011","10.756","7.214","6.461","5.462","0.495","3.162","165.289"
"11","LMP3","Maurice Smith","3","1:50.426","6:29.884","Green","Track","11.974","14.580","10.090","20.704","7.869","6.460","6.048","10.128","7.094","6.375","5.454","0.494","3.156","165.624"
"51","LMP3","Garett Grist","4","1:45.126","7:06.270","Green","Track","10.918","13.841","9.584","19.447","7.668","6.297","5.792","9.637","6.884","6.240","5.285","0.481","3.052","170.100"
"10","LMP3","Stevan McAleer","4","1:45.389","7:07.082","Green","Track","10.929","14.033","9.702","19.577","7.680","6.288","5.777","9.533","6.880","6.243","5.249","0.477","3.021","171.527"
"23","LMP3","Anthony Simone","4","1:45.464","7:07.244","Green","Track","11.300","14.085","9.685","19.767","7.656","6.240","5.700","9.362","6.886","6.149","5.187","0.470","2.977","174.081"
"25","LMP3","Aaron Povoledo","4","1:47.447","7:14.722","Green","Track","11.323","14.151","9.846","19.885","7.739","6.329","5.875","10.242","7.011","6.246","5.277","0.479","3.044","170.810"
