"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"33","LMP3","Lance Willsey","5","2:03.269","11:18.838","Green","Track","6.051","5.759","25.325","15.566","27.007","9.244","18.563","0.550","10.852","1.516","2.836","154.132","113.936"
"23","LMP3","Anthony Simone","4","4:50.836","11:19.124","Green","Pit","0.000","0.000","24.884","0.000","0.000","9.036","19.167","0.531","11.379","3.027","168.451","159.647","57.062"
"26","LMP3","James McGuire","5","1:58.626","11:22.264","Green","Track","5.871","5.036","24.675","15.118","25.992","8.774","18.197","0.548","10.184","1.460","2.771","154.695","118.306"
"43","LMP3","Stevan McAleer","4","4:24.730","11:24.961","Green","Track","139.968","11.838","27.525","0.000","0.000","8.926","18.179","0.533","10.686","1.475","2.762","159.048","117.103"
"74","LMP3","Wyatt Schwab","4","2:01.649","11:26.434","Green","Track","5.879","5.894","25.320","15.329","26.717","8.991","18.224","0.534","10.540","1.467","2.754","158.750","117.742"
"9","LMP3","Gerry Kraut","5","2:01.753","11:30.929","Green","Track","5.779","5.642","26.064","0.000","0.000","8.857","17.989","0.531","10.501","1.466","2.750","159.647","117.822"
"4","LMP3","Neil Alberico","5","2:03.596","11:32.204","Green","Track","5.886","5.334","26.577","15.308","27.787","9.143","18.355","0.546","10.390","1.480","2.790","155.261","116.708"
"25","LMP3","Ross Chouest","5","2:08.363","11:35.764","Green","Track","6.032","5.986","27.665","16.290","27.894","9.380","19.061","0.550","11.113","1.536","2.856","154.132","112.453"
"10","LMP3","Joe Robillard","4","2:05.169","11:50.356","Green","Track","6.018","5.908","26.450","15.651","26.971","9.163","18.754","0.534","11.425","1.499","2.796","158.750","115.228"
"70","LMP3","Joel Janco","5","2:03.691","12:04.911","Green","Track","6.075","5.652","25.591","15.613","27.200","9.272","18.760","0.550","10.676","1.493","2.809","154.132","115.691"
"11","LMP3","Nico Rondet","5","2:00.814","12:10.249","Green","Track","5.978","5.692","24.645","15.146","26.947","8.878","18.225","0.544","10.455","1.493","2.811","155.832","115.691"
"2","LMP3","Tim George","5","2:07.478","12:17.329","Green","Track","6.141","6.248","25.805","16.586","28.178","9.458","19.086","0.548","11.020","1.541","2.867","154.695","112.088"
"47","LMP3","Austin McCusker","4","1:58.993","12:20.423","Green","Track","5.827","5.354","24.397","15.109","26.276","8.930","18.066","0.533","10.323","1.445","2.733","159.048","119.534"
"64","LMP3","Alex Barron","6","2:01.571","12:34.952","Green","Track","5.997","5.714","24.730","15.339","26.679","9.058","18.496","0.550","10.735","1.476","2.797","154.132","117.024"
"51","LMP3","Garett Grist","6","2:10.560","12:35.700","Green","Pit","5.880","5.590","24.688","15.151","26.386","8.903","18.198","0.543","11.809","3.297","10.115","156.119","52.389"
"12","LMP3","Tim Moser","5","2:04.607","12:51.992","Green","Track","6.128","5.937","25.213","15.484","27.522","9.349","18.697","0.550","11.356","1.524","2.847","154.132","113.338"
"52","LMP3","Mike Guasch","6","2:03.805","12:52.523","Green","Track","6.019","5.600","25.096","15.621","27.397","9.136","18.677","0.549","11.300","1.542","2.868","154.413","112.015"
