"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"71","GS","Frank DePew","4","4:05.096","43:29.830","Green","Pit","14.521","10.962","14.801","4.405","0.598","110.655","26.176","16.248","21.490","8.981","16.259","137.390"
"46","GS","Owen Trinkler","7","1:55.410","43:33.198","Green","Track","3.547","9.460","13.821","4.275","0.549","15.093","23.606","15.640","19.257","6.431","3.731","149.652"
"93","GS","Mark Siegel","6","1:58.957","43:38.210","Green","Track","3.626","9.863","14.064","4.379","0.556","15.839","24.307","15.932","19.879","6.711","3.801","147.768"
"88","GS","Henry Schmitt","7","1:57.289","43:38.795","Green","Track","3.515","9.782","13.728","4.156","0.531","15.586","24.232","15.801","19.614","6.634","3.710","154.725"
"97","GS","Rob Ecklin Jr.","7","1:57.463","43:42.319","Green","Track","3.539","9.793","13.708","4.230","0.544","15.852","24.056","15.703","19.768","6.572","3.698","151.028"
"65","GS","Tim Probert","7","1:57.455","43:53.806","Green","Track","3.583","9.576","13.914","4.304","0.554","15.525","23.958","15.789","19.914","6.547","3.791","148.302"
"59","GS","Rod Randall","6","2:04.527","44:03.720","Green","Track","3.652","10.391","14.661","4.357","0.556","16.642","25.778","16.436","21.165","7.070","3.819","147.768"
"13","GS","Scott Hargrove","7","1:59.081","44:19.146","Green","Track","3.591","9.684","13.831","4.234","0.542","15.550","24.186","16.056","19.582","7.715","4.110","151.585"
"56","GS","Jeff Mosing","7","2:12.158","44:20.977","Green","Pit","3.560","9.645","13.864","4.273","0.549","15.343","23.995","15.863","20.769","8.852","15.445","149.652"
"4","GS","Ted Giovanis","7","1:59.071","44:24.817","Green","Track","3.596","9.762","13.871","4.291","0.551","15.884","24.431","15.925","20.405","6.583","3.772","149.109"
"7","GS","Trent Hindman","6","3:27.226","44:49.771","Finish","Pit","3.566","9.844","14.036","4.292","0.547","15.513","27.028","31.236","55.973","16.632","28.559","150.199"
"46","GS","Owen Trinkler","8","1:56.167","45:29.365","Finish","Track","3.555","9.495","13.826","4.271","0.549","14.999","23.736","15.736","19.311","6.848","3.841","149.652"
"88","GS","Henry Schmitt","8","2:21.748","46:00.543","Finish","Pit","3.513","10.151","13.723","4.134","0.527","17.205","24.849","16.839","21.666","11.541","17.600","155.900"
"97","GS","Rob Ecklin Jr.","8","2:19.732","46:02.051","Finish","Pit","3.522","9.678","14.683","4.341","0.555","17.922","25.704","15.762","20.188","14.109","13.268","148.034"
"93","GS","Mark Siegel","7","2:24.894","46:03.104","Finish","Pit","3.628","9.969","13.981","4.340","0.554","23.182","26.564","16.421","20.460","10.073","15.722","148.302"
"59","GS","Rod Randall","7","2:04.218","46:07.938","Finish","Track","3.625","10.333","14.477","4.355","0.557","16.829","25.562","16.820","20.843","7.008","3.809","147.503"
"65","GS","Tim Probert","8","2:14.521","46:08.327","Finish","Pit","3.594","9.613","13.892","4.306","0.553","15.630","23.912","15.784","19.636","11.198","16.403","148.570"
"4","GS","Ted Giovanis","8","1:59.181","46:23.998","Finish","Track","3.602","9.880","13.898","4.287","0.555","16.164","24.353","16.045","20.075","6.543","3.779","148.034"
"33","GS","Indy Dontje","7","3:07.924","46:32.643","Finish","Pit","3.683","11.174","19.010","6.358","0.884","22.364","36.725","26.541","33.575","11.952","15.658","92.940"
"60","GS","Nate Stacy","5","8:46.262","46:44.390","Finish","Pit","3.577","9.723","13.752","4.236","0.544","15.414","24.017","16.020","20.385","7.995","410.599","151.028"
"2","GS","Kenton Koch","5","7:37.481","46:49.405","Finish","Pit","3.598","9.605","13.948","4.347","0.558","15.238","24.029","16.549","20.457","7.535","341.617","147.239"
"35","GS","James Cox","4","10:56.130","46:56.704","Finish","Pit","3.548","9.615","13.723","4.221","0.541","17.601","26.282","16.191","21.356","10.022","533.030","151.865"
"40","GS","James Pesek","7","4:11.134","47:00.009","Finish","Pit","3.674","10.341","14.884","4.444","0.582","17.020","26.537","17.813","21.714","11.531","122.594","141.167"
"71","GS","Frank DePew","5","3:38.955","47:08.785","Finish","Pit","14.521","10.946","16.002","4.443","0.565","17.820","27.002","16.536","21.484","10.578","79.058","145.414"
"8","GS","Rodrigo Sales","6","5:53.143","47:12.722","Finish","Pit","3.624","9.782","14.063","4.368","0.561","16.322","25.301","16.507","22.774","8.781","231.060","146.451"
"69","GS","Jesse Lazare","6","4:56.294","47:16.550","Finish","Pit","14.614","10.184","14.081","4.179","0.539","15.668","28.988","76.418","25.614","11.307","94.702","152.429"
