"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"50","DPi","Kyle Kaiser","3","1:31.991","5:35.249","Green","Track","4.555","8.375","4.995","9.687","7.441","1.854","0.535","8.329","16.698","16.767","7.291","5.464","152.931"
"7","DPi","Ricky Taylor","2","2:39.907","5:35.172","Green","Pit","45.272","13.063","7.229","12.376","8.808","2.584","0.783","11.060","20.007","18.973","8.752","11.000","104.493"
"76","GTD","Matt Plumb","1","5:38.499","5:38.499","Green","Pit","14.232","13.351","6.136","11.123","8.854","2.470","0.794","10.853","22.012","20.927","8.343","108.137","103.046"
"48","GTD","Ryan Hardwick","2","1:41.832","5:43.041","Green","Track","5.375","9.396","5.300","11.499","8.509","2.079","0.578","9.448","19.198","18.332","6.818","5.300","141.554"
"31","DPi","Felipe Nasr","3","1:26.592","5:44.091","Green","Track","4.439","7.699","4.457","9.870","7.635","1.881","0.538","8.078","16.231","15.222","6.128","4.414","152.078"
"54","DPi","Colin Braun","2","2:43.231","5:46.699","Green","Pit","49.339","13.026","6.172","12.738","9.741","2.627","0.733","10.582","20.077","18.640","8.623","10.933","111.621"
"63","GTD","Toni Vilander","3","1:32.408","5:49.813","Green","Track","4.873","8.473","4.728","10.062","8.299","2.057","0.552","7.979","16.938","17.041","6.331","5.075","148.221"
"9","GTD","Scott Hargrove","2","2:38.541","5:52.182","Green","Pit","14.125","13.518","6.577","11.813","9.564","2.572","0.698","9.855","19.413","18.128","7.699","44.579","117.218"
"912","GTLM","Earl Bamber","3","2:12.392","5:56.469","Green","Track","37.789","11.446","5.476","11.002","8.316","2.188","0.665","9.389","17.926","17.146","6.215","4.834","123.035"
"66","GTLM","Dirk Mueller","2","3:22.797","6:09.100","Green","Pit","82.399","14.292","7.396","13.497","10.602","2.718","0.775","10.381","21.174","20.250","8.371","10.942","105.572"
"85","DPi","Misha Goikhberg","4","1:21.868","6:13.487","Green","Track","4.108","6.909","4.207","9.543","7.413","1.871","0.501","7.864","15.223","14.326","5.499","4.404","163.310"
"73","GTD","Patrick Long","2","2:46.514","6:15.282","Green","Pit","14.169","13.471","6.873","13.625","10.705","2.434","0.677","10.080","20.879","22.451","7.812","43.338","120.854"
"6","DPi","Dane Cameron","3","2:10.014","6:19.042","Green","Track","37.620","11.385","5.546","11.291","7.670","1.892","0.580","8.803","17.676","16.470","6.303","4.778","141.066"
"38","LMP2","Cameron Cassels","3","1:34.774","6:22.400","Green","Track","4.846","8.295","5.137","10.601","8.388","2.009","0.542","8.711","17.931","16.847","6.445","5.022","150.956"
"96","GTD","Bill Auberlen","4","1:26.063","6:32.075","Green","Track","4.268","7.725","4.424","9.303","7.882","1.986","0.533","7.473","15.981","15.675","6.055","4.758","153.505"
"86","GTD","Mario Farnbacher","4","1:28.344","6:46.182","Green","Track","4.569","8.467","4.516","9.194","7.976","2.019","0.543","8.090","16.198","15.957","6.050","4.765","150.678"
"3","GTLM","Antonio Garcia","4","1:32.301","6:50.924","Green","Track","4.565","8.567","5.109","9.831","7.983","2.000","0.546","8.320","17.012","16.960","6.403","5.005","149.850"
"14","GTD","Richard Heistand","4","1:30.531","6:51.208","Green","Track","4.433","7.672","4.757","10.250","8.134","2.061","0.552","7.624","16.747","16.879","6.506","4.916","148.221"
"67","GTLM","Richard Westbrook","3","1:35.462","6:53.170","Green","Track","4.757","8.878","5.185","11.177","8.571","2.354","0.650","8.366","17.182","16.880","6.535","4.927","125.874"
"4","GTLM","Oliver Gavin","4","1:30.588","6:54.615","Green","Track","4.502","7.767","4.739","10.215","8.071","2.000","0.538","8.498","16.781","16.388","6.209","4.880","152.078"
"24","GTLM","John Edwards","4","1:27.322","6:54.810","Green","Track","4.275","7.502","4.674","9.280","7.841","1.975","0.528","8.036","16.293","15.904","6.195","4.819","154.959"
"911","GTLM","Nick Tandy","4","1:39.290","6:57.526","Green","Pit","4.753","8.577","4.794","9.828","7.946","1.995","0.558","8.451","17.152","16.967","7.399","10.870","146.628"
