"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"35","GS","Dylan Murry","86","1:54.813","3:15:56.378","Green","Track","3.535","9.480","13.570","4.181","0.535","14.819","23.532","15.744","19.279","6.420","3.718","153.568"
"75","GS","Paul Holton","82","2:09.447","3:16:03.367","Green","Pit","3.586","9.553","13.657","4.151","0.535","15.287","24.112","15.847","19.867","10.363","12.489","153.568"
"88","GS","Greg Liefooghe","84","1:55.542","3:16:04.892","Green","Track","3.538","9.519","13.579","4.175","0.535","15.280","23.736","15.634","19.340","6.479","3.727","153.568"
"96","GS","Bill Auberlen","86","1:55.515","3:16:08.639","Green","Track","3.537","9.695","13.581","4.139","0.530","15.145","23.748","15.601","19.352","6.445","3.742","155.017"
"4","GS","Guy Cosmo","86","1:55.087","3:16:09.405","Green","Track","3.571","9.468","13.677","4.209","0.539","15.012","23.612","15.723","19.264","6.292","3.720","152.429"
"71","GS","Robin Liddell","86","1:55.479","3:16:15.228","Green","Track","3.602","9.536","13.866","4.272","0.547","14.958","23.657","15.701","19.220","6.348","3.772","150.199"
"5","TCR","Tim Lewis Jr","84","1:59.015","3:16:22.193","Green","Track","3.735","9.686","14.134","4.415","0.566","15.484","24.499","16.166","19.880","6.590","3.860","145.157"
"11","GS","Spencer Pumpelly","85","1:56.761","3:16:23.592","Green","Track","3.580","9.575","13.840","4.203","0.537","15.283","24.103","16.001","19.390","6.482","3.767","152.996"
"69","GS","Corey Fergus","86","1:55.938","3:16:25.659","Green","Track","3.544","9.733","13.538","4.115","0.529","15.362","23.877","15.679","19.444","6.419","3.698","155.310"
"56","GS","Eric Foss","86","1:55.110","3:16:30.221","Green","Track","3.597","9.564","13.663","4.206","0.538","14.891","23.594","15.793","19.249","6.296","3.719","152.712"
"59","GS","Kenny Wilden","86","1:57.197","3:16:38.227","Green","Track","3.629","9.936","13.810","4.223","0.539","15.405","23.916","15.890","19.521","6.547","3.781","152.429"
