"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"99","GT3P","Alan Metni","4","1:52.082","8:10.003","Green","Track","3.304","9.266","13.259","3.948","0.502","15.048","23.043","14.972","19.031","6.235","3.474","163.664"
"3","GT3P","Jeff Kingsley","4","1:51.108","8:10.262","Green","Track","3.304","9.130","12.817","3.902","0.497","14.879","23.074","14.957","18.866","6.239","3.443","165.310"
"11","GT3P","Sean McAlister","4","1:50.985","8:13.066","Green","Track","3.310","9.195","12.716","3.885","0.496","15.034","23.044","14.984","18.567","6.291","3.463","165.643"
"65","GT3G","Efrin Castro","3","1:55.018","8:15.481","Green","Track","3.425","9.355","13.703","4.118","0.562","15.630","23.648","15.447","19.289","6.290","3.551","146.191"
"25","GT3P","Victor Gomez IV","4","1:51.043","8:16.485","Green","Track","3.298","9.291","12.760","3.933","0.502","15.073","22.956","14.966","18.593","6.218","3.453","163.664"
"20","GT3P","Fred Poordad","4","1:51.315","8:23.930","Green","Track","3.293","9.245","12.776","3.955","0.505","15.122","23.064","14.944","18.641","6.272","3.498","162.691"
"68","GT3P","Jeff Mosing","4","1:51.498","8:27.501","Green","Track","3.354","9.281","12.794","3.956","0.504","15.086","23.064","15.034","18.722","6.234","3.469","163.014"
"52","GT3G","Kurt Fazekas","4","1:53.800","8:33.649","Green","Track","3.395","9.315","13.040","4.047","0.518","15.447","23.890","15.196","19.011","6.362","3.579","158.608"
"27","GT3G","Sebastian Carazo","4","1:52.413","8:34.905","Green","Track","3.395","9.321","12.968","4.030","0.514","15.095","23.343","15.232","18.759","6.242","3.514","159.843"
"36","GT3P","Vernon McClure","4","1:53.486","8:38.921","Green","Track","3.327","9.496","13.170","3.989","0.509","15.608","23.379","15.160","19.079","6.236","3.533","161.413"
"9","GT3P","Mark Kvamme","4","1:52.161","8:42.000","Green","Track","3.359","9.400","12.874","3.959","0.505","15.065","23.325","14.962","18.874","6.315","3.523","162.691"
"56","GT3P","David Baker","4","1:53.543","8:46.677","Green","Track","3.329","9.560","12.963","3.977","0.507","15.492","23.658","15.196","19.030","6.323","3.508","162.049"
"42","GT3P","Bill Smith","4","1:53.467","8:49.058","Green","Track","3.308","9.410","13.273","3.994","0.512","15.642","23.268","15.087","19.298","6.180","3.495","160.467"
"61","GT3P","Scott Welham","4","1:53.095","8:51.455","Green","Track","3.332","9.445","13.004","3.960","0.505","15.364","23.541","15.109","19.064","6.268","3.503","162.691"
"92","GT3P","Joseph Lombardo","4","1:54.587","8:55.046","Green","Track","3.373","9.573","13.093","3.959","0.528","15.767","23.576","15.286","19.583","6.387","3.462","155.604"
"5","GT3G","Rob Ferriol","4","1:53.776","8:58.279","Green","Track","3.429","9.513","13.102","4.057","0.519","15.326","23.479","15.329","19.126","6.341","3.555","158.303"
"15","GT3G","Randal Bryant","4","1:54.763","9:00.479","Green","Track","3.430","9.503","13.278","4.109","0.539","15.585","23.847","15.308","19.221","6.362","3.581","152.429"
"18","GT3G","Richard Edge","4","1:55.784","9:06.596","Green","Track","3.504","9.711","13.290","4.129","0.533","15.701","24.265","15.596","19.158","6.314","3.583","154.145"
"48","GT3P","David Brule","4","1:55.030","9:14.394","Green","Track","3.379","9.429","13.375","4.014","0.511","15.406","24.056","15.239","19.735","6.379","3.507","160.781"
"4","GT3P","Michael Mennella","4","2:01.451","9:18.799","Green","Track","3.321","9.526","13.509","4.044","0.514","16.029","23.636","15.543","25.137","6.636","3.556","159.843"
"22","GT3G","Bart Collins","4","1:56.671","9:27.774","Green","Track","3.458","9.561","13.468","4.160","0.532","15.908","24.081","15.652","19.702","6.522","3.627","154.434"
"79","GT3P","Roman DeAngelis","5","2:05.848","10:04.940","Red","Pit","3.297","9.111","12.745","3.962","0.507","14.560","22.998","14.800","18.894","8.238","16.736","162.049"
"45","GT3P","Charlie Luck","4","2:26.233","10:29.800","Red","Pit","3.315","9.505","12.942","4.003","0.511","15.420","23.627","15.083","21.761","15.069","24.997","160.781"
"99","GT3P","Alan Metni","5","2:25.079","10:35.082","Red","Pit","3.301","9.359","12.853","3.913","0.497","15.224","23.053","14.980","22.397","14.765","24.737","165.310"
"7","GT3P","Maxwell Root","5","2:29.329","10:37.267","Red","Pit","3.314","9.607","13.170","4.019","0.554","16.230","25.037","15.813","22.124","14.252","25.209","148.302"
