"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"57","GS","Bryce Ward","3","1:39.256","6:07.340","Green","Track","5.195","8.703","5.178","10.145","8.543","2.142","0.572","8.483","17.962","19.635","7.296","5.402","143.039"
"2","GS","Kenton Koch","3","1:37.229","6:07.845","Green","Track","5.326","9.236","5.195","0.000","0.000","2.130","0.570","8.155","16.978","18.830","7.276","5.488","143.541"
"33","GS","Russell Ward","3","1:37.505","6:07.846","Green","Track","5.110","8.927","5.081","9.784","8.526","2.130","0.571","7.818","17.281","19.397","7.388","5.492","143.289"
"98","TCR","Mark Wilkins","3","1:38.098","6:08.286","Green","Track","5.459","9.050","5.387","10.398","8.612","2.212","0.593","8.295","17.265","18.130","7.310","5.387","137.973"
"84","TCR","Todd Lamb","3","1:37.890","6:08.519","Green","Track","5.616","9.903","5.443","9.748","8.700","2.250","0.605","8.539","17.214","17.686","7.013","5.173","135.237"
"73","TCR","Mat Pombo","3","1:35.945","6:11.471","Green","Track","5.033","8.859","5.213","9.821","8.755","2.253","0.603","8.602","17.568","17.656","6.509","5.073","135.685"
"65","GS","Brent Mosing","3","1:52.164","6:14.001","Green","Pit","5.304","9.357","5.576","10.861","8.839","2.181","0.589","9.105","19.829","19.928","8.551","12.044","138.910"
"3","TCR","Mark Kvamme","3","1:45.376","6:15.400","Green","Track","5.619","10.868","5.673","10.933","9.058","2.417","0.640","9.224","19.278","19.101","6.870","5.695","127.841"
"52","TCR","Colin Mullan","3","1:36.758","6:15.426","Green","Track","5.186","8.416","5.360","10.134","8.718","2.252","0.604","8.595","17.508","17.839","6.810","5.336","135.461"
"37","TCR","Shelby Blackstock","3","1:33.994","6:17.070","Green","Track","5.090","8.484","5.176","9.652","8.693","2.258","0.607","8.086","17.087","17.319","6.398","5.144","134.791"
"96","GS","Robby Foley","3","1:46.081","6:20.247","Green","Pit","4.811","8.257","5.206","10.958","8.439","2.135","0.571","8.104","17.210","18.119","7.691","14.580","143.289"
