"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"34","Pro","D. Bryce Miller","1","2:04.442","2:04.442","Green","Track","0.000","10.485","14.358","4.048","0.534","16.215","23.318","14.407","18.187","5.867","3.359","153.856"
"1","Pro","Sandy Mitchell","1","2:07.982","2:07.982","Green","Track","0.000","10.301","13.187","3.899","0.546","16.180","23.478","14.708","20.796","6.069","3.330","150.475"
"69","ProAm","Paul Tracy","1","2:08.827","2:08.827","Green","Track","0.000","10.364","13.457","4.002","0.592","16.434","23.864","14.994","18.755","6.378","3.438","138.782"
"09","ProAm","Damon Ockey","1","2:11.032","2:11.032","Green","Track","0.000","11.681","14.988","4.063","0.515","16.371","26.489","16.228","19.581","6.277","3.393","159.532"
"33","Am","Cameron Cassels","1","2:11.389","2:11.389","Green","Track","0.000","10.371","13.463","3.917","0.529","15.700","23.807","16.033","19.841","6.193","3.397","155.310"
"88","LB Cup","Jonathan Hirshberg","1","2:25.873","2:25.873","Green","Track","25.794","13.521","15.656","4.151","0.558","17.935","25.553","15.921","20.583","6.740","3.486","147.239"
"43","LB Cup","Stephanie Cemo","1","2:26.429","2:26.429","Green","Track","0.000","12.998","15.606","4.098","0.538","17.060","25.855","15.860","20.498","6.767","3.539","152.712"
"08","LB Cup","Mel Johnson","1","2:48.037","2:48.037","Green","Track","18.009","11.787","14.753","4.111","0.525","16.640","23.567","14.767","18.783","6.362","3.478","156.494"
"7","Am","Sheena Monk","1","3:03.561","3:03.561","Green","Track","0.000","14.633","16.676","4.438","0.570","17.107","25.833","15.912","19.460","6.583","3.447","144.139"
"3","LB Cup","Randy Sellari","1","3:04.511","3:04.511","Green","Track","0.000","13.547","16.537","4.523","0.581","17.214","25.597","16.237","19.619","6.552","3.500","141.410"
"22","ProAm","Chad Reed","1","3:11.204","3:11.204","Green","Track","0.000","11.062","17.767","4.458","0.623","18.081","26.986","16.128","21.796","6.457","3.458","131.877"
"6","Am","Steven Aghakhani","1","3:22.691","3:22.691","Green","Pit","0.000","10.959","14.451","4.036","0.531","16.253","25.112","19.651","22.574","7.938","68.250","154.725"
