"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"09","ProAm","Jacob Eidson","1","2:14.690","2:14.690","Green","Track","311.885","11.078","17.734","4.395","0.585","17.814","24.070","14.980","18.573","6.193","3.418","140.443"
"22","ProAm","Ryan Hardwick","1","2:17.554","2:17.554","Green","Track","0.000","13.252","16.529","4.553","0.696","18.807","25.834","16.094","20.282","6.334","3.450","118.045"
"7","Am","Sheena Monk","1","2:20.408","2:20.408","Green","Track","0.000","14.151","19.451","4.486","0.565","18.950","26.104","15.775","20.096","6.857","3.516","145.414"
"53","ProAm","Bruno Junqueira","1","2:22.987","2:22.987","Green","Track","313.814","12.767","18.234","4.580","0.664","20.453","25.811","17.323","19.889","6.291","3.442","123.734"
"63","Am","McKay Snow","1","2:23.438","2:23.438","Green","Track","193.099","12.778","15.433","4.152","0.620","18.556","26.589","15.136","19.077","6.350","3.457","132.515"
"29","Pro","Corey Lewis","1","2:23.827","2:23.827","Green","Track","195.110","10.966","14.321","3.995","0.569","17.435","26.916","14.952","19.301","6.211","3.430","144.392"
"08","LB Cup","Mel Melsom","1","2:29.833","2:29.833","Green","Track","218.967","12.253","15.929","4.324","0.639","20.243","29.283","17.202","20.746","6.770","3.547","128.574"
"3","LB Cup","Randy Sellari","1","2:32.892","2:32.892","Green","Track","0.000","14.986","19.937","5.311","0.707","22.126","29.387","17.586","22.693","7.579","3.702","116.208"
"46","Pro","Brandon Gdovic","1","2:37.988","2:37.988","Green","Track","48.436","13.200","17.400","4.261","0.568","16.596","24.485","15.198","20.062","6.334","3.407","144.646"
"36","LB Cup","Matt Dicken","1","2:38.047","2:38.047","Green","Track","194.600","12.872","18.091","4.637","0.604","18.973","26.677","15.879","21.297","6.890","3.557","136.025"
"69","ProAm","William Hubbell","1","2:41.163","2:41.163","Green","Track","192.231","12.922","17.648","4.458","0.629","19.619","26.869","16.187","21.222","7.233","3.652","130.619"
"33","Am","Cameron Cassels","1","2:41.181","2:41.181","Green","Track","74.816","12.662","16.320","4.965","0.678","19.293","26.633","15.776","21.325","6.916","3.567","121.179"
"34","Pro","D. Bryce Miller","1","2:46.927","2:46.927","Green","Track","30.462","13.286","16.285","4.580","0.642","17.757","24.744","16.447","24.953","6.593","3.452","127.974"
"43","LB Cup","Stephanie Cemo","1","2:51.490","2:51.490","Green","Track","53.944","13.315","17.958","5.029","0.747","18.298","27.910","17.434","23.277","7.558","4.735","109.985"
"27","Pro","Cedric Sbirrazzuoli","1","3:02.350","3:02.350","Green","Track","0.000","10.178","14.794","4.194","0.578","17.957","26.409","21.246","21.113","6.163","3.425","142.144"
"1","Pro","Sandy Mitchell","1","3:15.647","3:15.647","Green","Track","396.877","10.811","16.137","4.230","0.573","17.200","24.214","15.283","20.857","7.760","3.593","143.384"
"6","Am","Steven Aghakhani","1","3:26.631","3:26.631","Green","Track","14.834","12.889","17.631","4.856","0.707","20.993","28.885","17.082","22.165","6.673","3.465","116.208"
"88","LB Cup","Jonathan Hirshberg","1","3:34.775","3:34.775","Green","Pit","15.082","12.349","17.049","4.443","0.600","18.936","27.311","16.729","22.081","12.093","19.647","136.932"
"09","ProAm","Jacob Eidson","2","1:48.398","4:03.088","Green","Track","3.264","9.244","12.254","3.782","0.486","14.608","22.594","14.488","18.207","6.091","3.380","169.052"
"22","ProAm","Ryan Hardwick","2","1:50.959","4:08.513","Green","Track","3.317","9.447","12.598","3.860","0.495","15.533","23.120","14.546","18.624","6.031","3.388","165.978"
"7","Am","Sheena Monk","2","1:52.853","4:13.261","Green","Track","3.319","9.453","12.882","3.853","0.491","15.454","23.430","14.883","18.970","6.636","3.482","167.330"
"63","Am","McKay Snow","2","1:49.997","4:13.435","Green","Track","3.338","9.300","12.754","3.843","0.492","14.767","22.897","14.542","18.293","6.329","3.442","166.990"
"29","Pro","Corey Lewis","2","1:56.686","4:20.513","Red","Track","3.379","9.364","12.851","3.834","0.502","15.377","22.767","17.282","21.867","6.064","3.399","163.664"
"53","ProAm","Bruno Junqueira","2","2:16.780","4:39.767","Red","Pit","3.327","9.289","12.980","4.563","0.773","18.801","25.198","16.488","20.280","9.205","15.876","106.286"
"3","LB Cup","Randy Sellari","2","2:22.772","4:55.664","Red","Pit","3.516","11.072","15.488","4.159","0.539","17.859","26.193","15.576","21.509","10.662","16.199","152.429"
"33","Am","Cameron Cassels","2","2:20.989","5:02.170","Red","Pit","3.402","9.563","13.001","3.891","0.505","16.157","24.678","15.853","23.306","13.072","17.561","162.691"
"69","ProAm","William Hubbell","2","2:28.342","5:09.505","Red","Pit","3.500","10.434","13.632","4.007","0.520","17.460","25.902","15.863","22.675","12.723","21.626","157.998"
"27","Pro","Cedric Sbirrazzuoli","2","2:07.278","5:09.628","Red","Pit","3.253","9.118","12.428","3.817","0.490","14.646","22.323","14.807","19.401","7.915","19.080","167.672"
"43","LB Cup","Stephanie Cemo","2","2:24.037","5:15.527","Red","Pit","5.157","10.471","14.296","4.043","0.518","16.644","25.669","15.885","20.154","8.827","22.373","158.608"
"22","ProAm","Ryan Hardwick","3","2:39.145","6:47.658","Red","Pit","3.248","9.184","14.441","4.980","0.672","17.442","28.100","19.478","26.181","14.344","21.075","122.261"
