"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"77","DPi","Tristan Nunez","15","1:36.771","40:22.180","Green","Track","5.155","9.053","4.980","10.301","7.229","1.831","0.531","8.624","18.270","18.129","7.341","5.327","154.083"
"48","GTD","Bryan Sellers","11","3:48.864","40:30.473","Green","Pit","5.622","9.230","5.471","11.206","8.011","2.036","0.602","9.814","21.946","20.421","9.183","125.322","135.911"
"54","DPi","Jonathan Bennett","14","1:48.206","40:32.809","Green","Track","5.265","9.390","5.765","11.023","7.675","2.269","0.678","10.335","20.964","20.507","7.954","6.381","120.676"
"66","GTLM","Sebastien Bourdais","13","1:43.743","40:32.928","Green","Track","4.841","8.626","5.086","10.672","7.848","1.986","0.537","9.550","20.334","20.568","7.834","5.861","152.362"
"74","GTD","Gar Robinson V","14","1:45.389","40:36.072","Green","Track","5.131","9.430","5.126","11.023","8.157","2.061","0.555","9.086","20.145","20.998","7.697","5.980","147.420"
"14","GTD","Richard Heistand","15","1:55.495","40:40.386","Green","Track","5.810","10.015","5.352","11.117","8.245","2.053","0.577","9.873","20.390","27.114","8.918","6.031","141.799"
"86","GTD","Mario Farnbacher","15","1:43.721","40:41.536","Green","Track","5.232","9.399","5.352","11.060","8.108","2.031","0.546","9.354","19.767","19.406","7.438","6.028","149.850"
"33","GTD","Ben Keating","13","1:44.078","40:45.012","Green","Track","4.883","9.324","5.032","0.000","0.000","2.060","0.553","9.447","19.880","20.137","7.840","5.795","147.953"
"73","GTD","Marco Seefried","15","1:44.421","40:52.690","Green","Track","5.129","9.124","5.242","10.936","8.012","2.040","0.570","9.844","20.107","20.005","7.447","5.965","143.541"
"84","DPi","Simon Trummer","13","1:43.634","40:53.001","Green","Track","5.121","8.883","5.553","10.680","7.536","1.891","0.566","10.322","19.779","20.066","7.471","5.766","144.555"
"76","GTD","Matt Plumb","13","1:45.939","40:54.836","Green","Track","5.091","8.940","5.287","11.296","8.309","2.059","0.556","9.994","19.692","20.778","7.833","6.104","147.155"
"7","DPi","Helio Castroneves","11","1:45.368","41:01.064","Green","Pit","4.690","9.340","4.857","10.828","7.385","1.818","0.517","8.828","18.506","18.991","8.581","11.027","158.256"
"96","GTD","Robby Foley","15","1:47.463","41:02.394","Green","Track","5.170","9.552","6.239","10.947","8.108","2.024","0.606","9.370","20.576","21.296","7.746","5.829","135.014"
"63","GTD","Cooper MacNeil","14","1:50.361","41:03.228","Green","Track","5.241","10.284","5.447","11.199","8.168","2.143","0.654","10.042","21.045","22.177","8.055","5.906","125.104"
"5","DPi","Filipe Albuquerque","5","1:45.372","41:07.408","Green","Track","4.632","8.129","4.728","10.108","7.127","1.847","0.566","9.131","19.568","19.860","8.801","0.000","144.555"
"12","GTD","Frank Montecalvo","14","3:24.129","41:33.500","Green","Track","103.442","12.092","5.089","10.861","8.171","2.054","0.554","9.079","19.458","19.483","7.746","6.100","147.686"
"50","DPi","Kyle Kaiser","10","1:39.447","41:41.288","Green","Track","5.339","9.321","5.067","10.614","7.289","1.867","0.586","9.154","19.023","18.350","7.303","5.534","139.621"
"44","GTD","Andy Lally","6","1:49.379","41:41.845","Green","Pit","4.841","8.950","5.043","10.588","8.071","2.045","0.572","9.371","20.022","20.288","8.639","10.949","143.039"
"25","GTLM","Connor De Phillippi","14","1:40.532","41:48.235","Green","Track","4.897","9.265","5.125","10.724","7.886","1.992","0.535","8.954","18.980","19.046","7.554","5.574","152.931"
"6","DPi","Juan Pablo Montoya","17","1:44.777","41:53.599","Green","Pit","4.415","8.532","4.840","10.435","7.283","1.814","0.515","9.098","18.476","19.450","8.901","11.018","158.870"
"85","DPi","Misha Goikhberg","16","1:39.640","41:53.919","Green","Track","4.793","8.683","5.116","10.740","7.396","1.882","0.527","8.681","18.487","20.464","7.167","5.704","155.253"
"24","GTLM","Jesse Krohn","14","1:39.179","41:55.920","Green","Track","4.757","8.519","4.973","10.480","7.852","1.983","0.567","8.931","19.600","18.641","7.425","5.451","144.300"
"55","DPi","Ryan Hunter-Reay","14","1:35.865","41:57.245","Green","Track","4.398","8.007","4.652","10.021","7.150","1.801","0.499","8.590","19.282","18.866","7.384","5.215","163.964"
"77","DPi","Tristan Nunez","16","1:35.723","41:57.903","Green","Track","4.462","7.855","4.870","10.049","7.144","1.809","0.523","8.493","18.750","19.202","7.293","5.273","156.440"
"57","GTD","Katherine Legge","14","1:55.153","42:08.230","Green","Pit","5.086","9.135","5.198","10.866","8.105","2.046","0.602","9.990","21.381","21.597","10.023","11.124","135.911"
"66","GTLM","Sebastien Bourdais","14","1:38.901","42:11.829","Green","Track","4.893","8.599","4.976","10.350","7.803","1.988","0.532","8.647","19.004","19.059","7.353","5.697","153.794"
"54","DPi","Jonathan Bennett","15","1:44.675","42:17.484","Green","Track","5.376","9.182","5.145","10.685","7.053","1.954","0.607","9.596","20.318","20.430","7.726","6.603","134.791"
"74","GTD","Gar Robinson V","15","1:45.076","42:21.148","Green","Track","5.014","9.608","5.227","11.048","8.143","2.066","0.556","9.340","20.017","20.447","7.633","5.977","147.155"
"14","GTD","Richard Heistand","16","1:42.594","42:22.980","Green","Track","5.133","9.175","5.049","10.890","8.076","2.045","0.548","9.070","19.303","19.629","7.684","5.992","149.303"
