"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"85","DPi","Tristan Vautier","1","1:55.144","1:55.144","Green","Track","868.455","12.457","7.065","11.540","8.574","2.112","0.616","9.503","20.842","19.289","7.455","5.850","132.822"
"55","DPi","Ryan Hunter-Reay","1","2:05.635","2:05.635","Green","Track","859.630","12.027","6.179","11.644","7.790","1.907","0.607","9.681","20.210","20.479","7.355","5.925","134.791"
"77","DPi","Oliver Jarvis","1","2:09.526","2:09.526","Green","Track","860.871","13.664","6.784","12.647","8.779","2.207","0.704","10.196","21.709","22.117","9.031","7.341","116.219"
"84","DPi","Stephen Simpson","1","2:14.653","2:14.653","Green","Track","832.336","11.603","6.856","11.937","9.719","2.543","0.777","10.516","21.385","22.204","7.264","6.229","105.300"
"10","DPi","Jordan Taylor","1","2:17.251","2:17.251","Green","Track","738.836","12.730","7.205","11.996","10.462","2.808","0.909","11.573","20.597","20.147","7.504","5.942","90.009"
"52","LMP2","Matthew McMurry","1","2:19.113","2:19.113","Green","Track","599.772","13.037","6.814","13.213","9.831","2.342","0.812","11.205","21.013","20.603","7.498","6.241","100.761"
"96","GTD","Bill Auberlen","1","2:20.154","2:20.154","Green","Track","464.504","13.419","6.087","12.532","9.957","2.265","0.678","10.486","21.226","20.281","7.309","6.428","120.676"
"911","GTLM","Nick Tandy","1","2:21.702","2:21.702","Green","Track","586.693","13.345","11.240","13.633","10.170","2.545","0.729","10.637","19.504","18.932","7.042","5.660","112.233"
"5","DPi","Filipe Albuquerque","1","2:25.733","2:25.733","Green","Track","921.213","12.292","5.857","11.614","8.561","2.272","0.751","10.512","19.629","19.407","7.156","5.196","108.946"
"912","GTLM","Earl Bamber","1","2:28.622","2:28.622","Green","Track","709.948","11.742","6.127","11.932","9.176","2.372","0.730","10.458","21.024","19.466","6.922","5.362","112.080"
"19","GTD","Alex Riberas","1","2:30.268","2:30.268","Green","Track","387.192","14.078","7.993","13.235","10.748","2.886","0.886","11.351","21.849","20.560","8.077","6.116","92.346"
"44","GTD","Andy Lally","1","2:30.778","2:30.778","Green","Track","376.805","11.221","6.265","11.585","8.828","2.176","0.639","10.145","19.770","19.358","7.467","5.534","128.041"
"12","GTD","Townsend Bell","1","2:30.906","2:30.906","Green","Track","865.258","11.278","6.263","11.419","8.598","2.385","0.722","10.359","20.931","20.959","7.540","6.096","113.322"
"38","LMP2","Kyle Masson","1","2:32.228","2:32.228","Green","Track","195.620","13.859","8.019","12.636","9.776","2.778","0.960","12.245","20.676","20.689","7.488","5.984","85.227"
"31","DPi","Felipe Nasr","1","2:33.786","2:33.786","Green","Track","935.973","12.992","7.780","12.688","10.163","2.341","0.666","10.915","21.080","20.632","7.371","5.623","122.850"
"3","GTLM","Jan Magnussen","1","2:35.953","2:35.953","Green","Track","923.405","12.566","7.256","12.427","9.885","2.528","0.800","10.618","20.255","19.609","7.319","5.781","102.273"
"6","DPi","Dane Cameron","1","2:36.447","2:36.447","Green","Track","932.656","12.307","7.194","12.228","7.825","2.145","0.661","9.853","20.025","19.558","7.522","5.296","123.779"
"4","GTLM","Tommy Milner","1","2:37.365","2:37.365","Green","Track","923.939","13.282","6.217","12.035","9.338","2.370","0.735","10.731","20.340","19.402","7.367","5.738","111.317"
"33","GTD","Jeroen Bleekemolen","1","2:38.406","2:38.406","Green","Track","795.313","12.957","6.316","0.000","0.000","2.202","0.661","10.043","20.494","19.715","7.596","5.617","123.779"
"57","GTD","Katherine Legge","1","2:40.051","2:40.051","Green","Track","776.355","11.878","6.425","12.205","9.939","2.295","0.673","10.252","19.856","19.428","7.671","5.655","121.572"
"73","GTD","Patrick Long","1","2:42.349","2:42.349","Green","Track","17.079","11.529","6.027","12.059","8.655","2.203","0.685","10.081","19.868","19.584","7.369","5.586","119.443"
"14","GTD","Jack Hawksworth","1","2:43.284","2:43.284","Green","Track","917.091","14.107","7.024","13.753","11.022","2.613","0.828","11.100","21.615","19.490","7.209","5.758","98.814"
"66","GTLM","Dirk Mueller","1","2:44.617","2:44.617","Green","Track","600.609","13.094","6.899","12.726","9.953","2.422","0.703","10.671","20.396","19.274","7.390","5.801","116.384"
"25","GTLM","Tom Blomqvist","1","2:45.813","2:45.813","Green","Track","18.368","12.669","7.310","13.112","9.859","2.405","0.769","10.268","20.393","19.260","7.379","6.197","106.396"
"24","GTLM","John Edwards","1","2:47.969","2:47.969","Green","Track","16.977","13.118","6.370","12.948","9.927","2.476","0.778","10.602","19.955","20.905","8.117","5.553","105.165"
"54","DPi","Colin Braun","1","2:48.191","2:48.191","Green","Pit","923.794","12.470","7.458","12.721","9.261","2.338","0.725","10.393","20.419","19.750","8.735","10.892","112.853"
"50","DPi","Kyle Kaiser","1","2:49.765","2:49.765","Green","Track","18.293","12.483","7.007","12.277","9.234","2.539","0.780","10.987","20.867","19.071","7.500","5.740","104.895"
"63","GTD","Toni Vilander","1","2:50.947","2:50.947","Green","Track","17.569","12.821","7.081","12.220","9.731","2.545","0.763","10.795","20.989","20.565","7.641","5.840","107.232"
"48","GTD","Bryan Sellers","1","2:51.119","2:51.119","Green","Track","19.784","11.201","6.019","12.316","9.083","2.305","0.626","10.181","20.642","19.421","7.585","5.527","130.700"
"8","GTD","Ryan Dalziel","1","2:52.550","2:52.550","Green","Track","18.423","13.181","6.608","0.000","0.000","2.400","0.727","11.143","20.949","19.820","7.358","5.725","112.542"
"9","GTD","Scott Hargrove","1","2:54.565","2:54.565","Green","Track","18.238","12.746","6.847","13.430","9.421","2.351","0.748","11.141","20.696","19.809","7.070","6.119","109.383"
"74","GTD","Gar Robinson V","1","3:01.676","3:01.676","Green","Track","20.950","14.068","6.937","12.689","9.764","2.508","0.785","11.310","21.260","20.378","7.299","6.030","104.227"
"76","GTD","Paul Holton","1","3:02.420","3:02.420","Green","Track","20.512","12.971","6.970","13.031","9.362","2.393","0.819","11.068","21.369","20.568","7.226","6.036","99.900"
"67","GTLM","Richard Westbrook","1","3:16.640","3:16.640","Green","Track","702.484","13.685","6.408","13.001","8.962","2.202","0.673","10.570","20.871","19.691","6.914","5.860","121.572"
"7","DPi","Helio Castroneves","1","3:16.851","3:16.851","Green","Pit","884.336","15.726","8.295","12.943","9.354","2.304","0.796","11.825","20.945","21.594","10.157","11.061","102.787"
"86","GTD","Mario Farnbacher","1","3:23.186","3:23.186","Green","Track","776.906","12.779","6.389","12.494","8.746","2.299","0.706","9.967","19.823","19.221","6.807","5.542","115.890"
"85","DPi","Tristan Vautier","2","1:37.434","3:32.578","Green","Track","5.192","8.833","5.220","10.781","8.009","1.926","0.532","8.924","18.680","17.248","6.940","5.149","153.794"
"55","DPi","Ryan Hunter-Reay","2","1:35.790","3:41.425","Green","Track","4.724","8.412","5.030","10.938","7.731","1.833","0.521","8.478","18.517","17.396","6.870","5.340","157.041"
"77","DPi","Oliver Jarvis","2","1:42.823","3:52.349","Green","Track","5.295","8.906","5.418","11.432","7.850","2.024","0.623","9.726","19.721","18.795","7.400","5.633","131.329"
"84","DPi","Stephen Simpson","2","1:43.522","3:58.175","Green","Track","5.731","9.905","5.442","11.052","8.029","2.068","0.672","9.848","19.585","19.052","6.755","5.383","121.753"
"10","DPi","Jordan Taylor","2","1:41.247","3:58.498","Green","Track","5.643","9.248","5.902","10.748","8.682","2.480","0.776","10.003","18.130","17.631","6.832","5.172","105.436"
"911","GTLM","Nick Tandy","2","1:40.261","4:01.963","Green","Track","5.029","8.568","5.363","11.976","8.420","2.081","0.633","9.126","18.668","18.141","6.874","5.382","129.255"
"5","DPi","Filipe Albuquerque","2","1:36.399","4:02.132","Green","Track","4.713","8.169","5.324","10.721","7.628","1.885","0.582","9.260","18.143","17.940","6.847","5.187","140.581"
"912","GTLM","Earl Bamber","2","1:35.094","4:03.716","Green","Track","4.710","8.319","4.981","10.282","8.032","1.994","0.565","8.745","18.380","17.800","6.342","4.944","144.811"
"96","GTD","Bill Auberlen","2","1:47.432","4:07.586","Green","Track","5.277","9.548","5.941","12.387","8.714","2.039","0.624","10.102","20.466","19.302","7.178","5.854","131.119"
"44","GTD","Andy Lally","2","1:38.532","4:09.310","Green","Track","5.025","8.937","5.156","10.328","8.361","2.064","0.565","8.894","18.756","18.398","6.776","5.272","144.811"
"52","LMP2","Matthew McMurry","2","1:54.102","4:13.215","Green","Pit","5.508","9.531","6.151","12.036","8.943","2.133","0.661","10.259","19.695","19.351","8.776","11.058","123.779"
"3","GTLM","Jan Magnussen","2","1:41.745","4:17.698","Green","Track","5.143","9.014","5.621","10.989","8.568","2.173","0.680","9.577","19.271","18.551","6.683","5.475","120.321"
"31","DPi","Felipe Nasr","2","1:44.842","4:18.628","Green","Pit","5.070","8.421","5.983","10.976","8.357","1.938","0.539","8.208","18.087","17.729","8.511","11.023","151.796"
"4","GTLM","Tommy Milner","2","1:41.492","4:18.857","Green","Track","5.044","8.748","5.464","10.896","8.685","2.111","0.647","9.925","18.970","18.550","7.084","5.368","126.458"
"6","DPi","Dane Cameron","2","1:43.307","4:19.754","Green","Pit","4.900","8.614","4.931","10.994","7.533","1.902","0.569","9.214","17.922","17.512","8.058","11.158","143.793"
"33","GTD","Jeroen Bleekemolen","2","1:42.025","4:20.431","Green","Track","4.841","8.605","5.130","0.000","0.000","2.074","0.590","9.771","19.880","19.006","6.881","5.452","138.675"
"19","GTD","Alex Riberas","2","1:50.592","4:20.860","Green","Track","5.229","9.106","7.559","11.671","9.653","2.645","0.735","10.302","19.366","21.098","7.227","6.001","111.317"
"38","LMP2","Kyle Masson","2","1:49.206","4:21.434","Green","Track","5.530","8.961","6.527","12.633","8.606","2.434","0.846","10.726","20.059","19.420","7.559","5.905","96.712"
"73","GTD","Patrick Long","2","1:39.284","4:21.633","Green","Track","4.793","8.706","4.810","10.540","8.450","2.070","0.555","8.857","18.891","18.657","7.303","5.652","147.420"
"66","GTLM","Dirk Mueller","2","1:41.556","4:26.173","Red","Track","4.941","8.933","5.278","11.114","8.414","2.074","0.630","9.691","19.274","18.631","6.895","5.681","129.870"
"24","GTLM","John Edwards","2","1:38.348","4:26.317","Red","Track","4.592","8.404","5.224","10.642","8.769","2.050","0.594","8.844","19.184","17.743","6.877","5.425","137.741"
"25","GTLM","Tom Blomqvist","2","1:42.087","4:27.900","Red","Track","5.370","9.222","5.446","10.323","8.399","2.055","0.624","9.386","20.200","18.866","6.694","5.502","131.119"
"50","DPi","Kyle Kaiser","2","1:38.847","4:28.612","Red","Track","4.894","8.358","4.910","10.487","7.907","2.018","0.620","9.234","18.858","19.038","6.949","5.574","131.965"
"48","GTD","Bryan Sellers","2","1:37.788","4:28.907","Red","Track","4.870","8.722","5.003","10.721","8.422","2.055","0.550","9.062","18.322","17.870","6.805","5.386","148.760"
"14","GTD","Jack Hawksworth","2","1:46.446","4:29.730","Red","Pit","4.813","8.463","4.783","10.455","8.559","2.060","0.552","8.710","19.327","18.722","8.748","11.254","148.221"
"8","GTD","Ryan Dalziel","2","1:39.059","4:31.609","Red","Track","5.155","8.966","5.177","0.000","0.000","2.049","0.569","8.922","18.698","18.215","7.003","5.346","143.793"
"57","GTD","Katherine Legge","2","1:52.452","4:32.503","Red","Pit","4.958","8.713","4.930","10.808","8.550","2.039","0.563","9.215","20.808","20.265","10.353","11.250","145.325"
"9","GTD","Scott Hargrove","2","1:54.140","4:48.705","Red","Pit","5.364","8.893","5.222","11.311","9.437","2.123","0.593","9.399","18.434","17.533","10.146","15.685","137.973"
"67","GTLM","Richard Westbrook","2","1:46.971","5:03.611","Red","Pit","5.020","9.105","5.235","10.775","8.445","2.044","0.589","9.212","18.518","18.189","8.640","11.199","138.910"
"86","GTD","Mario Farnbacher","2","1:43.731","5:06.917","Red","Pit","5.130","8.972","4.883","10.964","8.298","2.038","0.548","8.482","17.707","17.689","7.844","11.176","149.303"
"85","DPi","Tristan Vautier","3","1:43.813","5:16.391","Red","Pit","4.593","7.818","4.663","9.971","7.707","1.881","0.506","8.294","18.959","18.396","9.830","11.195","161.696"
"54","DPi","Colin Braun","2","2:34.825","5:23.016","Red","Pit","45.072","11.920","6.141","12.282","8.163","2.213","0.767","10.094","19.827","19.119","8.321","10.906","106.673"
"77","DPi","Oliver Jarvis","3","1:55.472","5:47.821","Red","Pit","4.843","8.172","5.198","10.654","7.497","2.197","0.704","11.034","22.199","20.993","10.386","11.595","116.219"
