"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"84","DPi","Stephen Simpson","8","2:54.452","19:11.223","Green","Track","78.666","8.538","11.390","3.569","0.458","13.303","20.398","13.185","16.640","5.251","3.054","179.387"
"3","GTLM","Antonio Garcia","10","2:45.850","19:14.632","Green","Track","61.452","10.170","13.258","3.863","0.508","14.576","21.486","14.025","17.564","5.634","3.314","161.730"
"54","DPi","Romain Dumas","9","1:50.825","19:15.512","Green","Track","14.263","8.440","11.485","3.453","0.467","13.373","20.196","12.793","17.445","5.853","3.057","175.930"
"4","GTLM","Oliver Gavin","10","1:44.002","19:15.520","Green","Track","3.193","8.415","12.065","3.761","0.484","13.944","21.171","14.031","17.541","6.025","3.372","169.750"
"7","DPi","Helio Castroneves","10","1:35.799","19:15.726","Green","Track","2.885","7.671","10.930","3.458","0.472","13.181","19.889","12.771","15.982","5.514","3.046","174.066"
"8","GTD","Mike Skeen","8","2:04.749","19:16.151","Green","Track","14.447","9.614","13.341","4.646","0.579","15.075","23.619","14.859","18.547","6.444","3.578","141.898"
"24","GTLM","Jesse Krohn","10","1:55.603","19:16.171","Green","Pit","3.214","8.477","12.167","3.810","0.490","13.367","21.192","13.966","17.260","9.410","12.250","167.672"
"911","GTLM","Patrick Pilet","9","1:45.735","19:19.638","Green","Track","3.235","8.564","12.211","3.802","0.488","13.349","21.353","14.069","19.425","5.873","3.366","168.359"
"48","GTD","Bryan Sellers","9","1:46.849","19:22.752","Green","Track","3.317","8.692","12.534","3.895","0.502","14.150","22.049","14.660","17.677","5.922","3.451","163.664"
"31","DPi","Pipo Derani","11","1:45.278","19:47.287","Green","Pit","2.913","7.813","11.034","3.457","0.446","11.568","18.787","12.665","15.362","8.878","12.355","184.213"
"10","DPi","Jordan Taylor","10","1:34.714","19:56.608","Green","Track","2.928","7.645","11.088","3.484","0.449","11.585","19.277","12.744","16.358","5.983","3.173","182.982"
"5","DPi","Joao Barbosa","11","1:48.858","20:04.412","Finish","Pit","2.915","7.731","10.998","3.439","0.443","12.236","19.576","13.008","15.936","10.200","12.376","185.461"
"77","DPi","Timo Bernhard","9","1:31.438","20:07.522","Finish","Track","2.954","7.691","10.904","3.466","0.448","11.526","18.694","12.397","15.382","5.010","2.966","183.391"
"6","DPi","Juan Pablo Montoya","10","2:54.717","20:11.865","Finish","Track","84.824","8.385","11.170","3.465","0.448","11.915","18.890","12.570","15.293","4.811","2.946","183.391"
"50","DPi","Will Owen","11","1:34.453","20:18.170","Finish","Track","3.007","7.774","11.170","3.508","0.453","12.205","19.815","12.826","15.711","4.957","3.027","181.367"
"44","GTD","Andy Lally","8","1:47.991","20:24.729","Finish","Track","3.383","8.949","12.697","3.975","0.511","14.150","22.265","14.581","17.912","6.063","3.505","160.781"
"85","DPi","Tristan Vautier","5","1:33.344","20:26.944","Finish","Track","2.950","7.759","11.145","3.505","0.453","12.426","19.041","12.647","15.398","4.992","3.028","181.367"
"29","GTD","Christopher Mies","9","1:46.494","20:35.892","Finish","Track","3.311","8.788","12.660","3.938","0.504","13.944","21.797","14.393","17.892","5.820","3.447","163.014"
"912","GTLM","Earl Bamber","11","1:56.058","20:37.704","Finish","Pit","3.240","8.556","12.264","3.835","0.495","13.430","21.116","14.032","17.213","9.656","12.221","165.978"
"9","GTD","Scott Hargrove","9","1:46.798","20:45.315","Finish","Track","3.332","8.814","12.554","3.942","0.508","14.204","21.850","14.357","17.865","5.916","3.456","161.730"
"55","DPi","Harry Tincknell","9","1:46.824","20:46.508","Finish","Track","14.247","8.613","11.043","3.419","0.442","12.681","19.247","12.962","16.359","4.892","2.919","185.880"
"57","GTD","Katherine Legge","10","1:48.783","20:48.660","Finish","Track","3.317","8.853","12.571","3.928","0.506","15.760","22.076","14.339","17.809","6.151","3.473","162.370"
"84","DPi","Stephen Simpson","9","1:38.749","20:49.972","Finish","Track","2.989","8.013","11.277","3.522","0.463","13.231","20.615","13.208","16.626","5.633","3.172","177.449"
"73","GTD","Patrick Lindsey","9","1:48.989","20:50.101","Finish","Track","3.347","8.842","12.605","3.918","0.504","14.825","22.393","14.670","18.084","6.244","3.557","163.014"
"86","GTD","Mario Farnbacher","4","2:28.382","20:50.164","Finish","Track","42.763","9.552","12.922","3.985","0.513","14.444","22.127","14.733","17.917","5.966","3.460","160.154"
"54","DPi","Romain Dumas","10","1:36.946","20:52.458","Finish","Track","2.928","7.879","10.793","3.402","0.443","12.476","20.833","12.742","17.237","5.220","2.993","185.461"
"7","DPi","Helio Castroneves","11","1:38.297","20:54.023","Finish","Track","3.003","8.165","11.009","3.434","0.459","12.135","20.701","12.908","17.792","5.620","3.071","178.996"
"38","LMP2","Cameron Cassels","10","1:44.929","20:56.174","Finish","Track","3.223","8.640","11.554","3.608","0.519","14.074","22.672","13.778","18.061","5.640","3.160","158.303"
"540","GTD","Dirk Werner","9","1:47.317","20:56.081","Finish","Track","3.376","8.983","12.648","3.967","0.509","14.140","21.996","14.450","17.843","5.922","3.483","161.413"
"3","GTLM","Antonio Garcia","11","1:42.407","20:57.039","Finish","Track","3.198","8.477","12.229","3.768","0.485","13.316","20.976","13.941","17.142","5.569","3.306","169.400"
"4","GTLM","Oliver Gavin","11","1:42.343","20:57.863","Finish","Track","3.254","8.730","12.025","3.739","0.482","13.105","21.086","13.925","17.133","5.569","3.295","170.455"
"14","GTD","Jack Hawksworth","10","1:59.469","21:04.010","Finish","Pit","3.283","8.716","12.500","3.874","0.497","13.764","21.958","14.402","18.154","10.124","12.197","165.310"
"8","GTD","Mike Skeen","9","1:48.596","21:04.747","Finish","Track","3.419","9.145","12.850","4.000","0.515","14.316","22.169","14.670","18.016","5.980","3.516","159.532"
"48","GTD","Bryan Sellers","10","1:46.873","21:09.625","Finish","Track","3.302","8.594","12.549","3.901","0.502","14.351","22.184","14.407","17.709","5.927","3.447","163.664"
"911","GTLM","Patrick Pilet","10","2:01.455","21:21.093","Finish","Pit","3.236","8.531","12.674","5.475","0.751","15.219","21.745","14.227","17.639","9.711","12.247","109.400"
"12","GTD","Frank Montecalvo","8","2:45.799","21:38.581","Finish","Track","56.891","10.567","13.771","4.037","0.516","14.825","22.883","14.746","18.032","6.027","3.504","159.223"
"10","DPi","Jordan Taylor","11","1:47.446","21:44.054","Finish","Pit","3.011","7.691","11.075","3.478","0.448","11.702","19.813","12.699","15.741","9.686","12.102","183.391"
