"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"31","DPi","Pipo Derani","1","1:31.330","1:31.330","Green","Track","0.000","0.000","0.000","0.000","13.074","8.329","6.629","4.291","12.493","18.136","1.618","4.993","0.000"
"10","DPi","Renger Van Der Zande","1","1:34.936","1:34.936","Green","Track","0.000","0.000","0.000","0.000","12.969","8.282","7.012","4.468","12.785","17.954","1.607","4.990","0.000"
"84","DPi","Simon Trummer","1","1:36.093","1:36.093","Green","Track","0.000","0.000","0.000","0.000","13.130","8.410","6.887","4.353","12.455","18.488","1.576","5.044","0.000"
"911","GTLM","Patrick Pilet","1","1:37.966","1:37.966","Green","Track","0.000","0.000","0.000","0.000","13.428","8.628","6.685","4.416","12.691","18.467","1.703","5.405","0.000"
"77","DPi","Tristan Nunez","1","1:40.773","1:40.773","Green","Track","0.000","0.000","0.000","0.000","13.836","8.400","6.443","4.584","11.902","18.889","1.671","4.963","0.000"
"912","GTLM","Laurens Vanthoor","1","1:42.631","1:42.631","Green","Track","0.000","0.000","0.000","0.000","12.337","8.292","6.605","4.534","12.619","17.216","1.682","5.389","0.000"
"5","DPi","Filipe Albuquerque","1","1:43.219","1:43.219","Green","Track","0.000","0.000","0.000","0.000","12.214","8.002","6.639","4.451","12.157","17.320","1.627","4.998","0.000"
"25","GTLM","Connor De Phillippi","1","1:50.233","1:50.233","Green","Track","0.000","0.000","0.000","0.000","12.870","8.611","6.517","4.595","12.970","19.859","1.718","5.435","0.000"
"7","DPi","Helio Castroneves","1","1:51.374","1:51.374","Green","Pit","0.000","0.000","0.000","0.000","13.669","8.450","6.984","4.686","12.379","18.696","3.730","14.856","0.000"
"3","GTLM","Antonio Garcia","1","1:51.879","1:51.879","Green","Track","0.000","0.000","0.000","0.000","13.105","8.822","6.369","4.635","12.821","18.116","1.753","5.431","0.000"
"6","DPi","Dane Cameron","1","1:52.081","1:52.081","Green","Pit","0.000","0.000","0.000","0.000","13.879","8.221","7.009","4.951","12.019","18.707","3.889","14.825","0.000"
"4","GTLM","Oliver Gavin","1","1:54.836","1:54.836","Green","Track","0.000","0.000","0.000","0.000","13.211","8.918","6.539","4.615","12.617","19.034","1.762","5.443","0.000"
"67","GTLM","Richard Westbrook","1","1:58.167","1:58.167","Green","Track","0.000","0.000","0.000","0.000","13.142","8.830","6.534","4.889","12.877","18.215","1.733","5.496","0.000"
"55","DPi","Jonathan Bomarito","1","2:09.546","2:09.546","Green","Track","0.000","0.000","0.000","0.000","13.272","8.416","6.933","4.399","11.868","17.350","1.629","4.869","0.000"
"54","DPi","Colin Braun","1","2:25.469","2:25.469","Green","Track","0.000","0.000","0.000","0.000","13.727","8.814","6.580","4.581","11.890","17.920","1.643","4.938","0.000"
"66","GTLM","Dirk Mueller","1","2:42.862","2:42.862","Green","Track","0.000","0.000","0.000","0.000","12.737","8.635","6.238","4.584","12.420","17.685","1.739","5.489","0.000"
"31","DPi","Pipo Derani","2","1:16.198","2:47.528","Green","Track","0.587","6.563","3.092","4.214","11.201","7.438","5.751","3.960","11.045","15.847","1.563","4.937","140.545"
"10","DPi","Renger Van Der Zande","2","1:18.027","2:52.963","Green","Track","0.586","6.555","3.188","4.274","11.396","7.680","5.897","4.178","11.546","16.197","1.579","4.951","140.785"
"84","DPi","Simon Trummer","2","1:18.532","2:54.625","Green","Track","0.604","6.676","3.236","4.273","11.350","7.621","5.910","4.190","11.781","16.391","1.557","4.943","136.589"
