"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"911","GTLM","Patrick Pilet","1","2:22.310","2:22.310","Green","Track","0.000","12.816","8.349","12.985","11.455","4.164","1.007","12.969","24.038","24.383","9.530","6.527","81.249"
"912","GTLM","Earl Bamber","1","2:28.764","2:28.764","Green","Pit","0.000","13.885","8.093","12.742","10.061","3.866","1.028","13.096","23.607","25.218","9.976","10.925","79.590"
"7","DPi","Ricky Taylor","1","2:31.808","2:31.808","Green","Pit","0.000","14.225","8.466","13.728","10.157","3.355","1.052","13.720","23.256","24.701","9.966","11.359","77.774"
"6","DPi","Dane Cameron","1","2:32.755","2:32.755","Green","Pit","0.000","13.372","8.015","13.159","10.226","3.233","0.942","12.068","22.478","22.900","9.856","11.266","86.856"
"4","GTLM","Tommy Milner","1","2:38.062","2:38.062","Green","Pit","0.000","13.924","8.890","13.496","10.177","3.225","0.977","13.781","23.878","23.570","8.735","10.799","83.744"
"3","GTLM","Jan Magnussen","1","3:15.652","3:15.652","Green","Pit","0.000","14.759","9.159","14.124","11.202","3.421","1.025","13.096","24.642","23.921","9.801","10.777","79.823"
"911","GTLM","Patrick Pilet","2","2:04.114","4:26.424","Green","Track","6.145","11.262","7.204","12.501","9.918","3.275","0.815","12.640","22.843","22.364","8.793","6.354","100.390"
"911","GTLM","Patrick Pilet","3","1:57.051","6:23.475","Green","Track","5.553","10.587","6.684","11.904","8.863","2.857","0.753","11.623","22.128","21.652","8.312","6.135","108.656"
"912","GTLM","Earl Bamber","2","3:56.959","6:25.723","Green","Track","128.524","11.233","5.907","11.301","8.288","2.557","0.714","11.097","22.415","21.007","7.806","6.110","114.591"
"3","GTLM","Jan Magnussen","2","3:55.441","7:11.093","Green","Track","117.650","13.614","7.458","12.359","9.226","2.757","0.826","11.533","23.157","22.258","8.097","6.506","99.053"
"7","DPi","Ricky Taylor","2","5:03.665","7:35.473","Green","Track","185.774","13.460","7.887","13.183","9.248","2.600","0.842","12.530","22.024","21.653","8.032","6.432","97.171"
"6","DPi","Dane Cameron","2","5:26.264","7:59.019","Green","Track","217.724","12.834","7.271","11.641","8.171","2.532","0.735","10.538","20.781","20.540","7.471","6.026","111.317"
"912","GTLM","Earl Bamber","3","1:51.416","8:17.139","Green","Track","5.167","9.947","5.531","11.386","8.507","2.668","0.747","11.501","22.236","20.235","7.642","5.849","109.529"
"911","GTLM","Patrick Pilet","4","1:57.178","8:20.653","Green","Track","5.600","10.312","6.094","11.585","8.691","2.762","0.746","11.212","24.265","21.306","8.570","6.035","109.676"
"3","GTLM","Jan Magnussen","3","1:56.330","9:07.423","Green","Track","6.046","10.741","6.420","11.392","8.672","2.719","0.868","11.550","22.106","21.600","7.958","6.258","94.261"
"7","DPi","Ricky Taylor","3","1:52.349","9:27.822","Green","Track","5.585","10.289","6.270","12.015","7.856","2.306","0.756","10.977","21.014","21.294","7.895","6.092","108.225"
"6","DPi","Dane Cameron","3","1:48.940","9:47.959","Green","Track","5.300","9.895","5.889","11.359","8.030","2.201","0.651","10.263","20.851","20.657","7.463","6.381","125.681"
"912","GTLM","Earl Bamber","4","1:47.890","10:05.029","Green","Track","5.220","9.500","5.615","11.217","8.166","2.448","0.701","10.922","20.691","19.983","7.519","5.908","116.716"
"911","GTLM","Patrick Pilet","5","1:54.023","10:14.676","Green","Track","5.623","10.247","5.990","11.713","8.533","2.635","0.681","11.234","21.800","21.044","8.354","6.169","120.144"
"3","GTLM","Jan Magnussen","4","1:55.261","11:02.684","Green","Track","5.504","10.480","6.548","11.588","8.763","2.652","0.807","11.189","21.813","21.623","7.985","6.309","101.386"
"7","DPi","Ricky Taylor","4","1:47.929","11:15.751","Green","Track","5.442","9.874","5.658","11.270","7.932","2.292","0.737","10.678","20.541","20.005","7.537","5.963","111.015"
"4","GTLM","Tommy Milner","2","8:55.350","11:33.412","Green","Track","423.310","13.834","6.674","12.099","8.544","2.552","0.780","11.137","21.324","20.917","7.901","6.278","104.895"
"6","DPi","Dane Cameron","4","1:47.170","11:35.129","Green","Track","5.582","9.591","5.701","11.041","7.554","2.156","0.655","10.227","20.643","20.499","7.492","6.029","124.913"
"912","GTLM","Earl Bamber","5","1:47.430","11:52.459","Green","Track","5.352","9.667","5.530","11.097","8.128","2.393","0.642","10.291","20.705","20.220","7.603","5.802","127.443"
"911","GTLM","Patrick Pilet","6","1:55.246","12:09.922","Green","Track","5.462","10.573","6.034","12.024","8.931","2.686","0.777","11.834","21.504","21.127","8.122","6.172","105.300"
"7","DPi","Ricky Taylor","5","1:47.715","13:03.466","Green","Track","5.105","9.813","5.528","11.187","7.859","2.162","0.673","10.105","20.096","21.436","7.674","6.077","121.572"
