"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"67","GTLM","Richard Westbrook","5","1:42.779","9:59.271","Green","Track","10.610","13.442","9.428","18.984","7.600","6.242","5.773","9.129","6.883","6.132","5.128","0.465","2.963","175.953"
"3","GTLM","Jan Magnussen","5","1:43.277","10:41.062","Green","Track","10.708","13.584","9.422","19.159","7.599","6.250","5.794","9.152","6.892","6.127","5.150","0.465","2.975","175.953"
"4","GTLM","Oliver Gavin","5","1:43.714","10:41.496","Green","Track","11.088","13.691","9.366","19.258","7.611","6.237","5.766","9.167","6.897","6.115","5.112","0.461","2.945","177.480"
"911","GTLM","Nick Tandy","2","1:45.438","10:51.580","Green","Track","11.166","13.916","9.615","19.712","7.609","6.259","5.794","9.739","6.940","6.139","5.133","0.462","2.954","177.096"
"62","GTLM","Davide Rigon","6","1:43.212","11:01.233","Green","Track","10.783","13.472","9.441","19.118","7.579","6.260","5.791","9.194","6.842","6.133","5.149","0.466","2.984","175.575"
"24","GTLM","John Edwards","5","1:43.784","11:17.981","Green","Track","10.871","13.662","9.478","19.483","7.600","6.264","5.809","9.089","6.831","6.124","5.141","0.465","2.967","175.953"
"912","GTLM","Earl Bamber","3","1:43.126","11:27.419","Green","Track","10.840","13.544","9.374","19.153","7.575","6.224","5.745","9.218","6.846","6.086","5.112","0.461","2.948","177.480"
"25","GTLM","Connor De Phillippi","5","1:43.319","11:30.350","Green","Track","10.831","13.597","9.407","19.234","7.615","6.252","5.768","9.051","6.887","6.137","5.121","0.462","2.957","177.096"
"66","GTLM","Joey Hand","6","1:43.119","11:36.440","Green","Track","10.723","13.498","9.464","19.061","7.593","6.277","5.772","9.172","6.884","6.125","5.124","0.465","2.961","175.953"
"67","GTLM","Richard Westbrook","6","1:42.928","11:42.199","Green","Track","10.637","13.422","9.387","19.046","7.599","6.242","5.773","9.208","6.925","6.141","5.125","0.464","2.959","176.332"
"3","GTLM","Jan Magnussen","6","1:43.189","12:24.251","Green","Track","10.811","13.573","9.365","19.217","7.594","6.259","5.785","9.062","6.850","6.108","5.131","0.464","2.970","176.332"
"4","GTLM","Oliver Gavin","6","1:43.193","12:24.689","Green","Track","10.816","13.590","9.342","19.309","7.616","6.227","5.762","9.100","6.845","6.092","5.092","0.460","2.942","177.866"
"911","GTLM","Nick Tandy","3","1:43.402","12:34.982","Green","Track","10.791","13.609","9.441","19.131","7.569","6.243","5.732","9.419","6.867","6.096","5.104","0.460","2.940","177.866"
"62","GTLM","Davide Rigon","7","1:43.094","12:44.327","Green","Track","10.860","13.460","9.439","19.094","7.609","6.264","5.784","9.047","6.830","6.126","5.133","0.465","2.983","175.953"
"24","GTLM","John Edwards","6","1:43.638","13:01.619","Green","Track","10.819","13.753","9.458","19.442","7.666","6.286","5.815","8.939","6.787","6.111","5.131","0.465","2.966","175.953"
"912","GTLM","Earl Bamber","4","1:43.056","13:10.475","Green","Track","10.747","13.460","9.371","19.220","7.645","6.251","5.747","9.198","6.825","6.081","5.110","0.462","2.939","177.096"
"25","GTLM","Connor De Phillippi","6","1:43.291","13:13.641","Green","Track","10.776","13.615","9.423","19.307","7.616","6.268","5.768","9.000","6.861","6.122","5.123","0.463","2.949","176.713"
"66","GTLM","Joey Hand","7","1:42.898","13:19.338","Green","Track","10.655","13.516","9.453","19.062","7.578","6.287","5.787","9.057","6.854","6.111","5.120","0.464","2.954","176.332"
"3","GTLM","Jan Magnussen","7","1:43.570","14:07.821","Green","Track","10.878","13.609","9.399","19.202","7.598","6.253","5.779","9.172","6.875","6.140","5.137","0.470","3.058","174.081"
"4","GTLM","Oliver Gavin","7","1:43.249","14:07.938","Green","Track","10.831","13.681","9.335","19.217","7.594","6.225","5.725","9.196","6.875","6.110","5.074","0.458","2.928","178.642"
"911","GTLM","Nick Tandy","4","1:43.051","14:18.033","Green","Track","10.814","13.504","9.412","19.041","7.558","6.213","5.735","9.217","6.911","6.161","5.091","0.459","2.935","178.253"
"62","GTLM","Davide Rigon","8","1:57.879","14:42.206","Green","Pit","10.801","13.512","9.459","19.245","7.604","6.261","5.790","9.102","6.850","6.135","9.577","0.000","0.000","0.000"
"24","GTLM","John Edwards","7","1:43.442","14:45.061","Green","Track","10.845","13.716","9.465","19.423","7.607","6.288","5.802","8.858","6.774","6.102","5.132","0.465","2.965","175.953"
"912","GTLM","Earl Bamber","5","1:43.303","14:53.778","Green","Track","10.814","13.531","9.404","19.323","7.608","6.245","5.741","9.182","6.848","6.084","5.110","0.461","2.952","177.480"
"66","GTLM","Joey Hand","8","1:43.252","15:02.590","Finish","Track","10.674","13.502","9.438","19.166","7.607","6.294","5.781","9.196","6.902","6.146","5.120","0.464","2.962","176.332"
"25","GTLM","Connor De Phillippi","7","1:58.229","15:11.870","Finish","Pit","11.188","13.865","9.480","19.614","7.639","6.280","5.802","9.435","6.914","6.129","8.330","0.000","0.000","0.000"
"912","GTLM","Earl Bamber","6","1:42.919","16:36.697","Finish","Track","10.771","13.548","9.353","19.115","7.558","6.216","5.747","9.161","6.834","6.094","5.115","0.463","2.944","176.713"
"38","LMP2","Kyle Masson","1","27:17.692","27:17.692","Green","Track","32.154","16.934","9.346","19.214","7.141","5.920","5.546","8.946","6.428","5.787","4.904","0.445","2.834","183.861"
