"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"21","TCR","Mason Filippi","4","1:53.136","8:51.830","Green","Track","5.393","9.645","5.623","12.035","9.378","2.310","0.624","10.615","21.587","21.684","8.097","6.145","131.119"
"84","TCR","Brian Henderson","5","1:55.215","9:16.231","Green","Track","5.397","9.462","5.599","10.481","8.872","2.293","0.640","9.856","26.788","21.838","8.007","5.982","127.841"
"37","TCR","Shelby Blackstock","5","2:03.022","9:36.918","Green","Pit","5.379","9.383","5.485","11.112","8.960","2.285","0.614","10.371","22.195","23.410","9.940","13.888","133.254"
"98","TCR","Mark Wilkins","5","1:56.547","9:56.080","Green","Track","5.651","10.198","5.934","12.147","9.729","2.671","0.708","10.817","22.616","21.437","7.951","6.688","115.562"
"52","TCR","Max Faulkner","5","2:15.349","9:59.507","Green","Pit","5.918","11.146","6.055","12.839","9.912","2.759","0.816","12.106","25.237","25.381","10.471","12.709","100.267"
"73","TCR","Mike LaMarra","5","2:15.748","10:10.724","Green","Pit","6.090","11.704","6.595","13.097","10.471","3.027","0.821","12.103","24.492","23.721","10.602","13.025","99.657"
"23","TCR","Nick Galante","5","2:14.010","10:12.797","Green","Pit","5.657","10.838","7.091","12.791","11.239","2.989","0.840","11.970","23.605","25.600","9.896","11.494","97.403"
"54","TCR","Michael Johnson","5","2:12.940","10:27.296","Green","Pit","6.089","10.982","6.296","13.298","9.391","2.423","0.764","11.942","25.027","23.954","10.740","12.034","107.092"
"21","TCR","Mason Filippi","5","1:59.379","10:51.209","Green","Track","5.521","10.317","6.084","12.828","9.455","2.313","0.627","11.203","22.977","22.776","8.687","6.591","130.492"
"84","TCR","Brian Henderson","6","1:59.190","11:15.421","Green","Pit","5.501","9.708","5.958","11.088","9.056","2.375","0.677","10.443","21.849","21.147","9.895","11.493","120.854"
"98","TCR","Mark Wilkins","6","2:09.181","12:05.261","Green","Pit","5.932","10.442","5.980","12.985","9.851","2.429","0.721","11.603","22.903","23.077","10.554","12.704","113.479"
