"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"31","DPi","Pipo Derani","1","2:09.249","2:09.249","Green","Track","0.000","9.287","26.152","14.662","26.868","8.368","19.667","0.678","11.834","1.313","2.476","125.034","131.552"
"5","DPi","Joao Barbosa","1","2:13.918","2:13.918","Green","Track","0.000","9.836","25.609","16.326","26.728","10.350","18.679","0.503","10.295","1.353","2.522","168.534","127.662"
"10","DPi","Jordan Taylor","1","2:16.420","2:16.420","Green","Track","310.855","10.549","27.810","15.995","25.864","8.434","17.788","0.503","10.454","1.341","2.504","168.534","128.805"
"96","GTD","Bill Auberlen","1","2:19.520","2:19.520","Green","Track","332.339","10.142","27.105","15.970","27.241","9.475","20.332","0.570","11.126","1.490","2.767","148.724","115.924"
"55","DPi","Olivier Pla","1","2:27.096","2:27.096","Green","Pit","221.793","9.627","24.388","14.358","25.260","8.732","17.431","0.490","10.832","3.309","10.041","173.006","52.199"
"77","DPi","Timo Bernhard","1","2:27.862","2:27.862","Green","Pit","204.404","9.136","24.213","14.171","24.685","8.259","17.070","0.501","11.186","3.505","10.020","169.207","49.280"
"12","GTD","Townsend Bell","1","2:32.096","2:32.096","Green","Track","192.714","10.330","26.938","15.754","27.760","9.432","19.429","0.553","11.030","1.517","2.818","153.296","113.861"
"7","DPi","Alexander Rossi","1","2:38.015","2:38.015","Green","Track","0.000","9.249","25.842","14.625","25.547","8.136","17.056","0.496","9.877","1.316","2.473","170.913","131.252"
"11","GTD","Rolf Ineichen","1","2:44.111","2:44.111","Green","Track","441.446","10.150","26.899","15.906","28.809","9.122","18.791","0.552","11.011","1.496","2.794","153.574","115.459"
"911","GTLM","Nick Tandy","1","2:46.618","2:46.618","Green","Track","484.228","9.548","27.289","16.271","27.571","9.273","18.609","0.543","10.902","1.466","2.722","156.119","117.822"
"54","DPi","Romain Dumas","1","2:51.917","2:51.917","Green","Track","0.000","9.530","26.925","16.928","27.700","8.602","17.932","0.606","12.015","1.386","2.527","139.889","124.623"
"25","GTLM","Connor De Phillippi","1","2:52.641","2:52.641","Green","Track","0.000","10.412","26.957","16.846","30.106","9.736","20.856","0.880","13.287","1.569","2.851","96.333","110.087"
"67","GTLM","Ryan Briscoe","1","2:54.148","2:54.148","Green","Track","292.943","9.776","27.306","17.177","28.605","9.329","18.587","0.608","11.778","1.462","2.727","139.429","118.145"
"84","DPi","Chris Miller","1","2:55.035","2:55.035","Green","Track","495.324","10.431","26.666","15.080","28.642","9.602","17.400","0.546","11.830","1.376","2.552","155.261","125.529"
"33","GTD","Jeroen Bleekemolen","1","2:55.218","2:55.218","Green","Track","0.000","10.497","27.818","16.874","28.689","9.410","19.088","0.618","12.469","1.513","2.817","137.173","114.162"
"50","DPi","Agustin Canapino","1","2:56.342","2:56.342","Green","Track","24.872","10.607","25.753","16.163","25.886","8.643","17.667","0.497","11.230","1.388","2.554","170.569","124.443"
"24","GTLM","Philipp Eng","1","2:57.082","2:57.082","Green","Track","490.646","10.645","27.864","17.142","29.540","10.649","21.189","0.708","14.317","1.665","2.918","119.735","103.740"
"912","GTLM","Earl Bamber","1","2:58.879","2:58.879","Green","Track","0.000","10.802","31.306","17.839","30.135","10.973","19.873","0.643","11.697","1.472","2.773","131.839","117.342"
"85","DPi","Misha Goikhberg","1","2:59.677","2:59.677","Green","Pit","469.886","10.134","27.203","15.491","27.507","10.194","18.672","0.572","11.170","2.531","10.212","148.204","68.245"
"4","GTLM","Marcel Fassler","1","3:01.852","3:01.852","Green","Track","496.804","10.174","31.355","17.063","29.541","9.652","18.846","0.542","11.168","1.450","2.706","156.407","119.122"
"9","GTD","Scott Hargrove","1","3:04.308","3:04.308","Green","Track","24.855","10.405","26.781","16.244","27.483","9.463","19.748","0.566","10.936","1.482","2.774","149.775","116.550"
"73","GTD","Nicholas Boulle","1","3:05.893","3:05.893","Green","Track","24.141","10.835","28.438","17.698","29.385","9.940","20.682","0.700","11.754","1.497","2.784","121.104","115.382"
"52","LMP2","Anders Fjorback","1","3:06.418","3:06.418","Green","Pit","147.919","10.881","34.691","18.574","32.474","11.407","20.902","0.718","15.199","3.710","10.231","118.068","46.557"
"63","GTD","Toni Vilander","1","3:08.138","3:08.138","Green","Track","22.782","10.834","27.398","15.709","27.818","9.470","19.132","0.554","11.730","1.525","2.818","153.019","113.264"
"66","GTLM","Dirk Mueller","1","3:24.689","3:24.689","Green","Track","260.358","10.931","26.506","15.461","26.605","8.906","18.255","0.534","10.808","1.466","2.736","158.750","117.822"
"47","GTD","Don Yount","1","3:25.528","3:25.528","Green","Track","24.772","11.384","29.254","16.981","30.925","10.177","19.878","0.556","12.113","1.583","2.892","152.469","109.114"
"29","GTD","Daniel Morad","1","3:28.522","3:28.522","Green","Track","24.395","12.080","29.465","17.242","31.138","9.842","19.777","0.555","11.682","1.548","2.848","152.744","111.581"
"57","GTD","Ana Beatriz","1","3:35.265","3:35.265","Green","Track","302.215","12.682","29.058","16.516","30.188","9.862","19.264","0.551","11.734","1.518","2.810","153.852","113.786"
"14","GTD","Philipp Frommenwiler","1","3:36.170","3:36.170","Green","Track","343.868","10.629","28.677","17.429","29.179","9.833","19.222","0.601","11.909","1.537","2.835","141.053","112.379"
"71","GTD","Fabian Schiller","1","3:37.273","3:37.273","Green","Track","26.717","10.083","26.663","16.126","50.769","10.650","19.644","0.571","11.364","1.501","2.818","148.464","115.075"
"3","GTLM","Antonio Garcia","1","3:43.182","3:43.182","Green","Track","0.000","10.812","27.139","16.155","27.620","9.312","18.395","0.541","10.494","1.434","2.695","156.696","120.451"
"6","DPi","Juan Pablo Montoya","1","4:00.116","4:00.116","Green","Track","0.000","9.241","25.484","26.105","30.156","8.537","21.010","0.509","10.440","1.352","2.512","166.548","127.757"
"31","DPi","Pipo Derani","2","1:54.330","4:03.579","Green","Track","5.232","4.993","23.052","14.333","24.467","8.056","16.570","0.526","13.307","1.320","2.474","161.165","130.854"
"5","DPi","Joao Barbosa","2","1:52.582","4:06.500","Green","Track","5.316","5.200","23.446","14.354","25.091","8.168","16.967","0.500","9.755","1.313","2.472","169.545","131.552"
"10","DPi","Jordan Taylor","2","1:52.626","4:09.046","Green","Track","5.315","5.149","23.561","14.433","24.819","8.161","16.931","0.501","9.947","1.328","2.481","169.207","130.066"
"96","GTD","Bill Auberlen","2","2:01.949","4:21.469","Green","Track","5.747","5.843","25.094","15.291","26.786","9.084","18.625","0.542","10.721","1.473","2.743","156.407","117.262"
"7","DPi","Alexander Rossi","2","1:49.443","4:27.458","Green","Track","5.188","4.803","22.651","14.244","24.065","8.026","16.619","0.494","9.572","1.315","2.466","171.605","131.352"
"44","GTD","Andy Lally","1","4:28.720","4:28.720","Green","Pit","26.156","10.511","26.409","15.708","27.752","9.142","18.702","0.551","11.203","2.568","77.819","153.852","67.261"
