"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"60","GS","Kyle Marcelli","1","2:26.501","2:26.501","Green","Track","0.000","21.501","12.793","24.355","8.768","6.988","6.463","12.848","7.928","6.921","5.704","0.514","3.289","159.179"
"26","GS","Jayson Clunie","1","2:28.064","2:28.064","Green","Track","0.000","21.731","13.528","25.207","9.001","7.089","6.704","12.434","8.099","6.983","5.775","0.517","3.292","158.256"
"4","GS","Guy Cosmo","1","2:28.946","2:28.946","Green","Track","0.000","20.836","13.205","23.639","8.676","6.913","6.678","12.272","7.919","6.846","5.576","0.501","3.192","163.310"
"46","GS","Owen Trinkler","1","2:35.183","2:35.183","Green","Track","0.000","21.198","15.197","25.923","9.494","8.833","7.867","12.680","7.825","6.824","5.544","0.496","3.144","164.956"
"15","GS","Scott Maxwell","1","2:37.588","2:37.588","Green","Track","0.000","21.231","12.067","23.712","8.599","6.929","7.257","12.902","7.970","6.878","5.642","0.513","3.256","159.490"
"89","TCR","Ryan Eversley","1","2:38.635","2:38.635","Green","Track","0.000","21.864","14.184","25.380","9.349","7.596","7.384","12.941","8.499","7.547","6.252","0.563","3.614","145.325"
"10","TCR","Lee Carpentier","1","2:39.315","2:39.315","Green","Track","0.000","22.378","13.847","26.745","9.613","7.790","7.643","13.257","8.483","7.414","6.192","0.561","3.598","145.843"
"13","GS","Orey Fidani","1","2:47.946","2:47.946","Green","Track","0.000","20.431","13.070","26.698","8.956","7.871","8.325","13.419","8.102","6.908","5.660","0.508","3.231","161.059"
"39","GS","Jeff Westphal","1","2:49.722","2:49.722","Green","Track","0.000","21.262","13.020","25.173","9.217","7.913","7.462","12.875","7.937","6.836","5.573","0.500","3.187","163.636"
"96","GS","Robby Foley","1","2:50.570","2:50.570","Green","Track","0.000","23.219","15.261","28.123","10.281","7.935","10.210","13.648","8.644","7.341","5.949","0.592","3.771","138.206"
"88","GS","Greg Liefooghe","1","2:55.385","2:55.385","Green","Track","0.000","20.696","13.696","24.609","8.844","7.085","8.411","14.155","8.116","7.007","5.718","0.512","3.276","159.801"
"2","GS","Kenton Koch","1","2:55.575","2:55.575","Green","Track","0.000","20.941","12.704","24.132","8.551","6.878","8.485","12.687","8.029","7.039","5.675","0.519","3.332","157.646"
"59","GS","Kenny Wilden","1","2:55.634","2:55.634","Green","Track","0.000","24.570","14.270","27.340","10.469","8.988","9.608","13.726","8.432","8.338","6.763","0.625","4.097","130.909"
"21","TCR","Mason Filippi","1","2:56.593","2:56.593","Green","Track","0.000","23.029","15.327","27.234","9.326","7.677","8.346","14.387","8.897","7.694","6.553","0.582","3.741","140.581"
"98","TCR","Mark Wilkins","1","2:57.069","2:57.069","Green","Track","0.000","22.968","13.229","25.733","9.141","7.698","8.376","14.424","8.672","7.867","6.617","0.587","3.693","139.384"
"73","TCR","Mat Pombo","1","2:59.144","2:59.144","Green","Track","0.000","21.191","13.691","26.247","9.280","7.574","7.151","12.683","8.515","7.492","6.164","0.553","3.523","147.953"
"84","TCR","Todd Lamb","1","3:03.810","3:03.810","Green","Track","0.000","21.954","13.570","26.096","9.367","7.636","7.689","12.744","8.659","7.718","6.340","0.576","3.681","142.045"
"8","GS","Gunnar Jeannette","1","3:07.136","3:07.136","Green","Pit","0.000","20.772","12.589","24.214","8.542","6.870","6.807","13.699","7.990","6.894","8.900","0.000","0.000","0.000"
"7","GS","Alan Brynjolfsson","1","3:09.350","3:09.350","Green","Track","0.000","21.740","13.578","25.325","8.723","6.832","6.581","12.693","7.979","6.817","5.576","0.498","3.162","164.294"
"22","GS","Austin Cindric","1","3:10.667","3:10.667","Green","Track","0.000","22.067","12.446","24.290","8.616","6.877","6.598","12.291","7.982","6.943","5.625","0.504","3.209","162.338"
"69","GS","Jesse Lazare","1","3:11.032","3:11.032","Green","Track","0.000","21.440","12.373","24.004","8.403","6.728","7.110","11.993","7.685","7.015","5.798","0.513","3.256","159.490"
"3","TCR","Alexandre Papadopulos","1","3:11.962","3:11.962","Green","Track","0.000","22.658","13.885","27.680","9.538","8.051","7.560","13.493","8.537","7.498","6.182","0.565","3.881","144.811"
"11","GS","Thomas Collingwood","1","3:12.402","3:12.402","Green","Track","0.000","22.006","13.860","26.735","9.235","7.739","7.618","13.659","8.656","7.360","5.859","0.537","3.609","152.362"
"5","TCR","Tim Lewis Jr","1","3:15.038","3:15.038","Green","Track","0.000","21.874","14.267","27.301","9.307","7.493","7.847","13.845","8.535","7.450","6.122","0.549","3.503","149.031"
"24","GS","Frank Gannett II","1","3:21.104","3:21.104","Green","Track","0.000","21.789","13.833","25.906","9.093","7.506","7.338","13.143","8.055","6.970","5.819","0.531","3.457","154.083"
"57","GS","Bryce Ward","1","3:21.210","3:21.210","Green","Track","0.000","21.596","13.243","24.702","8.622","7.316","6.792","12.923","7.914","6.803","5.562","0.498","3.159","164.294"
"52","TCR","Max Faulkner","1","3:24.081","3:24.081","Green","Track","0.000","21.395","13.561","25.200","9.244","7.527","7.342","13.353","8.523","7.490","6.191","0.558","3.580","146.628"
"37","TCR","Shelby Blackstock","1","3:25.051","3:25.051","Green","Track","0.000","21.626","13.204","25.095","9.150","7.449","8.190","13.241","8.474","7.480","6.165","0.555","3.542","147.420"
"82","GS","James Clay","1","3:29.254","3:29.254","Green","Track","0.000","21.157","14.299","25.823","9.074","7.118","6.921","11.940","8.084","6.971","5.724","0.513","3.254","159.490"
"97","GS","Ramin Abdolvahabi","1","3:33.923","3:33.923","Green","Track","0.000","22.656","15.605","26.937","9.949","7.997","7.526","12.987","8.382","7.480","6.050","0.544","3.586","150.401"
"31","GS","Patrick Liddy","1","3:34.362","3:34.362","Green","Track","0.000","22.303","15.000","28.288","9.132","7.438","7.670","13.572","8.221","6.899","5.788","0.544","3.567","150.401"
"56","GS","Eric Foss","1","3:38.727","3:38.727","Green","Track","0.000","22.814","14.868","25.531","8.734","6.918","6.741","12.937","7.914","6.882","5.592","0.501","3.181","163.310"
"09","GS","Mikel Miller","1","3:39.110","3:39.110","Green","Track","0.000","23.546","14.284","26.993","8.962","6.980","6.977","13.300","8.020","6.971","5.792","0.527","3.405","155.253"
"44","GS","Mike Vess","1","3:39.804","3:39.804","Green","Track","0.000","23.510","14.483","26.523","9.449","7.245","6.995","12.993","8.029","6.827","5.603","0.501","3.201","163.310"
"61","TCR","Gavin Ernstone","1","3:45.345","3:45.345","Green","Track","0.000","24.925","17.079","30.790","10.011","7.608","7.323","13.742","8.822","7.507","6.166","0.559","3.560","146.365"
"66","GS","Dillon Machavern","1","3:49.712","3:49.712","Green","Track","0.000","21.069","14.831","26.666","8.987","7.254","8.034","12.871","7.885","6.760","5.537","0.510","3.420","160.428"
"65","GS","Brent Mosing","1","3:49.914","3:49.914","Green","Track","0.000","22.124","14.480","26.288","9.209","7.925","7.645","14.625","8.718","9.025","6.905","0.645","4.078","126.850"
"99","GS","Gary Ferrera","1","3:52.189","3:52.189","Green","Track","0.000","22.790","14.578","28.575","9.568","8.088","7.867","13.251","8.849","7.723","6.121","0.533","3.446","153.505"
"67","GS","Robert Orcutt","1","3:54.791","3:54.791","Green","Track","0.000","20.975","14.147","27.282","8.983","7.526","8.629","15.090","8.237","7.089","5.726","0.509","3.243","160.743"
"23","TCR","Jared Salinsky","1","3:56.510","3:56.510","Green","Track","0.000","26.089","16.883","30.193","9.748","9.407","9.919","15.339","9.110","7.822","6.546","0.584","3.820","140.100"
"40","GS","Jade Buford","1","4:00.915","4:00.915","Green","Track","0.000","21.159","14.181","25.571","10.387","8.230","8.544","12.107","8.048","6.989","6.061","0.766","4.438","106.812"
"35","GS","Dylan Murry","1","4:07.439","4:07.439","Green","Pit","0.000","24.193","13.860","28.469","9.366","8.862","9.663","14.551","8.847","7.876","11.711","0.000","0.000","0.000"
"12","TCR","Ryan Nash","1","4:14.253","4:14.253","Green","Pit","0.000","26.531","16.496","30.121","9.637","8.477","10.092","15.670","9.388","8.093","13.006","0.000","0.000","0.000"
"54","TCR","Michael Johnson","1","4:16.275","4:16.275","Green","Pit","0.000","21.886","13.483","25.582","9.147","7.440","7.786","14.188","8.880","8.291","14.290","0.000","0.000","0.000"
"60","GS","Kyle Marcelli","2","1:55.322","4:21.823","Green","Track","12.625","15.097","10.432","21.200","8.446","6.822","6.294","10.583","7.696","6.754","5.617","0.507","3.249","161.377"
"4","GS","Guy Cosmo","2","1:56.887","4:25.833","Green","Track","12.723","15.445","10.841","21.692","8.447","6.764","6.266","11.034","7.713","6.738","5.547","0.497","3.180","164.624"
"26","GS","Jayson Clunie","2","1:58.819","4:26.883","Green","Track","12.629","15.606","10.937","21.990","8.644","6.867","6.468","11.532","7.901","6.860","5.659","0.506","3.220","161.696"
"46","GS","Owen Trinkler","2","1:56.514","4:31.697","Green","Track","12.823","15.510","10.898","21.623","8.357","6.755","6.263","10.927","7.625","6.662","5.468","0.490","3.113","166.976"
"15","GS","Scott Maxwell","2","2:04.448","4:42.036","Green","Track","12.916","15.703","11.139","24.339","8.609","6.905","8.896","11.954","7.803","6.825","5.623","0.507","3.229","161.377"
"13","GS","Orey Fidani","2","1:58.027","4:45.973","Green","Track","13.024","15.753","11.019","22.472","8.430","6.743","6.243","10.904","7.607","6.654","5.522","0.496","3.160","164.956"
"89","TCR","Ryan Eversley","2","2:07.434","4:46.069","Green","Track","13.390","16.674","11.607","23.328","9.177","7.560","7.515","12.019","8.374","7.458","6.206","0.561","3.565","145.843"
"39","GS","Jeff Westphal","2","1:56.792","4:46.514","Green","Track","12.557","15.689","10.904","21.913","8.372","6.735","6.171","11.050","7.602","6.686","5.475","0.493","3.145","165.960"
"10","TCR","Lee Carpentier","2","2:09.041","4:48.356","Green","Track","13.614","16.928","11.859","23.968","9.075","7.298","7.076","12.620","8.616","7.846","6.149","0.544","3.448","150.401"
"2","GS","Kenton Koch","2","1:57.406","4:52.981","Green","Track","12.851","15.306","10.835","22.324","8.393","6.823","6.282","10.981","7.649","6.752","5.556","0.499","3.155","163.964"
"88","GS","Greg Liefooghe","2","2:01.041","4:56.426","Green","Track","12.750","15.948","11.220","23.800","8.603","6.940","6.510","11.152","7.775","6.864","5.707","0.513","3.259","159.490"
"96","GS","Robby Foley","2","2:10.837","5:01.407","Green","Track","14.414","17.945","13.702","24.952","8.767","7.063","8.294","11.412","7.921","6.956","5.662","0.509","3.240","160.743"
"73","TCR","Mat Pombo","2","2:06.843","5:05.987","Green","Track","13.518","16.785","12.344","23.728","9.071","7.430","6.899","11.198","8.245","7.389","6.149","0.554","3.533","147.686"
"69","GS","Jesse Lazare","2","1:56.725","5:07.757","Green","Track","12.579","15.330","10.709","22.126","8.165","6.635","6.394","11.710","7.572","6.599","5.374","0.482","3.050","169.747"
"7","GS","Alan Brynjolfsson","2","1:58.535","5:07.885","Green","Track","12.457","15.453","10.866","22.298","8.398","6.738","6.573","12.173","7.712","6.726","5.498","0.494","3.149","165.624"
"59","GS","Kenny Wilden","2","2:13.495","5:09.129","Green","Track","15.154","17.438","12.189","24.934","10.389","8.401","7.722","12.310","8.295","7.134","5.717","0.515","3.297","158.870"
"22","GS","Austin Cindric","2","1:58.854","5:09.521","Green","Track","12.713","16.223","10.818","22.113","8.469","6.870","6.640","11.342","7.711","6.760","5.530","0.497","3.168","164.624"
"11","GS","Thomas Collingwood","2","2:01.649","5:14.051","Green","Track","13.579","16.500","11.716","22.435","8.485","6.827","6.340","11.470","8.130","6.826","5.624","0.504","3.213","162.338"
"57","GS","Bryce Ward","2","2:00.363","5:21.573","Green","Track","13.492","15.896","11.095","23.098","8.557","6.787","6.268","11.637","7.690","6.686","5.499","0.495","3.163","165.289"
"5","TCR","Tim Lewis Jr","2","2:07.135","5:22.173","Green","Track","14.081","16.774","11.824","23.314","8.821","7.334","7.070","12.245","8.186","7.322","6.101","0.552","3.511","148.221"
"24","GS","Frank Gannett II","2","2:02.588","5:23.692","Green","Track","14.550","16.440","11.151","22.668","8.604","6.897","6.464","11.809","7.853","6.827","5.610","0.503","3.212","162.660"
"3","TCR","Alexandre Papadopulos","2","2:14.746","5:26.708","Green","Track","15.600","18.054","13.379","25.515","8.943","7.349","7.349","12.816","8.256","7.286","6.054","0.545","3.600","150.125"
"82","GS","James Clay","2","1:57.538","5:26.792","Green","Track","12.450","15.610","11.017","22.090","8.505","6.927","6.402","10.778","7.710","6.752","5.602","0.502","3.193","162.984"
"37","TCR","Shelby Blackstock","2","2:04.800","5:29.851","Green","Track","13.429","16.214","11.570","23.006","8.974","7.427","6.969","11.421","8.283","7.349","6.093","0.551","3.514","148.490"
"52","TCR","Max Faulkner","2","2:07.131","5:31.212","Green","Track","13.496","16.641","12.147","23.529","8.930","7.396","6.945","11.976","8.452","7.420","6.123","0.552","3.524","148.221"
"97","GS","Ramin Abdolvahabi","2","2:03.864","5:37.787","Green","Track","14.283","16.668","11.667","23.244","8.685","7.237","6.670","11.545","7.760","6.781","5.595","0.505","3.224","162.016"
"31","GS","Patrick Liddy","2","2:05.834","5:40.196","Green","Track","14.682","17.299","11.598","24.444","8.552","6.785","6.720","12.148","7.803","6.685","5.494","0.492","3.132","166.297"
"09","GS","Mikel Miller","2","2:01.225","5:40.335","Green","Track","13.584","16.747","11.454","22.951","8.419","6.727","6.384","11.762","7.615","6.593","5.415","0.485","3.089","168.697"
"44","GS","Mike Vess","2","2:01.096","5:40.900","Green","Track","13.481","16.566","11.462","22.727","8.577","6.791","6.363","11.761","7.674","6.635","5.450","0.489","3.120","167.317"
"66","GS","Dillon Machavern","2","1:56.378","5:46.090","Green","Track","12.751","15.533","10.760","22.047","8.359","6.720","6.189","10.701","7.613","6.616","5.480","0.492","3.117","166.297"
"56","GS","Eric Foss","2","2:11.064","5:49.791","Green","Pit","12.473","15.588","11.276","21.883","8.533","6.894","6.265","11.082","7.673","6.736","9.142","0.000","0.000","0.000"
"65","GS","Brent Mosing","2","2:09.815","5:59.729","Green","Track","15.331","16.514","11.943","26.097","9.250","7.085","6.544","12.677","8.061","6.922","5.648","0.507","3.236","161.377"
"67","GS","Robert Orcutt","2","2:05.741","6:00.532","Green","Track","14.618","16.666","11.522","23.593","8.531","7.098","6.622","13.252","7.863","6.724","5.550","0.504","3.198","162.338"
"40","GS","Jade Buford","2","2:00.926","6:01.841","Green","Track","13.571","15.874","10.754","21.735","8.463","6.880","6.424","12.998","7.978","6.919","5.614","0.504","3.212","162.338"
"99","GS","Gary Ferrera","2","2:11.050","6:03.239","Green","Track","15.064","17.198","11.918","23.998","9.052","7.840","7.089","14.276","8.070","6.989","5.757","0.513","3.286","159.490"
"61","TCR","Gavin Ernstone","2","2:18.318","6:03.663","Green","Track","15.348","18.896","12.756","27.207","9.482","7.448","7.093","14.054","8.536","7.346","6.035","0.548","3.569","149.303"
