"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"4","GTLM","Oliver Gavin","7","1:18.525","10:15.731","Green","Track","0.620","6.932","2.878","3.979","10.749","7.623","5.612","4.506","11.817","16.846","1.663","5.300","133.065"
"3","GTLM","Antonio Garcia","7","1:22.541","10:27.155","Green","Track","0.624","6.965","2.852","4.011","10.726","7.690","5.506","4.269","14.596","18.113","1.780","5.409","132.212"
"911","GTLM","Nick Tandy","7","1:16.313","10:34.148","Green","Track","0.626","6.968","2.815","3.954","10.594","7.583","5.463","4.275","11.495","15.531","1.677","5.332","131.789"
"67","GTLM","Ryan Briscoe","5","1:16.874","10:41.192","Green","Track","0.630","7.041","2.841","4.010","10.737","7.689","5.578","4.239","11.551","15.503","1.675","5.380","130.952"
"66","GTLM","Sebastien Bourdais","5","1:18.039","10:52.145","Green","Track","0.630","7.041","2.925","4.068","10.741","7.675","5.603","4.565","11.712","16.006","1.686","5.387","130.952"
"912","GTLM","Laurens Vanthoor","7","1:16.706","10:58.589","Green","Track","0.629","6.971","2.872","3.988","10.696","7.741","5.573","4.207","11.511","15.515","1.663","5.340","131.161"
"24","GTLM","John Edwards","6","1:17.658","11:05.171","Green","Track","0.628","6.976","2.922","4.135","10.924","7.714","5.609","4.226","11.599","15.824","1.709","5.392","131.369"
"25","GTLM","Tom Blomqvist","6","1:17.313","11:16.002","Green","Track","0.631","7.000","2.880","4.069","10.823","7.696","5.538","4.314","11.558","15.671","1.709","5.424","130.745"
"4","GTLM","Oliver Gavin","8","1:16.520","11:32.251","Green","Track","0.620","6.929","2.864","4.002","10.639","7.642","5.535","4.190","11.470","15.619","1.681","5.329","133.065"
"3","GTLM","Antonio Garcia","8","1:19.975","11:47.130","Green","Track","0.629","7.066","3.217","4.374","11.679","8.078","5.764","4.371","11.727","16.023","1.698","5.349","131.161"
"911","GTLM","Nick Tandy","8","1:18.449","11:52.597","Green","Track","0.623","6.944","2.752","3.981","10.742","8.020","5.776","4.453","12.089","16.083","1.656","5.330","132.424"
"67","GTLM","Ryan Briscoe","6","1:17.335","11:58.527","Green","Track","0.629","7.041","2.884","4.040","10.720","7.792","5.602","4.233","11.692","15.629","1.681","5.392","131.161"
"66","GTLM","Sebastien Bourdais","6","1:16.893","12:09.038","Green","Track","0.630","7.025","2.882","4.048","10.662","7.633","5.522","4.282","11.502","15.613","1.691","5.403","130.952"
"912","GTLM","Laurens Vanthoor","8","1:16.659","12:15.248","Green","Track","0.628","6.960","2.836","3.971","10.680","7.607","5.499","4.242","11.566","15.628","1.688","5.354","131.369"
"24","GTLM","John Edwards","7","1:17.238","12:22.409","Green","Track","0.628","6.983","2.907","4.018","10.828","7.627","5.621","4.245","11.561","15.676","1.731","5.413","131.369"
"25","GTLM","Tom Blomqvist","7","1:33.391","12:49.393","Green","Pit","0.633","7.000","2.884","4.059","10.807","7.730","5.559","4.303","11.605","18.636","4.917","15.258","130.332"
"3","GTLM","Antonio Garcia","9","1:17.577","13:04.707","Green","Track","0.625","6.981","2.892","4.040","10.799","7.750","5.563","4.292","11.794","15.831","1.688","5.322","132.000"
"4","GTLM","Oliver Gavin","9","1:34.994","13:07.245","Green","Pit","0.622","6.942","2.854","3.976","10.766","7.677","5.561","4.243","11.734","20.474","5.154","14.991","132.637"
"911","GTLM","Nick Tandy","9","1:16.662","13:09.259","Green","Track","0.627","6.955","2.849","3.958","10.620","7.664","5.475","4.321","11.539","15.629","1.685","5.340","131.579"
"67","GTLM","Ryan Briscoe","7","1:17.103","13:15.630","Green","Track","0.631","7.056","2.872","4.001","10.744","7.747","5.569","4.233","11.653","15.572","1.661","5.364","130.745"
"66","GTLM","Sebastien Bourdais","7","1:16.662","13:25.700","Green","Track","0.632","7.039","2.844","3.990","10.619","7.680","5.461","4.298","11.468","15.520","1.714","5.397","130.538"
"912","GTLM","Laurens Vanthoor","9","1:17.212","13:32.460","Green","Track","0.629","6.973","2.791","3.988","10.674","7.638","5.512","4.248","11.490","16.310","1.648","5.311","131.161"
