"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"81","LMP2","Nicolas Lapierre","1","2:00.468","2:00.468","Green","Track","439.051","17.468","10.034","21.372","7.267","6.045","5.721","9.413","6.569","5.868","4.962","0.451","2.871","181.415"
"52","LMP2","Matthew McMurry","1","2:09.110","2:09.110","Green","Track","331.767","18.783","10.766","22.253","7.486","6.112","5.939","10.130","6.785","6.026","5.042","0.454","2.888","180.216"
"18","LMP2","Sebastian Saavedra","1","2:10.453","2:10.453","Green","Track","326.620","18.463","10.839","22.398","7.550","6.095","5.843","10.238","6.716","5.906","4.946","0.446","2.843","183.449"
"84","DPi","Stephen Simpson","1","2:13.300","2:13.300","Green","Track","158.977","18.559","11.202","22.503","7.241","5.871","6.020","10.179","6.559","5.732","4.744","0.436","2.798","187.656"
"911","GTLM","Patrick Pilet","1","2:13.680","2:13.680","Green","Track","226.591","18.814","10.874","21.916","7.867","6.425","6.091","10.747","7.192","6.278","5.164","0.464","2.960","176.332"
"912","GTLM","Mathieu Jaminet","1","2:31.933","2:31.933","Green","Track","32.023","18.075","10.594","21.005","7.773","6.429","6.002","10.279","7.144","6.256","5.175","0.465","2.964","175.953"
"54","DPi","Colin Braun","1","2:47.242","2:47.242","Green","Track","31.725","17.910","9.883","21.032","7.084","5.874","5.603","10.526","6.509","5.745","4.733","0.429","2.748","190.718"
"77","DPi","Timo Bernhard","1","2:48.578","2:48.578","Green","Track","31.924","19.607","11.253","22.485","7.229","5.925","6.779","11.339","6.683","5.853","5.306","0.510","3.240","160.428"
"3","GTLM","Antonio Garcia","1","2:50.810","2:50.810","Green","Track","32.773","20.227","11.036","21.907","7.930","6.538","6.196","10.810","7.252","6.325","5.230","0.471","2.998","173.712"
"4","GTLM","Tommy Milner","1","3:07.901","3:07.901","Green","Track","31.367","18.357","10.527","21.369","7.899","6.527","6.370","10.944","7.288","6.342","5.280","0.476","3.035","171.887"
"24","GTLM","John Edwards","1","3:31.653","3:31.653","Green","Track","0.000","18.340","10.399","21.088","7.860","6.479","6.031","10.431","8.203","7.848","6.646","0.607","3.915","134.791"
"25","GTLM","Connor De Phillippi","1","3:31.657","3:31.657","Green","Track","0.000","18.616","11.026","21.324","7.825","6.471","6.096","11.349","8.607","7.849","6.639","0.607","3.911","134.791"
"55","DPi","Jonathan Bomarito","1","3:32.745","3:32.745","Green","Track","483.173","17.795","10.682","21.434","6.982","5.831","6.342","9.745","6.438","5.750","4.808","0.434","3.123","188.521"
"81","LMP2","Nicolas Lapierre","2","1:39.944","3:40.412","Green","Track","10.812","13.416","8.940","19.144","7.096","5.939","5.568","8.557","6.443","5.815","4.922","0.445","2.847","183.861"
"52","LMP2","Matthew McMurry","2","1:41.508","3:50.618","Green","Track","11.320","13.362","8.918","19.243","7.075","5.928","5.665","9.478","6.509","5.824","4.900","0.444","2.842","184.275"
"18","LMP2","Sebastian Saavedra","2","1:41.567","3:52.020","Green","Track","11.162","13.455","8.877","19.906","7.169","5.947","5.605","8.984","6.470","5.803","4.904","0.444","2.841","184.275"
"911","GTLM","Patrick Pilet","2","1:47.489","4:01.169","Green","Track","11.627","14.208","9.748","20.122","7.717","6.334","5.894","10.037","7.067","6.199","5.125","0.461","2.950","177.480"
"84","DPi","Stephen Simpson","2","1:53.637","4:06.937","Green","Pit","11.053","13.606","9.186","19.357","6.924","5.765","5.395","9.486","6.444","5.651","7.238","0.000","0.000","0.000"
"50","DPi","Will Owen","1","4:12.744","4:12.744","Green","Track","257.897","18.644","10.329","20.639","7.050","5.848","5.617","9.658","6.415","5.699","4.774","0.431","2.764","189.833"
"912","GTLM","Mathieu Jaminet","2","1:45.939","4:17.872","Green","Track","11.114","13.993","9.618","19.746","7.682","6.325","5.879","9.834","7.029","6.183","5.132","0.461","2.943","177.480"
"54","DPi","Colin Braun","2","1:37.145","4:24.387","Green","Track","10.529","13.076","8.440","18.606","6.851","5.758","5.379","8.785","6.230","5.627","4.712","0.425","2.727","192.513"
