"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"31","DPi","Felipe Nasr","262","1:49.071","9:06:29.482","Green","Track","5.237","4.696","22.300","13.854","24.188","8.140","16.731","0.502","9.603","1.333","2.487","168.870","129.578"
"911","GTLM","Frederic Makowiecki","247","2:00.132","9:06:31.173","Green","Track","5.668","5.966","24.737","15.018","26.294","8.847","18.328","0.536","10.568","1.453","2.717","158.158","118.876"
"6","DPi","Juan Pablo Montoya","253","1:51.368","9:06:39.518","Green","Track","5.189","5.024","23.150","14.334","24.633","8.107","16.978","0.499","9.640","1.329","2.485","169.885","129.968"
"12","GTD","Frank Montecalvo","239","2:04.183","9:06:49.237","Green","Track","5.838","5.788","25.335","15.528","27.632","9.251","19.159","0.550","10.795","1.504","2.803","154.132","114.845"
"38","LMP2","Andrew Evans","245","2:03.281","9:06:51.205","Green","Track","5.840","6.159","25.028","15.994","27.633","8.891","18.297","0.510","10.905","1.416","2.608","166.221","121.983"
"47","GTD","Brandon Gdovic","234","2:05.288","9:06:56.192","Green","Track","5.908","6.126","25.400","15.669","27.785","9.460","18.917","0.546","11.173","1.508","2.796","155.261","114.541"
"25","GTLM","Colton Herta","247","2:00.102","9:06:56.271","Green","Track","5.670","5.466","24.220","15.226","26.413","8.990","18.579","0.534","10.824","1.461","2.719","158.750","118.225"
"54","DPi","Colin Braun","261","1:54.004","9:06:56.481","Green","Track","5.214","5.705","24.123","14.553","24.648","8.532","17.138","0.487","9.850","1.315","2.439","174.071","131.352"
"52","LMP2","Gabriel Aubry","226","1:56.066","9:06:57.427","Green","Track","5.352","5.545","23.522","14.474","25.669","8.985","17.783","0.508","10.254","1.394","2.580","166.875","123.908"
"67","GTLM","Richard Westbrook","248","1:58.798","9:06:58.111","Green","Track","5.668","5.579","23.987","14.954","26.198","8.929","18.141","0.527","10.669","1.450","2.696","160.859","119.122"
"4","GTLM","Oliver Gavin","238","1:59.714","9:07:00.731","Green","Track","5.700","5.798","24.776","14.914","26.268","8.900","18.234","0.534","10.426","1.453","2.711","158.750","118.876"
"84","DPi","Stephen Simpson","261","1:51.095","9:07:05.331","Green","Track","5.243","5.038","22.504","13.997","24.401","8.159","17.397","0.498","10.034","1.333","2.491","170.226","129.578"
"55","DPi","Jonathan Bomarito","260","1:49.324","9:07:06.557","Green","Track","5.169","4.920","22.288","13.793","24.272","8.019","16.612","0.493","9.944","1.329","2.485","171.953","129.968"
