"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"5","DPi","Filipe Albuquerque","1","2:18.746","2:18.746","Green","Track","0.000","11.998","28.686","16.035","28.784","8.826","21.241","0.547","10.323","1.314","2.477","154.978","131.452"
"84","DPi","Simon Trummer","1","2:20.549","2:20.549","Green","Track","0.000","10.212","27.054","16.667","27.610","9.275","18.671","0.509","10.544","1.341","2.500","166.548","128.805"
"31","DPi","Eric Curran","1","2:21.624","2:21.624","Green","Track","0.000","11.595","30.048","16.414","28.680","9.644","19.613","0.597","11.407","1.340","2.504","141.998","128.901"
"77","DPi","Tristan Nunez","1","2:23.474","2:23.474","Green","Track","0.000","10.179","26.886","17.476","27.033","9.037","18.348","0.503","10.907","1.319","2.452","168.534","130.953"
"85","DPi","Misha Goikhberg","1","2:27.165","2:27.165","Green","Track","0.000","9.792","26.062","15.959","26.756","9.060","21.847","0.744","11.503","1.328","2.490","113.942","130.066"
"10","DPi","Jordan Taylor","1","2:29.989","2:29.989","Green","Track","0.000","10.852","28.849","16.955","27.704","9.727","18.845","0.562","11.960","1.426","2.644","150.841","121.127"
"38","LMP2","Andrew Evans","1","2:32.387","2:32.387","Green","Track","0.000","12.542","28.356","16.323","28.091","8.760","18.109","0.508","12.279","1.518","2.700","166.875","113.786"
"96","GTD","Robby Foley","1","2:40.900","2:40.900","Green","Track","0.000","11.615","29.013","16.827","30.236","10.897","21.406","0.575","11.424","1.458","2.720","147.431","118.469"
"25","GTLM","Connor De Phillippi","1","2:41.915","2:41.915","Green","Track","0.000","11.493","28.364","16.397","28.705","9.362","18.631","0.541","10.981","1.430","2.673","156.696","120.788"
"6","DPi","Dane Cameron","1","2:46.518","2:46.518","Green","Track","0.000","9.374","27.032","15.279","26.789","8.544","17.095","0.500","9.821","1.306","2.447","169.545","132.257"
"7","DPi","Helio Castroneves","1","2:48.176","2:48.176","Green","Track","0.000","9.354","29.275","17.293","28.181","9.407","17.334","0.508","10.606","1.336","2.474","166.875","129.287"
"24","GTLM","Philipp Eng","1","2:50.115","2:50.115","Green","Track","0.000","11.976","29.267","17.317","28.932","9.620","19.006","0.599","12.032","1.476","2.749","141.524","117.024"
"912","GTLM","Earl Bamber","1","2:53.265","2:53.265","Green","Track","0.000","11.104","28.980","17.012","29.844","10.264","20.014","0.730","12.024","1.470","2.732","116.127","117.502"
"911","GTLM","Patrick Pilet","1","2:53.927","2:53.927","Green","Track","0.000","10.469","29.701","17.223","30.589","9.931","19.092","0.641","11.932","1.455","2.705","132.251","118.713"
"4","GTLM","Marcel Fassler","1","2:54.966","2:54.966","Green","Track","0.000","10.378","28.856","16.198","28.711","9.244","18.550","0.549","11.343","1.469","2.729","154.413","117.582"
"57","GTD","Katherine Legge","1","2:55.058","2:55.058","Green","Track","0.000","10.246","30.503","17.378","29.335","9.836","19.573","0.600","12.072","1.519","2.794","141.288","113.711"
"44","GTD","Andy Lally","1","2:57.251","2:57.251","Green","Track","25.873","10.236","27.353","16.779","28.213","9.628","19.266","0.557","11.345","1.488","2.767","152.195","116.080"
"12","GTD","Townsend Bell","1","2:59.215","2:59.215","Green","Track","0.000","11.973","32.613","18.148","30.743","9.742","21.165","0.600","11.569","1.559","2.869","141.288","110.794"
"67","GTLM","Scott Dixon","1","3:01.320","3:01.320","Green","Track","288.139","10.719","31.280","17.471","30.599","9.739","19.358","0.613","11.711","1.536","2.835","138.292","112.453"
"33","GTD","Ben Keating","1","3:05.327","3:05.327","Green","Track","0.000","11.490","31.009","17.502","32.453","11.079","19.987","0.590","12.626","1.539","2.838","143.683","112.233"
"8","GTD","Parker Chase","1","3:06.854","3:06.854","Green","Track","25.871","11.204","29.493","16.793","29.540","10.932","19.820","0.575","12.237","1.541","2.843","147.431","112.088"
"11","GTD","Mirko Bortolotti","1","3:09.472","3:09.472","Green","Track","174.838","11.665","35.694","20.737","35.678","11.814","21.671","0.864","14.425","1.597","2.900","98.117","108.157"
