"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP3"
"3","LB Cup","Randy Sellari","16","1:54.914","34:36.991","Green","Track","3.362","9.635","13.073","3.927","0.498","15.990","23.957","15.214","19.369","6.392","3.497","164.978"
"88","LB Cup","Jeffrey Cheng","15","1:57.799","34:38.539","Green","Track","3.601","9.975","13.506","4.012","0.539","17.084","24.234","15.166","19.352","6.740","3.590","152.429"
"24","LB Cup","Ron Atapattu","16","1:55.743","34:43.762","Green","Track","3.283","9.628","13.634","3.969","0.503","16.266","23.716","15.027","19.545","6.665","3.507","163.338"
"43","LB Cup","Ashton Harrison","16","1:50.178","34:47.853","Green","Track","3.280","9.257","12.441","3.821","0.490","15.262","22.857","14.663","18.545","6.127","3.435","167.672"
"36","LB Cup","Matt Dicken","16","1:57.942","34:52.466","Green","Track","3.405","9.880","13.508","3.994","0.514","16.497","25.047","15.236","19.803","6.548","3.510","159.843"
"29","Pro","Richy Antinucci","17","1:46.952","35:24.117","Green","Track","3.201","8.943","12.242","3.783","0.484","14.291","22.117","14.336","18.281","5.925","3.349","169.750"
"27","Pro","Paolo Ruberti","17","1:47.169","35:27.122","Green","Track","3.219","9.008","12.300","3.793","0.486","14.285","22.171","14.400","18.040","6.078","3.389","169.052"
"1","Pro","Andrea Amici","17","1:47.320","35:27.754","Green","Track","3.209","9.003","12.274","3.765","0.480","14.333","22.252","14.473","18.111","6.047","3.373","171.165"
"46","Pro","Conor Daly","17","1:47.330","35:28.266","Green","Track","3.210","9.021","12.208","3.775","0.487","14.318","22.233","14.642","18.025","6.036","3.375","168.704"
"09","ProAm","Jacob Eidson","17","1:47.717","35:40.676","Green","Track","3.247","9.129","12.244","3.794","0.487","14.661","22.223","14.431","18.092","6.023","3.386","168.704"
"6","Am","Steven Aghakhani","17","1:48.687","35:44.219","Green","Track","3.197","9.027","12.455","3.794","0.487","14.829","22.502","14.515","18.416","6.088","3.377","168.704"
"34","Pro","Patrick Liddy","17","1:49.159","35:46.300","Green","Track","3.224","9.293","12.416","3.812","0.488","14.461","22.653","14.800","18.520","6.093","3.399","168.359"
"33","Am","Cameron Cassels","17","1:49.198","35:51.833","Green","Track","3.244","9.100","12.274","3.793","0.486","14.754","22.809","14.560","18.650","6.122","3.406","169.052"
"22","ProAm","Ryan Hardwick","17","1:49.381","35:58.688","Green","Track","3.231","9.130","12.470","3.835","0.490","15.027","22.746","14.417","18.375","6.178","3.482","167.672"
