"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"70","LMP3","Jonatan Jorge","23","2:25.521","1:01:45.506","Green","Track","22.550","9.805","26.493","16.292","27.197","8.982","18.525","0.555","10.815","1.497","2.810","152.744","115.382"
"43","LMP3","Stevan McAleer","25","2:09.305","1:02:51.196","Green","Pit","0.000","0.000","24.836","0.000","0.000","8.814","18.062","0.537","10.878","2.881","10.268","157.864","59.954"
"47","LMP3","Rodrigo Pflucker","24","4:11.942","1:02:52.410","Green","Pit","5.779","5.651","24.704","15.369","26.553","8.921","18.073","0.536","11.257","2.926","132.173","158.158","59.032"
"25","LMP3","Aaron Povoledo","23","5:46.362","1:02:54.855","Green","Track","223.433","9.744","26.039","15.966","27.669","9.258","18.616","0.560","10.775","1.490","2.812","151.380","115.924"
"33","LMP3","Lance Willsey","25","2:04.079","1:03:07.554","Green","Track","6.045","5.743","25.472","15.918","27.227","9.240","18.697","0.557","10.866","1.500","2.814","152.195","115.152"
"23","LMP3","Anthony Simone","24","2:00.676","1:03:18.618","Green","Track","0.000","0.000","24.671","0.000","0.000","8.933","18.331","0.542","10.505","1.460","2.745","156.407","118.306"
"51","LMP3","Garett Grist","24","2:01.089","1:03:22.929","Green","Track","5.937","5.508","24.865","15.392","26.638","9.156","18.273","0.554","10.489","1.483","2.794","153.019","116.472"
"40","LMP3","Keith Grant","24","4:26.701","1:03:24.195","Green","Track","141.728","10.907","26.379","16.021","27.471","9.727","18.765","0.558","10.807","1.509","2.829","151.922","114.465"
"7","LMP3","Max Hanratty","24","2:02.096","1:03:33.987","Green","Track","5.994","5.599","25.162","15.534","26.904","9.009","18.632","0.558","10.447","1.475","2.782","151.922","117.103"
"54","LMP3","Dylan Murry","24","2:01.920","1:03:36.375","Green","Track","5.993","5.684","24.704","15.562","26.706","9.203","18.506","0.553","10.726","1.491","2.792","153.296","115.847"
"26","LMP3","Matthew Bell","24","2:01.828","1:03:38.021","Green","Track","5.781","5.815","25.392","15.737","27.067","8.835","18.189","0.559","10.216","1.465","2.772","151.651","117.903"
"60","LMP3","Tonis Kasemets","22","2:03.320","1:03:39.424","Green","Track","5.888","6.060","25.347","15.933","27.177","9.020","18.509","0.548","10.607","1.469","2.762","154.695","117.582"
"10","LMP3","Joe Robillard","24","2:04.718","1:03:40.483","Green","Track","5.930","5.873","25.283","0.000","0.000","9.603","18.491","0.542","10.844","1.500","2.789","156.407","115.152"
"74","LMP3","Colin Thompson","24","2:02.907","1:03:41.091","Green","Track","5.792","5.839","25.427","15.488","26.906","9.205","18.548","0.543","10.912","1.479","2.768","156.119","116.787"
