"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"77","DPi","Oliver Jarvis","7","1:17.124","11:07.265","Green","Track","0.569","6.368","2.713","4.478","11.209","7.736","5.624","4.004","11.441","16.344","1.688","4.950","144.991"
"6","DPi","Juan Pablo Montoya","3","1:21.548","11:26.121","Green","Track","0.578","6.470","3.396","4.788","12.179","7.993","6.713","4.213","11.550","17.016","1.695","4.957","142.734"
"54","DPi","Jonathan Bennett","4","1:20.043","11:26.820","Green","Track","0.566","6.279","3.273","4.432","11.882","7.814","6.224","4.295","11.523","17.233","1.643","4.879","145.760"
"55","DPi","Jonathan Bomarito","2","8:30.120","11:30.589","Green","Track","0.000","0.000","0.000","0.000","15.463","9.508","8.229","5.893","12.891","18.690","1.742","4.973","0.000"
"4","GTLM","Oliver Gavin","5","1:21.750","11:33.295","Green","Track","0.635","6.996","3.176","4.378","11.701","8.171","6.044","4.417","12.016","17.080","1.727","5.409","129.921"
"912","GTLM","Laurens Vanthoor","6","1:20.981","11:35.069","Green","Track","0.633","6.935","3.272","4.322","11.509","8.070","5.999","4.271","11.969","16.937","1.691","5.373","130.332"
"10","DPi","Renger Van Der Zande","4","1:20.242","11:39.916","Green","Track","0.578","6.458","3.090","4.537","11.729","7.766","6.215","4.058","11.611","17.669","1.597","4.934","142.734"
"911","GTLM","Patrick Pilet","6","1:23.083","11:47.973","Green","Track","0.629","6.953","3.363","4.551","11.672","8.138","6.260","4.386","12.204","17.883","1.681","5.363","131.161"
"3","GTLM","Jan Magnussen","6","1:22.435","11:58.251","Green","Track","0.632","7.026","3.243","4.490","11.682","8.229","6.108","4.467","12.251","17.157","1.734","5.416","130.538"
"50","DPi","Kyle Kaiser","3","1:20.861","12:08.053","Green","Track","0.583","6.527","3.278","4.892","11.817","7.880","6.009","4.426","11.562","17.263","1.641","4.983","141.509"
"24","GTLM","Jesse Krohn","5","1:25.856","12:09.594","Green","Track","0.638","7.048","3.662","4.676","12.133","8.507","6.304","4.559","12.617","18.462","1.757","5.493","129.310"
"31","DPi","Felipe Nasr","5","1:16.586","12:11.617","Green","Track","0.581","6.450","2.793","4.194","10.990","7.487","5.865","4.247","11.214","16.206","1.611","4.948","141.997"
"5","DPi","Joao Barbosa","8","1:18.351","12:14.222","Green","Track","0.580","6.438","2.824","4.192","11.046","7.666","6.440","4.308","11.690","16.590","1.613","4.964","142.241"
"84","DPi","Stephen Simpson","7","1:15.663","12:15.559","Green","Track","0.586","6.510","2.742","4.026","10.839","7.327","5.549","4.124","11.626","15.765","1.593","4.976","140.785"
"25","GTLM","Tom Blomqvist","2","9:52.077","12:22.895","Green","Track","0.000","0.000","0.000","0.000","15.026","9.350","7.459","5.244","14.222","20.993","1.921","5.831","0.000"
"6","DPi","Juan Pablo Montoya","4","1:17.270","12:43.391","Green","Track","0.573","6.416","2.909","4.202","11.136","7.682","5.699","4.100","11.323","16.616","1.675","4.939","143.979"
"54","DPi","Jonathan Bennett","5","1:18.648","12:45.468","Green","Track","0.562","6.254","2.955","4.304","11.530","7.900","6.021","4.171","11.435","17.030","1.620","4.866","146.797"
"77","DPi","Oliver Jarvis","8","1:39.907","12:47.172","Green","Pit","0.569","6.372","2.935","4.173","11.318","7.723","5.749","4.106","11.719","20.869","5.593","18.781","144.991"
"55","DPi","Jonathan Bomarito","3","1:21.351","12:51.940","Green","Track","0.570","6.401","3.226","4.652","12.251","8.155","6.028","4.370","11.786","17.380","1.642","4.890","144.737"
"4","GTLM","Oliver Gavin","6","1:20.498","12:53.793","Green","Track","0.627","6.979","3.100","4.298","11.399","8.152","5.873","4.334","11.871","16.729","1.730","5.406","131.579"
"912","GTLM","Laurens Vanthoor","7","1:20.909","12:55.978","Green","Track","0.629","6.947","3.200","4.272","11.389","7.927","5.937","4.317","12.001","17.243","1.681","5.366","131.161"
"10","DPi","Renger Van Der Zande","5","1:17.988","12:57.904","Green","Track","0.577","6.430","2.915","4.363","11.276","7.618","5.893","4.058","11.482","16.872","1.586","4.918","142.981"
"911","GTLM","Patrick Pilet","7","1:21.535","13:09.508","Green","Track","0.627","6.937","3.157","4.397","11.565","8.048","6.044","4.337","12.077","17.305","1.680","5.361","131.579"
"3","GTLM","Jan Magnussen","7","1:20.917","13:19.168","Green","Track","0.632","7.011","3.193","4.402","11.460","8.052","5.920","4.401","12.046","16.715","1.701","5.384","130.538"
"50","DPi","Kyle Kaiser","4","1:17.361","13:25.414","Green","Track","0.581","6.496","2.890","4.138","11.117","7.593","5.929","4.095","11.403","16.547","1.615","4.957","141.997"
"31","DPi","Felipe Nasr","6","1:17.385","13:29.002","Green","Track","0.579","6.415","3.055","4.600","11.236","7.456","5.624","4.071","11.156","16.639","1.610","4.944","142.487"
"84","DPi","Stephen Simpson","8","1:15.958","13:31.517","Green","Track","0.583","6.477","2.692","4.048","11.456","7.418","5.565","4.051","11.231","15.861","1.602","4.974","141.509"
"5","DPi","Joao Barbosa","9","1:24.808","13:39.030","Green","Track","0.580","6.432","2.829","4.208","11.350","7.380","5.608","4.005","13.641","22.245","1.583","4.947","142.241"
"25","GTLM","Tom Blomqvist","3","1:29.710","13:52.605","Green","Track","0.659","7.465","4.323","5.147","12.582","8.425","6.519","4.852","13.238","19.112","1.809","5.579","125.190"
"6","DPi","Juan Pablo Montoya","5","1:16.122","13:59.513","Green","Track","0.572","6.394","2.914","4.079","11.069","7.609","5.608","4.135","11.098","16.090","1.645","4.909","144.231"
"24","GTLM","Jesse Krohn","6","1:53.979","14:03.573","Green","Pit","0.636","7.031","3.826","5.446","15.730","10.176","7.621","6.080","16.207","21.959","4.143","15.124","129.717"
"54","DPi","Jonathan Bennett","6","1:18.220","14:03.688","Green","Track","0.563","6.247","2.964","4.319","11.352","7.726","5.767","4.089","11.746","16.907","1.649","4.891","146.536"
"55","DPi","Jonathan Bomarito","4","1:21.152","14:13.092","Green","Track","0.566","6.334","3.242","4.518","12.350","8.170","6.007","4.347","11.722","17.339","1.655","4.902","145.760"
"4","GTLM","Oliver Gavin","7","1:20.119","14:13.912","Green","Track","0.627","6.977","3.068","4.214","11.301","8.034","5.747","4.382","12.037","16.623","1.718","5.391","131.579"
"912","GTLM","Laurens Vanthoor","8","1:23.391","14:19.369","Green","Track","0.628","6.936","3.190","4.647","12.038","8.151","7.038","4.339","12.069","17.304","1.683","5.368","131.369"
"10","DPi","Renger Van Der Zande","6","1:31.351","14:29.255","Green","Pit","0.575","6.410","2.954","4.341","11.677","7.743","6.008","4.127","11.620","17.263","3.706","14.927","143.478"
"911","GTLM","Patrick Pilet","8","1:20.465","14:29.973","Green","Track","0.629","6.945","3.026","4.330","11.349","7.902","5.923","4.286","11.966","17.077","1.678","5.354","131.161"
"3","GTLM","Jan Magnussen","8","1:20.467","14:39.635","Green","Track","0.628","6.997","3.206","4.396","11.426","7.977","5.860","4.391","11.955","16.499","1.720","5.412","131.369"
