"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"4","GTLM","Tommy Milner","3","1:46.178","6:50.261","Green","Track","11.215","13.875","9.574","19.847","7.604","6.259","6.246","9.836","6.989","6.171","5.132","0.464","2.966","176.332"
"50","DPi","Will Owen","3","1:56.773","6:51.044","Green","Pit","10.925","13.270","9.343","19.300","6.940","5.702","5.649","9.950","6.408","5.704","10.101","0.000","0.000","0.000"
"46","GTD","Emanuele Busnelli","3","1:49.581","6:51.947","Green","Track","11.398","14.127","10.075","20.728","7.870","6.378","6.028","10.581","7.263","6.381","5.252","0.474","3.026","172.612"
"66","GTLM","Dirk Mueller","3","1:44.964","6:52.289","Green","Track","11.371","13.906","9.548","19.476","7.653","6.226","5.772","9.374","6.965","6.163","5.113","0.460","2.937","177.866"
"8","GTD","Ezequiel Perez Companc","3","1:50.736","6:55.219","Green","Track","12.132","14.273","9.867","20.172","7.883","6.488","6.464","10.822","7.295","6.442","5.341","0.483","3.074","169.396"
"13","GTD","Chico Longo","3","1:54.253","7:00.194","Green","Track","12.896","15.284","10.491","21.978","7.918","6.345","5.938","11.353","7.188","6.199","5.183","0.470","3.010","174.081"
"14","GTD","Richard Heistand","3","1:51.598","7:00.379","Green","Track","11.733","15.551","10.052","20.958","7.819","6.331","6.012","11.014","7.156","6.271","5.226","0.471","3.004","173.712"
"57","GTD","Christina Nielsen","3","1:50.466","7:01.161","Green","Track","11.610","14.618","9.978","20.763","7.824","6.322","5.978","11.135","7.280","6.301","5.194","0.471","2.992","173.712"
"31","DPi","Felipe Nasr","4","1:36.527","7:03.883","Green","Track","10.040","12.921","8.599","18.404","6.941","5.691","5.320","8.737","6.340","5.690","4.704","0.424","2.716","192.967"
"29","GTD","Daniel Morad","3","1:47.971","7:04.096","Green","Track","11.352","14.268","9.756","20.012","7.835","6.430","5.926","9.934","7.241","6.406","5.293","0.480","3.038","170.455"
"77","DPi","Rene Rast","4","1:37.663","7:05.804","Green","Track","10.268","13.068","8.687","18.613","6.825","5.607","5.295","9.440","6.347","5.643","4.718","0.426","2.726","192.061"
"81","LMP2","Henrik Hedman","2","2:16.443","7:07.407","Green","Track","32.283","20.101","10.818","22.109","7.335","5.941","5.941","10.642","6.918","5.988","5.030","0.452","2.885","181.014"
"5","DPi","Christian Fittipaldi","4","1:38.647","7:09.025","Green","Track","10.404","13.279","8.712","18.788","6.983","5.699","5.352","9.452","6.428","5.657","4.728","0.426","2.739","192.061"
"3","GTLM","Antonio Garcia","3","1:45.246","7:10.729","Green","Track","11.135","13.778","9.482","19.502","7.603","6.232","5.791","9.874","7.036","6.193","5.164","0.468","2.988","174.825"
"47","GTD","Don Yount","3","1:51.207","7:11.579","Green","Track","11.902","14.333","9.992","21.017","8.028","6.527","6.063","10.584","7.378","6.476","5.346","0.482","3.079","169.747"
"6","DPi","Simon Pagenaud","3","1:38.725","7:12.489","Green","Track","10.533","13.283","8.795","19.324","6.870","5.628","5.301","9.217","6.288","5.619","4.709","0.427","2.731","191.612"
"44","GTD","Spencer Pumpelly","3","1:48.671","7:18.729","Green","Track","11.368","14.212","10.075","20.594","7.923","6.476","5.956","9.666","7.186","6.390","5.294","0.478","3.053","171.168"
"38","LMP2","Kyle Masson","4","1:39.195","7:19.105","Green","Track","10.324","13.391","8.780","18.764","7.001","5.798","5.417","9.331","6.533","5.793","4.838","0.000","2.788","0.000"
"88","GTD","Roman DeAngelis","3","2:17.839","7:21.468","Green","Track","32.747","18.454","10.604","21.906","7.943","6.501","6.150","10.801","7.342","6.481","5.356","0.483","3.071","169.396"
"11","GTD","Mirko Bortolotti","3","1:47.435","7:23.167","Green","Track","11.235","14.183","9.677","20.008","7.878","6.373","5.889","9.857","7.173","6.353","5.277","0.477","3.055","171.527"
"10","DPi","Jordan Taylor","2","2:13.714","7:26.311","Green","Track","31.918","20.217","10.898","22.326","7.049","5.771","5.441","9.901","6.496","5.732","4.776","0.431","2.758","189.833"
"86","GTD","Justin Marks","3","1:47.247","7:28.958","Green","Track","11.069","14.196","9.740","20.060","7.787","6.349","5.920","9.979","7.084","6.302","5.255","0.474","3.032","172.612"
"52","LMP2","Matthew McMurry","4","1:39.665","7:29.724","Green","Track","10.842","13.253","8.833","18.977","7.021","5.809","5.480","9.097","6.426","5.777","4.877","0.441","2.832","185.529"
"12","GTD","Jeff Segal","3","1:48.679","7:40.193","Green","Track","11.387","14.312","9.759","20.279","7.879","6.413","5.925","10.331","7.173","6.366","5.317","0.480","3.058","170.455"
"911","GTLM","Frederic Makowiecki","4","1:44.556","7:40.927","Green","Track","10.957","13.802","9.630","19.493","7.609","6.184","5.703","9.558","6.970","6.178","5.089","0.460","2.923","177.866"
"63","GTD","Toni Vilander","4","1:46.502","7:47.350","Green","Track","10.819","14.033","9.639","19.950","7.797","6.323","5.838","9.624","7.096","6.354","5.424","0.491","3.114","166.636"
"73","GTD","Patrick Long","4","1:46.933","7:51.833","Green","Track","11.028","14.049","9.745","19.887","7.812","6.412","5.931","9.653","7.143","6.376","5.333","0.482","3.082","169.747"
"55","DPi","Harry Tincknell","4","1:34.925","7:54.779","Green","Track","9.899","12.698","8.526","18.118","6.773","5.619","5.243","8.401","6.175","5.598","4.717","0.427","2.731","191.612"
"19","GTD","Andrew Davis","1","8:10.350","8:10.350","Green","Track","163.178","21.640","12.072","23.387","8.201","6.644","6.380","11.854","7.591","6.601","5.458","0.491","3.122","166.636"
"51","GTD","Daniel Serra","4","1:46.380","8:18.358","Green","Track","11.168","14.195","9.496","19.976","7.724","6.290","5.832","9.689","7.029","6.246","5.238","0.474","3.023","172.612"
"71","GTD","Maximilian Buhk","4","1:47.263","8:21.982","Green","Track","11.293","14.051","9.694","20.063","7.731","6.364","5.911","9.825","7.120","6.349","5.322","0.480","3.060","170.455"
"62","GTLM","Miguel Molina","4","1:45.089","8:24.525","Green","Track","11.319","13.785","9.422","19.450","7.623","6.202","5.770","9.734","6.979","6.191","5.164","0.467","2.983","175.200"
"25","GTLM","Philipp Eng","4","1:44.795","8:25.023","Green","Track","11.143","13.953","9.418","19.701","7.604","6.166","5.717","9.646","6.863","6.103","5.097","0.459","2.925","178.253"
"54","DPi","Loic Duval","4","1:38.121","8:27.472","Green","Track","10.572","13.419","8.656","18.861","6.757","5.609","5.353","9.122","6.233","5.635","4.737","0.428","2.739","191.164"
"912","GTLM","Mathieu Jaminet","4","1:45.395","8:29.249","Green","Track","11.173","13.911","9.498","19.831","7.718","6.223","5.745","9.644","6.998","6.163","5.098","0.460","2.933","177.866"
"96","GTD","Jens Klingmann","4","1:48.038","8:31.015","Green","Track","11.156","14.088","9.627","20.780","7.710","6.421","5.960","10.156","7.065","6.273","5.279","0.477","3.046","171.527"
"33","GTD","Jeroen Bleekemolen","4","1:49.350","8:33.004","Green","Track","11.216","14.785","9.824","20.227","7.684","6.276","5.844","10.362","7.045","6.254","5.563","0.611","3.659","133.909"
"9","GTD","Dennis Olsen","4","1:55.734","8:34.260","Green","Track","12.041","15.336","10.757","21.052","8.236","7.325","6.850","10.495","7.214","6.935","5.649","0.509","3.335","160.743"
"67","GTLM","Richard Westbrook","4","1:46.130","8:35.890","Green","Track","11.416","14.348","9.572","19.692","7.627","6.224","5.787","9.653","7.011","6.197","5.155","0.468","2.980","174.825"
"24","GTLM","Chaz Mostert","4","1:58.749","8:36.584","Green","Pit","10.848","13.602","9.327","19.318","7.587","6.197","5.746","10.143","7.017","6.171","9.244","0.000","0.000","0.000"
"4","GTLM","Tommy Milner","4","1:48.459","8:38.720","Green","Track","11.272","14.411","9.464","19.631","7.646","6.590","6.832","10.571","7.119","6.247","5.207","0.470","2.999","174.081"
"66","GTLM","Dirk Mueller","4","1:47.213","8:39.502","Green","Track","11.189","14.205","9.950","19.464","7.678","6.253","6.756","9.958","6.987","6.171","5.152","0.468","2.982","174.825"
"46","GTD","Emanuele Busnelli","4","1:49.676","8:41.623","Green","Track","11.381","14.873","10.170","20.395","7.862","6.397","5.917","10.277","7.241","6.364","5.287","0.476","3.036","171.887"
"31","DPi","Felipe Nasr","5","1:39.618","8:43.501","Green","Track","10.100","14.112","9.961","18.882","6.928","5.679","5.283","8.730","6.380","5.703","4.716","0.425","2.719","192.513"
"77","DPi","Rene Rast","5","1:38.721","8:44.525","Green","Track","10.164","13.123","9.735","19.477","6.818","5.639","5.294","8.756","6.214","5.619","4.715","0.426","2.741","192.061"
"8","GTD","Ezequiel Perez Companc","4","1:49.665","8:44.884","Green","Track","11.379","14.067","9.758","21.252","7.963","6.479","5.972","10.141","7.261","6.452","5.372","0.486","3.083","168.350"
"5","DPi","Christian Fittipaldi","5","1:38.589","8:47.614","Green","Track","10.489","13.135","8.701","19.434","7.024","5.733","5.277","8.928","6.319","5.656","4.732","0.425","2.736","192.513"
"6","DPi","Simon Pagenaud","4","1:39.732","8:52.221","Green","Track","10.781","13.512","8.905","19.754","6.897","5.670","5.272","9.025","6.330","5.678","4.723","0.429","2.756","190.718"
"14","GTD","Richard Heistand","4","1:52.901","8:53.280","Green","Track","12.533","14.830","10.379","21.633","7.825","6.386","5.905","10.711","7.419","6.414","5.325","0.480","3.061","170.455"
"13","GTD","Chico Longo","4","1:53.806","8:54.000","Green","Track","12.436","14.793","10.433","22.155","8.089","6.386","5.896","11.363","7.237","6.291","5.233","0.472","3.022","173.344"
"3","GTLM","Antonio Garcia","4","1:47.317","8:58.046","Green","Track","10.928","13.732","9.755","19.914","7.607","6.260","5.979","11.134","7.144","6.230","5.178","0.468","2.988","174.825"
