"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"50","DPi","Victor Franzoni","8","1:29.063","37:08.632","Green","Track","2.772","11.005","0.507","12.531","10.414","11.268","0.763","14.815","9.766","9.245","2.083","3.894","155.998","106.339"
"85","DPi","Misha Goikhberg","8","1:23.937","37:10.561","Green","Track","3.031","11.042","0.507","12.753","9.706","8.757","0.523","12.617","9.637","9.333","2.100","3.931","155.998","155.136"
"54","DPi","Jonathan Bennett","8","1:26.538","37:20.706","Green","Track","3.120","11.264","0.511","13.528","9.923","8.641","0.504","13.129","10.286","9.696","2.090","3.846","154.777","160.985"
"77","DPi","Tristan Nunez","8","1:26.756","37:25.867","Green","Track","2.845","10.585","0.490","12.195","9.218","8.644","0.510","12.468","13.732","10.170","2.060","3.839","161.410","159.091"
"31","DPi","Pipo Derani","9","1:20.234","37:29.133","Green","Track","2.793","10.661","0.497","12.078","9.138","8.663","0.514","12.013","9.167","8.773","2.069","3.868","159.137","157.853"
"5","DPi","Joao Barbosa","9","1:20.239","37:38.735","Green","Track","2.712","10.798","0.502","12.064","9.012","8.626","0.516","12.034","9.259","8.801","2.052","3.863","157.552","157.241"
"7","DPi","Helio Castroneves","9","1:19.681","37:48.718","Green","Track","2.855","10.474","0.493","11.992","9.136","8.674","0.512","11.822","9.262","8.648","2.012","3.801","160.428","158.469"
"6","DPi","Juan Pablo Montoya","9","1:20.497","37:57.329","Green","Track","2.830","10.642","0.493","12.223","9.190","8.663","0.514","11.973","9.276","8.816","2.041","3.836","160.428","157.853"
"10","DPi","Renger Van Der Zande","9","1:23.847","38:05.106","Green","Track","2.806","10.929","0.497","12.315","9.197","8.930","0.620","13.717","9.937","8.982","2.062","3.855","159.137","130.865"
"84","DPi","Simon Trummer","9","1:21.611","38:06.966","Green","Track","2.851","10.873","0.502","12.148","9.115","8.686","0.519","11.998","9.353","9.541","2.105","3.920","157.552","156.332"
"55","DPi","Jonathan Bomarito","9","1:23.482","38:12.892","Green","Track","2.810","10.536","0.493","12.189","9.219","8.622","0.512","12.140","10.804","10.280","2.060","3.817","160.428","158.469"
"50","DPi","Victor Franzoni","9","1:21.936","38:30.568","Green","Track","2.820","10.775","0.502","12.389","9.309","8.758","0.517","12.125","9.542","9.189","2.102","3.908","157.552","156.937"
"85","DPi","Misha Goikhberg","9","1:23.313","38:33.874","Green","Track","2.966","10.946","0.506","12.749","9.665","8.711","0.520","12.435","9.677","9.160","2.078","3.900","156.306","156.031"
"54","DPi","Jonathan Bennett","9","1:24.945","38:45.651","Green","Track","3.118","11.237","0.495","12.895","9.763","8.611","0.504","12.795","9.963","9.670","2.063","3.831","159.780","160.985"
"77","DPi","Tristan Nunez","9","1:20.529","38:46.396","Green","Track","2.857","10.548","0.489","12.140","9.173","8.591","0.508","11.960","9.419","8.989","2.035","3.820","161.740","159.717"
"31","DPi","Pipo Derani","10","1:28.493","38:57.626","Green","Track","3.109","10.965","0.519","13.769","11.035","10.936","0.802","13.002","9.493","8.972","2.047","3.844","152.391","101.168"
"5","DPi","Joao Barbosa","10","1:26.272","39:05.007","Green","Track","2.699","10.797","0.504","12.146","9.094","8.873","0.679","16.010","10.426","9.099","2.066","3.879","156.926","119.494"
"7","DPi","Helio Castroneves","10","1:23.920","39:12.638","Green","Track","2.850","10.516","0.494","12.272","10.660","10.053","0.586","12.650","9.287","8.734","2.017","3.801","160.103","138.458"
"6","DPi","Juan Pablo Montoya","10","1:19.373","39:16.702","Green","Track","2.746","10.587","0.494","11.975","9.025","8.638","0.512","11.823","9.199","8.540","2.020","3.814","160.103","158.469"
"10","DPi","Renger Van Der Zande","10","1:21.914","39:27.020","Green","Track","2.838","11.185","0.504","12.228","9.229","8.643","0.513","12.096","9.467","9.228","2.091","3.892","156.926","158.161"
"84","DPi","Simon Trummer","10","1:21.608","39:28.574","Green","Track","2.836","11.019","0.506","11.999","9.134","8.784","0.518","11.913","9.347","9.558","2.085","3.909","156.306","156.634"
"55","DPi","Jonathan Bomarito","10","1:20.164","39:33.056","Green","Track","2.774","10.602","0.494","12.134","9.172","8.531","0.509","12.020","9.290","8.810","2.033","3.795","160.103","159.403"
"50","DPi","Victor Franzoni","10","1:21.158","39:51.726","Green","Track","2.805","10.881","0.505","12.233","9.148","8.784","0.519","12.073","9.372","8.885","2.070","3.883","156.616","156.332"
"85","DPi","Misha Goikhberg","10","1:23.746","39:57.620","Green","Track","3.031","11.068","0.508","12.875","9.726","8.747","0.520","12.566","9.561","9.163","2.079","3.902","155.691","156.031"
"54","DPi","Jonathan Bennett","10","1:24.631","40:10.282","Finish","Track","3.097","11.153","0.491","12.886","9.806","8.664","0.503","12.885","9.844","9.428","2.057","3.817","161.081","161.305"
"7","DPi","Helio Castroneves","11","1:19.580","40:32.218","Finish","Track","2.826","10.549","0.493","11.857","9.171","8.609","0.511","11.823","9.147","8.718","2.046","3.830","160.428","158.780"
"31","DPi","Pipo Derani","11","1:34.971","40:32.597","Finish","Pit","2.785","10.775","0.501","12.058","9.116","8.743","0.514","12.928","10.288","9.752","6.055","11.456","157.866","157.853"
"5","DPi","Joao Barbosa","11","1:38.381","40:43.388","Finish","Pit","2.808","10.866","0.504","12.213","9.076","8.745","0.522","13.004","10.506","10.901","7.586","11.650","156.926","155.434"
"55","DPi","Jonathan Bomarito","11","1:19.960","40:53.016","Finish","Track","2.799","10.490","0.492","12.124","9.116","8.534","0.509","11.951","9.261","8.891","2.011","3.782","160.754","159.403"
"10","DPi","Renger Van Der Zande","11","1:37.330","41:04.350","Finish","Pit","2.819","11.030","0.498","12.148","9.173","8.662","0.514","11.814","9.262","8.947","6.659","15.804","158.817","157.853"
"50","DPi","Victor Franzoni","11","1:21.075","41:12.801","Finish","Track","2.802","10.802","0.502","12.190","9.194","8.784","0.519","11.942","9.437","8.942","2.074","3.887","157.552","156.332"
"85","DPi","Misha Goikhberg","11","1:23.438","41:21.058","Finish","Track","2.977","11.106","0.506","12.608","9.653","8.750","0.520","12.404","9.589","9.293","2.105","3.927","156.306","156.031"
