"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","SPI"
"14","GTD","Richard Heistand","6","1:50.343","12:55.394","Green","Track","11.406","14.101","9.744","20.166","8.073","7.197","7.096","10.472","7.012","6.266","5.281","0.477","3.052","171.527"
"48","GTD","Corey Lewis","7","1:55.550","13:01.601","Green","Track","11.177","14.282","11.304","22.286","8.805","7.573","7.595","10.451","6.976","6.275","5.287","0.479","3.060","170.810"
"99","GTD","Alfred Renauer","7","1:51.222","13:16.997","Green","Track","11.705","14.782","10.197","20.955","7.937","6.396","6.076","10.772","7.145","6.331","5.344","0.483","3.099","169.396"
"44","GTD","Spencer Pumpelly","7","1:49.809","13:19.404","Green","Track","11.038","14.219","9.998","20.723","8.176","6.632","6.312","10.463","7.122","6.362","5.246","0.474","3.044","172.612"
"19","GTD","Andrew Davis","7","1:52.436","13:20.559","Green","Track","11.626","16.899","10.801","20.264","7.973","6.429","5.859","10.216","7.107","6.345","5.345","0.482","3.090","169.747"
"63","GTD","Cooper MacNeil","7","1:46.710","13:22.975","Green","Track","11.211","14.051","9.773","19.857","7.768","6.315","5.758","9.995","6.998","6.214","5.243","0.476","3.051","171.887"
"88","GTD","Ian James","7","1:47.368","13:25.991","Green","Track","11.209","14.180","9.793","19.937","7.861","6.429","5.806","9.817","7.113","6.348","5.326","0.481","3.068","170.100"
"46","GTD","Giacomo Altoe","7","1:45.656","13:28.062","Green","Track","10.931","13.844","9.665","19.626","7.755","6.336","5.755","9.651","7.037","6.260","5.274","0.477","3.045","171.527"
"8","GTD","Ezequiel Perez Companc","7","2:09.448","13:30.670","Green","Pit","11.270","15.505","11.166","21.474","8.133","6.726","6.225","10.228","7.240","6.827","10.830","0.000","0.000","0.000"
"57","GTD","Ana Beatriz","7","1:47.229","13:30.959","Green","Track","11.302","13.948","9.620","19.869","7.748","6.295","5.720","10.362","7.259","6.348","5.252","0.473","3.033","172.977"
"71","GTD","JC Perez","7","2:04.526","13:37.870","Green","Pit","11.327","14.194","9.792","20.249","7.886","6.384","6.058","11.157","7.146","6.368","10.010","0.000","0.000","0.000"
"540","GTD","Marco Seefried","5","1:46.437","13:48.176","Green","Track","11.054","14.001","9.726","19.901","7.784","6.383","5.833","9.508","6.978","6.296","5.370","0.488","3.115","167.660"
"29","GTD","Daniel Morad","6","1:46.994","13:54.594","Green","Track","10.862","14.014","9.785","19.839","7.867","6.430","5.836","9.774","7.223","6.384","5.379","0.489","3.112","167.317"
"51","GTD","Mathias Lauda","7","1:46.162","13:55.271","Green","Track","11.173","14.071","9.606","19.913","7.728","6.275","5.710","9.805","6.982","6.194","5.204","0.473","3.028","172.977"
"9","GTD","Lars Kern","6","1:45.945","13:55.830","Green","Track","11.030","13.914","9.685","19.765","7.786","6.340","5.754","9.677","6.990","6.260","5.238","0.475","3.031","172.249"
"73","GTD","Patrick Lindsey","7","1:46.103","14:00.970","Green","Track","11.190","13.865","9.665","19.736","7.744","6.327","5.807","9.748","6.942","6.250","5.303","0.480","3.046","170.455"
"47","GTD","Don Yount","7","1:48.317","14:40.979","Green","Track","11.889","14.103","9.731","19.911","7.861","6.410","5.836","10.342","7.047","6.276","5.324","0.484","3.103","169.046"
"11","GTD","Rolf Ineichen","6","2:11.135","14:44.964","Green","Pit","11.248","14.153","9.762","20.505","7.888","6.536","6.721","11.030","8.129","7.514","11.688","0.000","0.000","0.000"
"48","GTD","Corey Lewis","8","2:01.211","15:02.812","Finish","Pit","11.235","13.948","9.809","20.099","7.810","6.357","5.865","10.148","7.027","6.263","8.694","0.000","0.000","0.000"
"44","GTD","Spencer Pumpelly","8","1:47.251","15:06.655","Finish","Track","11.055","14.035","9.728","19.991","7.951","6.427","5.777","9.811","7.245","6.403","5.288","0.478","3.062","171.168"
"19","GTD","Andrew Davis","8","1:47.270","15:07.829","Finish","Track","11.200","14.192","9.820","19.836","7.918","6.449","5.810","9.577","7.129","6.392","5.372","0.485","3.090","168.697"
"88","GTD","Ian James","8","1:47.414","15:13.405","Finish","Track","11.227","14.220","9.755","19.989","7.822","6.429","5.826","9.772","7.090","6.346","5.366","0.484","3.088","169.046"
"46","GTD","Giacomo Altoe","8","1:45.613","15:13.675","Finish","Track","10.940","13.817","9.664","19.537","7.764","6.343","5.742","9.737","7.033","6.265","5.266","0.476","3.029","171.887"
"51","GTD","Mathias Lauda","8","1:45.912","15:41.183","Finish","Track","11.120","13.972","9.602","19.939","7.702","6.247","5.723","9.747","6.920","6.195","5.246","0.475","3.024","172.249"
"47","GTD","Don Yount","8","1:47.809","16:28.788","Finish","Track","11.512","14.196","9.782","19.974","7.843","6.439","5.837","10.002","7.072","6.302","5.307","0.482","3.061","169.747"
"62","GTLM","Davide Rigon","1","27:22.865","27:22.865","Green","Track","33.041","18.194","11.009","21.162","7.802","6.367","5.954","10.293","6.984","6.210","5.235","0.473","3.029","172.977"
"3","GTLM","Jan Magnussen","1","27:28.558","27:28.558","Green","Track","31.949","18.870","11.032","21.652","7.918","6.400","5.984","10.429","7.044","6.240","5.260","0.476","3.044","171.887"
"4","GTLM","Oliver Gavin","1","27:29.620","27:29.620","Green","Track","32.134","18.822","10.986","22.126","7.887","6.375","5.927","10.247","7.040","6.219","5.241","0.475","3.032","172.249"
"911","GTLM","Nick Tandy","1","27:30.822","27:30.822","Green","Track","0.000","18.418","10.650","21.791","7.770","6.254","5.853","10.455","7.003","6.164","5.130","0.462","2.952","177.096"
"912","GTLM","Earl Bamber","1","27:33.273","27:33.273","Green","Track","0.000","19.141","10.933","21.935","7.810","6.287","5.831","10.148","6.974","6.174","5.136","0.463","2.952","176.713"
"66","GTLM","Joey Hand","1","28:41.356","28:41.356","Green","Track","32.188","18.701","10.803","21.452","7.861","6.445","6.020","10.487","7.138","6.381","5.244","0.475","3.031","172.249"
"62","GTLM","Davide Rigon","2","1:44.594","29:07.459","Green","Track","11.183","13.934","9.527","19.519","7.604","6.212","5.686","9.339","6.840","6.107","5.162","0.469","3.012","174.452"
"3","GTLM","Jan Magnussen","2","1:45.225","29:13.783","Green","Track","11.243","13.947","9.580","19.582","7.636","6.243","5.739","9.541","6.895","6.138","5.190","0.472","3.019","173.344"
"4","GTLM","Oliver Gavin","2","1:45.271","29:14.891","Green","Track","11.348","13.934","9.513","19.655","7.637","6.220","5.715","9.528","6.926","6.145","5.168","0.471","3.011","173.712"
"911","GTLM","Nick Tandy","2","1:45.790","29:16.612","Green","Track","11.566","13.960","9.615","20.127","7.668","6.175","5.650","9.473","6.883","6.165","5.096","0.462","2.950","177.096"
