"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP6","SPI"
"26","LMP3","Matthew Bell","1","2:08.908","2:08.908","Green","Track","497.279","9.812","26.137","15.684","28.320","9.587","18.614","0.566","10.466","1.473","2.801","149.775","117.262"
"23","LMP3","Anthony Simone","1","2:11.394","2:11.394","Green","Track","494.849","10.660","27.546","15.751","27.205","9.077","18.558","0.535","10.677","1.466","2.751","158.454","117.822"
"70","LMP3","Jonatan Jorge","1","2:18.703","2:18.703","Green","Track","477.974","10.265","27.276","16.922","27.858","9.317","18.985","0.568","11.074","1.502","2.821","149.248","114.998"
"40","LMP3","David Grant","1","2:20.202","2:20.202","Green","Track","483.520","12.767","28.748","16.767","28.224","9.428","18.739","0.552","11.371","1.518","2.852","153.574","113.786"
"51","LMP3","Rob Hodes","1","2:28.661","2:28.661","Green","Track","478.853","14.019","30.205","17.148","30.033","9.953","19.723","0.553","11.261","1.511","2.841","153.296","114.313"
"12","LMP3","Tim Moser","1","2:35.663","2:35.663","Green","Track","366.646","11.388","30.018","17.879","30.757","10.600","19.246","0.568","11.991","1.572","2.920","149.248","109.877"
"54","LMP3","Dylan Murry","1","2:35.823","2:35.823","Green","Track","365.688","11.321","29.654","18.048","30.774","10.516","18.931","0.565","11.989","1.549","2.866","150.040","111.509"
"33","LMP3","Lance Willsey","1","2:45.029","2:45.029","Green","Pit","379.502","12.685","29.489","17.843","31.118","10.246","19.708","0.562","12.499","3.180","10.547","150.841","54.317"
"43","LMP3","Stevan McAleer","1","2:48.053","2:48.053","Green","Track","289.480","12.866","31.080","18.609","31.960","10.369","20.280","0.614","12.606","1.696","3.297","138.066","101.844"
"75","LMP3","Cameron Cassels","1","2:48.198","2:48.198","Green","Track","221.218","11.314","32.372","17.909","29.314","11.219","19.659","0.557","11.090","1.489","2.821","152.195","116.002"
"11","LMP3","Nico Rondet","1","2:50.020","2:50.020","Green","Track","206.546","11.885","29.595","16.753","28.788","12.061","19.552","0.550","11.560","1.517","2.852","154.132","113.861"
"64","LMP3","Naveen Rao","1","2:50.373","2:50.373","Green","Pit","461.338","12.334","31.613","18.111","32.232","12.046","20.089","0.598","14.748","3.953","10.137","141.760","43.695"
"9","LMP3","Gerry Kraut","1","2:51.105","2:51.105","Green","Track","163.229","9.866","26.337","15.860","27.848","9.334","19.306","0.667","12.276","1.496","2.800","127.096","115.459"
"7","LMP3","Blake Mount","1","2:53.749","2:53.749","Green","Track","215.210","12.566","31.767","17.688","31.448","10.281","19.821","0.589","12.820","1.571","2.898","143.927","109.947"
"10","LMP3","Joe Robillard","1","3:02.260","3:02.260","Green","Pit","282.585","12.282","32.196","18.639","31.755","11.018","20.976","0.634","14.204","3.937","10.713","133.711","43.873"
"25","LMP3","Ross Chouest","1","3:05.046","3:05.046","Green","Pit","469.664","12.463","30.788","17.378","31.141","9.778","19.305","0.554","12.749","4.010","10.226","153.019","43.074"
"60","LMP3","Bruce Hamilton","1","3:07.117","3:07.117","Green","Track","300.879","11.277","28.126","16.582","29.757","10.392","19.773","0.558","12.359","1.532","2.854","151.922","112.746"
"19","LMP3","Bradley Baker","1","3:22.968","3:22.968","Green","Track","438.985","12.751","28.599","16.931","28.611","9.411","18.735","0.558","11.599","1.558","2.914","151.922","110.865"
"47","LMP3","Rodrigo Pflucker","1","3:30.342","3:30.342","Green","Track","22.450","11.747","28.185","16.633","27.403","9.725","19.091","0.540","10.908","1.492","2.788","156.987","115.769"
"52","LMP3","Scott Huffaker","1","3:47.074","3:47.074","Green","Track","285.970","11.183","28.181","16.953","29.099","9.698","19.235","0.560","11.317","1.525","2.864","151.380","113.264"
"86","LMP3","Dave House","1","3:48.835","3:48.835","Green","Pit","34.447","14.482","31.613","17.967","30.645","10.768","20.866","0.614","14.663","4.426","12.936","138.066","39.026"
"26","LMP3","Matthew Bell","2","1:59.448","4:08.356","Green","Track","5.968","5.358","24.435","15.231","26.239","8.880","18.261","0.550","10.275","1.466","2.785","154.132","117.822"
"23","LMP3","Anthony Simone","2","2:00.517","4:11.911","Green","Track","0.000","0.000","24.516","0.000","0.000","8.738","18.430","0.531","10.609","1.456","2.737","159.647","118.631"
"70","LMP3","Jonatan Jorge","2","2:01.829","4:20.532","Green","Track","6.077","5.733","25.077","15.556","26.715","8.816","18.280","0.545","10.731","1.491","2.808","155.546","115.847"
"40","LMP3","David Grant","2","2:02.533","4:22.735","Green","Track","6.050","5.815","25.135","15.544","26.802","8.984","18.607","0.550","10.710","1.504","2.832","154.132","114.845"
"2","LMP3","Jon Brownson","1","4:40.054","4:40.054","Green","Track","22.660","11.775","28.841","16.680","28.935","9.683","19.159","0.555","11.708","1.571","2.914","152.744","109.947"
"51","LMP3","Rob Hodes","2","2:11.935","4:40.596","Green","Track","6.044","6.258","28.141","17.211","29.794","9.439","19.260","0.547","10.906","1.508","2.827","154.978","114.541"
"12","LMP3","Tim Moser","2","2:05.547","4:41.210","Green","Track","6.286","5.873","25.332","15.750","27.684","9.304","19.103","0.564","11.309","1.509","2.833","150.306","114.465"
"54","LMP3","Dylan Murry","2","2:05.551","4:41.374","Green","Track","6.419","6.154","25.304","15.837","27.444","9.216","19.002","0.551","11.321","1.495","2.808","153.852","115.537"
"75","LMP3","Cameron Cassels","2","2:03.350","4:51.548","Green","Track","6.155","6.113","25.676","15.615","26.952","8.995","18.349","0.549","10.667","1.480","2.799","154.413","116.708"
"11","LMP3","Nico Rondet","2","2:03.534","4:53.554","Green","Track","6.130","6.151","25.565","15.680","26.976","9.114","18.391","0.547","10.681","1.485","2.814","154.978","116.315"
"43","LMP3","Stevan McAleer","2","2:11.692","4:59.745","Green","Track","6.933","6.908","28.058","0.000","0.000","9.750","19.808","0.594","11.587","1.472","2.766","142.715","117.342"
"9","LMP3","Gerry Kraut","2","2:13.073","5:04.178","Green","Pit","0.000","0.000","26.436","15.465","26.649","8.925","18.138","0.537","11.534","3.498","10.066","157.864","49.379"
"74","LMP3","Colin Thompson","1","5:06.471","5:06.471","Green","Track","23.393","11.005","31.184","17.677","29.981","9.832","19.102","0.546","11.334","1.493","2.807","155.261","115.691"
"7","LMP3","Blake Mount","2","2:15.258","5:09.007","Green","Track","6.218","6.211","26.279","23.410","28.630","9.402","18.969","0.548","11.264","1.506","2.821","154.695","114.693"
"60","LMP3","Bruce Hamilton","2","2:08.966","5:16.083","Green","Track","6.192","6.568","26.410","15.954","28.764","9.563","19.128","0.542","11.489","1.524","2.832","156.407","113.338"
"19","LMP3","Bradley Baker","2","2:05.324","5:28.292","Green","Track","6.370","6.246","25.978","15.796","27.455","9.244","18.526","0.552","10.773","1.524","2.860","153.574","113.338"
"47","LMP3","Rodrigo Pflucker","2","2:00.562","5:30.904","Green","Track","5.878","5.913","24.700","15.239","26.645","8.906","18.075","0.535","10.445","1.467","2.759","158.454","117.742"
"25","LMP3","Ross Chouest","2","2:28.853","5:33.899","Green","Track","22.775","10.792","26.265","15.965","28.525","9.531","18.984","0.552","11.077","1.531","2.856","153.574","112.820"
"4","LMP3","Leo Lamelas","1","5:42.029","5:42.029","Green","Track","23.545","10.854","29.302","16.870","29.210","9.569","18.620","0.554","10.707","1.492","2.824","153.019","115.769"
"52","LMP3","Scott Huffaker","2","2:03.804","5:50.878","Green","Track","6.156","6.041","25.256","15.846","27.314","9.045","18.437","0.550","10.809","1.511","2.839","154.132","114.313"
"26","LMP3","Matthew Bell","3","1:58.314","6:06.670","Green","Track","5.900","5.169","24.356","15.158","26.077","8.749","18.042","0.546","10.106","1.449","2.762","155.261","119.204"
"23","LMP3","Anthony Simone","3","2:00.273","6:12.184","Green","Track","5.805","5.524","24.502","0.000","0.000","8.828","18.320","0.530","10.485","1.453","2.752","159.949","118.876"
"70","LMP3","Jonatan Jorge","3","2:02.323","6:22.855","Green","Track","5.940","5.506","26.656","15.315","26.532","8.903","18.074","0.545","10.573","1.483","2.796","155.546","116.472"
"86","LMP3","Dave House","2","2:42.282","6:31.117","Green","Track","27.760","13.524","29.390","16.918","28.871","9.703","19.456","0.560","11.518","1.609","2.973","151.380","107.351"
"33","LMP3","Lance Willsey","2","3:57.916","6:42.945","Green","Track","107.404","11.356","27.806","16.863","28.334","9.566","18.993","0.600","12.552","1.547","2.895","141.288","111.653"
"2","LMP3","Jon Brownson","2","2:05.514","6:45.568","Green","Track","6.213","5.925","25.631","15.920","27.769","9.252","18.602","0.551","11.233","1.542","2.876","153.852","112.015"
"51","LMP3","Rob Hodes","3","2:05.754","6:46.350","Green","Track","6.151","6.074","25.848","15.810","27.541","9.299","18.727","0.542","11.404","1.520","2.838","156.407","113.636"
"54","LMP3","Dylan Murry","3","2:05.098","6:46.472","Green","Track","6.097","6.000","25.485","16.010","27.267","9.260","18.640","0.573","11.474","1.500","2.792","147.945","115.152"
"12","LMP3","Tim Moser","3","2:08.289","6:49.499","Green","Track","6.058","5.890","25.682","16.903","28.022","9.235","18.759","0.669","12.715","1.519","2.837","126.716","113.711"
"75","LMP3","Cameron Cassels","3","2:02.981","6:54.529","Green","Track","5.954","5.598","24.912","15.450","26.568","8.951","18.364","0.573","12.110","1.588","2.913","147.945","108.770"
"11","LMP3","Nico Rondet","3","2:01.210","6:54.764","Green","Track","5.979","5.721","24.611","15.270","26.510","8.978","18.234","0.542","11.055","1.504","2.806","156.407","114.845"
"40","LMP3","David Grant","3","2:33.601","6:56.336","Green","Track","5.967","5.525","25.186","15.472","27.051","9.022","18.243","0.545","41.580","1.839","3.171","155.546","93.925"
"43","LMP3","Stevan McAleer","3","2:03.387","7:03.132","Green","Track","0.000","0.000","24.998","0.000","0.000","8.952","18.320","0.615","12.654","1.557","2.860","137.842","110.936"
"74","LMP3","Colin Thompson","2","2:03.809","7:10.280","Green","Track","5.964","5.871","25.441","15.669","27.273","9.182","18.909","0.547","10.712","1.468","2.773","154.978","117.662"
"7","LMP3","Blake Mount","3","2:04.935","7:13.942","Green","Track","6.035","5.934","25.646","15.427","27.690","9.227","18.937","0.547","11.169","1.505","2.818","154.978","114.769"
"60","LMP3","Bruce Hamilton","3","2:07.927","7:24.010","Green","Track","6.087","6.459","26.196","16.077","28.308","9.611","18.805","0.541","11.506","1.515","2.822","156.696","114.011"
"9","LMP3","Gerry Kraut","3","2:21.323","7:25.501","Green","Track","22.389","9.165","25.311","15.410","26.579","8.965","18.226","0.533","10.516","1.469","2.760","159.048","117.582"
